ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-profit_Status,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact,,,,,,,,
6660192,Jefferson Community Health and Life,2200 'H' Street,Fairbury,68352-1119,NE,,,2019,Combination of counties and zip codes,"Bucks, Montgomery, Philadelphia, Burlington, Camden, Gloucester, Ocean","18914, 18929, 18932, 18966, 18974, 18976, 18915, 18936, 19001, 19002, 19009, 19012, 19025, 19027, 19031, 19034, 19038, 19040, 19044, 19046, 19075, 19090, 19095, 19422, 19436, 19437, 19438, 19446, 19454, 19477, 18964, 18969, 19006, 19440, 18940, 18954, 18966, 18974, 19007, 19020, 19021, 19030, 19047, 19053, 19054, 19055, 19056, 19057, 19067, 19111, 19114, 19115, 19116, 19120, 19125, 19134, 19135, 19136, 19137, 19140, 19149, 19152, 19154, 19102, 19103, 19106, 19107, 19121, 19122, 19123, 19124, 19125, 19130, 19132, 19133, 19134, 19140, 19145, 19146, 19147, 19148",N/A,"Cancer, Aging problems (e.g., arthritis, hearing/vision loss , etc.), Heart disease and stroke, Mental health problems, Diabetes, Alcohol and drug related illness and death, High blood pressure","Obesity, Sedentary Lifestyle, Chronic Diseases affected by Obesity and Sedentary Lifestyle including Diabetes, Heart Disease, Stroke, Cancer",https://www.jchealthandlife.org/wp-content/uploads/2021/01/2019-JCHC-Community-Health-Needs-Assessment-with-implementation-plan.pdf,https://hospitals.jefferson.edu/about-us/in-the-community/community-health-needs-assessment.html,N/A,,,,,,,,
6660120,Jennie M. Melham Memorial Medical Center,145 Memorial Drive,Broken Bow,68822-1378,NE,,,2019,List of Counties,"Blaine, Custer, Garfield, Greeley, Howard, Loup, Sherman, Valley, Wheeler",N/A,N/A,"Cancer aging problems, Heart disease and stroke, Mental health problems, Diabetes, Alcohol and drug related illness and death, High blood pressure","Alcohol and drug use, Being overweight, Texting/cell phone use while driving",https://irp-cdn.multiscreensite.com/a8c802d4/files/uploaded/2019%20Community%20Needs%20Assessment.pdf,N/A,N/A,,,,,,,,
6660939,Johnson County Hospital,202 High Street,Tecumseh,68450-2443,NE,,,2022,Combination of counties and places,"Johnson, Nemeha, Pawnee, Otoe, Richardson",N/A,"Nebraska City, Pawnee CIty, Falls City","Aging problems, Bullying, Heart Disease and Stroke, High Blood Pressure, Mental Health Problems, Cancers, Diabetes, Child abuse/Neglect, Joblessness","Behavioral/Mental Health, Preventative Care and Screenings, Social Determinants of Health",https://jchosp.com/wp-content/uploads/2021/10/2019-CHNA-and-Response-JCH.v3.pdf,https://jchosp.com/wp-content/uploads/2022/01/2019_Southeast_Health_District_Community_Health_Improvement_Plan.pdf,N/A,,,,,,,,
6660512,Kearney County Health Services,727 East First Street,Minden,68959-1705,NE,,,2017,List of Counties,Jefferson,N/A,N/A,"Diabetes, Aging population, Obesity  Blood pressure, Alzheimer’s Disease, Sedentary lifestyle, Smoking/vaping/Juuling Drugs, Hearing Mental Health, Heart Disease, Nutrition, Men’s Health  Mental Health, Women’s Health","Obesity Sedentary Lifestyle, Chronic Diseases, Diabetes, Heart Disease, Stroke, Cancer",https://kchs.org/wp-content/uploads/2020/06/Community-Health-Assessment-2017.pdf,https://kchs.org/wp-content/uploads/2020/06/Community-Health-Assessment-2017.pdf,,,,,,,,,
6660414,Kearney Regional Medical Center,804 22nd Avenue,Kearney,68845-2206,NE,,Yes,2019,List of Counties,Buffalo,N/A,N/A,"Access to Care(includes behavioral and dental), Alzheimer’s Disease & Dementia , Behavioral Health (includes mental health and substance abuse), Weight Status (nutrition, physical activity, obesity), Violence, Chronic Disease, Lifestyle Choices and Personal Accountability","Violence & Injury (Injury-Free Living and Violence Prevention), Behavioral Health, Access to Care (Eliminate Health Disparities), Priority Area # 4: Nutrition, Physical Activity, & Weight Status (Healthy Eating &
Active Lifestyle), ",https://www.chihealth.com/content/dam/chi-health/website/documents/community-health-needs-assessment/GS-RYBH-CHNA-2019.pdf,N/A,N/A,,,,,,,,
6660375,Kimball Health Services,505 South Burg Street,Kimball,69145-1398,NE,,Yes,2020,List of Counties,"Dawes, Banner, Sioux , Box Butte, Sheridan, Garden, Kimball, Morrill, Scotts Bluff, Grant, Cheyenne, Deuel ",N/A,N/A,"Health eating, Promote emotional resilience, Environments and events for active living ,Establish healthy habits early on, Focus on long-term impact of pandemic, Improve access to healthcare, Prevent and reduce substance use, Access to basic care","Senior health, Healthy habits, Substance abuse, Mental health",https://www.kimballhealth.org/assets/silver_websites/kimball-health-services/pdfs/2020_KHS_CHNA.pdf,https://www.kimballhealth.org/assets/silver_websites/kimball-health-services/pdfs/2020_KHS_CHNA.pdf,N/A,,,,,,,,
6660395,Lexington Regional Health Center,1201 North Erie Street,Lexington,68850-1560,NE,,Yes,2018,List of Counties,"Dawson, Gosper, Phlelps",N/A,N/A,"Access to care, Economics, Education, Health insurance, Local health care resources, Stigma","Chronic Conditions, Mental Health, Prenatal Care, Workplace Injuries",https://lexingtonregional.org/wp-content/uploads/2019/02/Community-Health-Needs-Assessment.pdf,N/A,N/A,,,,,,,,
6660430,Lincoln Regional Center,West Prospector Place and South Folsom,Lincoln,68522-2299,NE,,Yes,2021,Combination of counties and places,Lincoln-Lancaster,N/A,Lincoln City,"Access to Care, Behavioral Health Care, Chronic Disease Prevention, Injury Prevention","Behavioral Health, Cardiovascular Disease, Cancer Care, Effects of the COVID-19 Pandemic",https://www.bryanhealth.com/app/files/public/0507eace-ef43-4514-89c0-2b9ce1ac1cb9/2021%20CHNA%20Final%20(BMC%20East).pdf,https://dhhs.ne.gov/Behavioral%20Health%20Documents/2017-2020%20St.Plan%20FINAL%20REPORT.pdf,N/A,,,,,,,,
6660009,Lincoln Surgical Hospital,"1710 South 70th Street, Suite 200",Lincoln,68506-1677,NE,,No,2021,Combination of counties and places,"Lincoln, Lancaster",N/A,Lincoln City,"Behavioral Health, Cardiovascular Disease, Cancer Care and the Effects of the COVID-19 Pandemic","Behavioral Health, Cardiovascular Disease, Cancer Care and the Effects of the COVID-19 Pandemic",https://www.bryanhealth.com/app/files/public/0507eace-ef43-4514-89c0-2b9ce1ac1cb9/2021%20CHNA%20Final%20(BMC%20East).pdf,https://dhhs.ne.gov/Behavioral%20Health%20Documents/2017-2020%20St.Plan%20FINAL%20REPORT.pdf,N/A,,,,,,,,
6660418,Madonna Rehabilitation Hospital,5401 South Street,Lincoln,68506-2150,NE,,Yes,2018,List of Places,NA,NA,"Omaha, Lincoln, Referral Nation of 38 States",N/A,"Align the Lincoln Campus physical plant with space required to meet the clinical needs of a high-acuity, specialized patient population (Madonna’s “community”), Expand Lincoln Campus on-site clinical and ancillary services required to meet the clinical needs of a high-acuity, specialized patient population (Madonna’s “community”), Complete the implementation of the newly established Physical Medicine and Rehabilitation Graduate Medical Education Residency Training Program",https://v4wu8f03-a.akamaihd.net/uploads-users/Community_Health_Needs_Assessment_FY1819_FINAL.pdf,NA,NA,,,,,,,,
6660300,Mary Lanning Healthcare,715 North St Joseph Avenue,Hastings,68901-4497,NE,,Yes,2021,List of Counties,Adams,N/A,N/A,"Access to Health Care, Mental Health, Substance Misuse, Obesity, Cancer, Motor vehicle safety, Maternal-Child Health","Access to Health Care, Mental Health, Substance Misuse, Obesity & Related Health Conditions, Cancer",https://www.marylanning.org/assets/site/images/about-us/community-needs/community-health-assessment-2021.pdf,https://www.marylanning.org/assets/site/images/about-us/community-needs/community-needs-implementation-strategy-2021.pdf,N/A,,,,,,,,
6660052,Memorial Community Health,1423 Seventh Street,Aurora,68818-1197,NE,,Yes,2021,List of Counties,"Hall, Hamilton, Merrick",N/A,N/A,"Cancer, Heart disease, Chronic lung diseases, Accidents, Cerebrovascular diseases, Overweight/Obesity, Physical Activity and Nutrition, Diabetes, Tobacco and Nicotine Product Usage, Radon Risk, Motor Vehicle Behaviors, Behavioral/Mental Health and Related Risk Factors, Suicide Risk, Adverse Childhood Experiences, Alcohol Use, Maternal and Child Health, Healthcare Access and Utilization, ","Wellness/Lifestyle, Mental/Behavioral Health",https://www.memorialcommunityhealth.org/assets/site/files/2021%20Community%20Health%20Assessment_Central%20District%20Health%20Department.pdf,https://www.memorialcommunityhealth.org/assets/site/files/2021%20Community%20Needs%20Plan%20MCHI-web.pdf,N/A,,,,,,,,
6660112,Memorial Community Hospital and Health System,810 North 22nd Street,Blair,68008-1199,NE,,Yes,2019,Combination of counties and places,"Dodge, Washington, Saunders",N/A,Three Rivers District,"Poverty, Access to healthcare services, Health care Professionals, Access to location for physical activities, Birth defects/Premature birth, Deaths due to coronary heart disease, Diabetes, Motor vehicle Deaths, Deaths due to alzheimiers disease, Youth substance use, Binge drinking anmong 19-25 years olds, Obesity/overweight, Mental health, Air polution","Access to affordable, accessible, quality health care (inclusive of mental health services), Risky Behaviors (including causes of obesity), Prevention and Screening
",https://mchhs.org/wp-content/uploads/2019/12/MCHHS-CHNA-2019-1.docx,https://mchhs.org/wp-content/uploads/2019/12/MCHHS-CHIP-2019-final.docx,N/A,,,,,,,,
6660850,Memorial Health Care Systems,300 North Columbia Avenue,Seward,68434-2228,NE,,Yes,2019,List of Counties,Seward,N/A,N/A,"Obesity, Mental health, Cancer, Alcohol Abuse, Aging problem","Obesity, Mental health, Cancer, Alcohol Abuse, Aging problem",https://www.mhcs.us/sites/default/files/files/230/Community%20Health%20Needs%20Assessment%202019.pdf,https://www.mhcs.us/sites/default/files/files/230/Community%20Health%20Needs%20Implementation%20Plan%202019.pdf,N/A,,,,,,,,
6660590,MercyOne Oakland Medical Center,601 East Second Street,Oakland,68045-1499,NE,Trinity Health,Unable to find,2020,List of Counties,"Burt, Cuming",N/A,N/A,"Heart Disease, Cancer and Prevention Strategies,Standard Motor Vehicle Safety, Suidide,Lack of Mental Health Access/Support,Lack of Mental Health Providers,Increase in Insurance Costs,Opioid Crisis,Lack of Trained Workforce,Healthy Lifestyle,Access to Weapons, Hospital Sustainablility,Affordable Housing, Domestic and Community Violence, Chronic Lung Disease,Diabetes,Obesity,Access to Care,Walkable Communities and Cerebrovascular Disease","Access to Healthcare, Obesity, Cancer Prevention and Screening, Standard Motor Vehicle Safety",https://www.mercyone.org/oakland/_assets/documents/oaklandchna_implementation_2020_2022.pdf,https://www.mercyone.org/oakland/_assets/documents/oaklandchna_implementation_2020_2022.pdf,N/A,,,,,,,,
6660135,Merrick Medical Center,1715 26th Street,Central City,68826-9620,NE,Bryan Health,Yes,2021,List of Counties,Merrick,N/A,N/A,"Access to Care, Access to Behavioral Health, Obesity and Inactivity, Poverty Rates, Healthcare Worker Shortages, Housing Shortages, Flood Recovery, Access to Clean Water, Vaccines, Medicaid Expansion, Covid Issues, Generational Stress, Increase in Depression, Decrease in Workforce Returning to Employment, Alcoholism, Migration Changes, Housing and Transportation, Minority and Language Barrier, Food Insecurities, Trauma-Informed Community Engagement, Timely Equitable Inclusion","Physical Activity, Cancer, Diabetes",https://www.bryanhealth.com/app/files/public/50b9303a-8a06-47a7-986d-e2b49f45d936/2021%20CHNA%20Final%20(MMC).pdf,https://www.bryanhealth.com/app/files/public/0cb509d1-408f-4f10-a9af-8545f4298f27/2022%20Merrick%20Medical%20Center_Community%20Health%20Improvement%20Plan.pdf,N/A,,,,,,,,
6660230,Methodist Fremont Health,450 East 23rd Street,Fremont,68025-2387,NE,"Nebraska Methodist Health System, Inc.",Yes,2020,List of Counties,Dodge,N/A,N/A,"Chronic Lung Diseases, Cancer  Mental Health, Women & Children Diabetes, Nutrition, Physical Activity & Weight Injury & Violence, Substance Abuse, Sexually Transmitted Diseases","Chronic Lung Diseases, Cancer, Mental Health, Women & Children",https://www.bestcare.org/uploads/pdfs/2020-CHNA-FINAL.pdf?_ga=2.211994128.50875928.1667073198-787990044.1667073163,https://www.bestcare.org/uploads/pdfs/2020---2022-IS-FINAL.pdf?_ga=2.251323010.50875928.1667073198-787990044.1667073163,N/A,,,,,,,,
6660133,Midwest Surgical Hospital,7915 Farnam Drive,Omaha,68114-4504,NE,,No,N/A unable to find,,,,,,,,,,,,,,,,,
6660115,Morrill County Community Hospital,1313 'S' Street,Bridgeport,69336-0579,NE,,,2020,Combination of counties and places,"Morrill, Banner, Box Butte, Cheyenne, Dawes, Deuel, Garden, Kimball, Scotts Bluff, Sheridan, Sioux",N/A,"Bayard, Broadwater, Bridgeport","Drug abuse, Access to care, Alcohol abuse, Early childhood care & education, Tobacco use, Mental health problems, Not enough health insurance/no health insurance, Cancers, High blood pressure, Heart disease & stroke","Behavioral Health (Mental & emotional well-being, Substance abuse prevention), Prevent Chronic Illness (Heart disease & stroke, High blood pressure, Cancers), Lifestyle Choices (E-Cigarettes/Vaping, Sleep, Healthy Eating, Physical Activity)",https://dokumen.tips/documents/community-health-needs-assessment-mcch-chna-2020-mcch-community-health-needs.html,N/A,N/A,,,,,,,,
6660138,Nebraska Medicine - Bellevue,2500 Bellevue Medical Center Drive,Bellevue,68123-1591,NE,,Yes,2019,Combination of counties and places,"Douglas, Sarpy, Cass, Pottawattamie",N/A,Bellevue,"Access to Healthcare Services, Cancer, Dementia including Alzheimer's disease, Diabetes, Heart Disease & Stroke, Injury & Violence, Mental Health, Nutrition, Physical Activity & Weight, Respiratory Diseases, Sexually Transmitted Diseases, Substance Abuse","Mental Health
",https://www.nebraskamed.com/sites/default/files/documents/About_Us/CHNA2019.pdf,https://www.nebraskamed.com/sites/default/files/documents/About_Us/CHNA2019.pdf,community@nebraskamed.com ,,,,,,,,
6660005,Nebraska Medicine - Nebraska Medical Center,987400 Nebraska Medical Center,Omaha,68198-7400,NE,,Yes,2019,Combination of counties and places,"Douglas, NE
Sarpy, NE
Cass, NE
Pottawattamie, IA",N/A,Omaha Metropolitan area,"Access to Healthcare Services, Cancer, Dementia Including Alzheimer's Disease, Diabetes, Heart Disease & Stroke, Injury & Violence, Mental Health, Nutrition Physical Activity & Weight, Respiratory Diseases, Sexually Transmitted Diseases, Substance Abuse","Access to Healthcare, Mental Health, Injury and Violence
",https://www.nebraskamed.com/sites/default/files/documents/About_Us/CHNA2019.pdf,https://www.nebraskamed.com/sites/default/files/documents/About_Us/CHNA2019.pdf,community@nebraskamed.com,,,,,,,,
6660710,Nebraska Methodist Hospital,8303 Dodge Street,Omaha,68114-4199,NE,"Nebraska Methodist Health System, Inc.",Yes,2021,"Combination of counties, zip codes, and places","Douglas, NE
Sarpy, NE
Cass, NE
Pottawattamie, Iowa","68069  68022  68007
68064  68028  68366
68304  51560  51548",Metro Atrea,"Access to healthcare services
Cancer
Diabetes
Heart disease and stroke
Infant Health and Family Planning
Injury and Violence
Mental Health
Nutrition, physical activity and weight
Oral health
Potentially diabling conditions
Respiratory disease
Sexual health
Social determinants of health
Substance abuse
Tobacco


","Access to healthcare services, Cancer, Heart disease and Strokes",https://bestcare.org/sites/default/files/inline-files/2021%20PRC%20CHNA%20Report%20-%20Nebraska%20Methodist%20Hospital.pdf,https://bestcare.org/sites/default/files/inline-files/2021%20PRC%20CHNA%20Report%20-%20Nebraska%20Methodist%20Hospital.pdf,N/A,,,,,,,,
6660450,Nebraska Penal and Correctional Hospital,14th And Pioneer Streets,Lincoln,68501,NE,,N/A,N/A unable to find,,,,,,,,,,,,,,,,,
6669151,Nebraska Spine Hospital,"6901 North 72nd Street, Suite 20300",Omaha,68122-1755,NE,,N/A,N/A unable to find,,,,,,,,,,,,,,,,,
6660035,Nemaha County Hospital,2022 13th Street,Auburn,68305-1799,NE,,Yes,2021,List of Counties,"Johnson, Nemaha, Otoa, Pawnee, Richardson",NA,NA,"Expand housing, Expand mental health services with telehealth, Recruit mental health providers, Improve preventative health, Radon screening, Awareness of resources (how to efficiently use social media or
mailing services), New employment/development, Childcare – Communities 4 Kids, Broadband access (especially for agriculture), Community center, Licensing for agricultural work, Entrepreneurial services","Alcohol Dependency, Drug Use, Adult Obesity, Mental Health",https://nemahacountyhospital.com/wp-content/uploads/2022/06/2021-Southeast-Health-District-Community-Health-Assessment-1.pdf,NA,info@nchnet.org,,,,,,,,
6660490,Niobrara Valley Hospital,401 South Fifth Street,Lynch,68746-0118,NE,Faith Regional Health Services,Yes,2019,List of Counties,"Antelope, Boyd, Brown, Cherry, Holt, Keya, Paha, Knox, Pierce, Rock",NA,NA,"Physical Wellness, Aging Population and Related Issues, Mental Health, Substance Abuse","Physical Wellness, Aging Population and Related Issues, Mental Health, Substance Abuse",http://www.nvhcares.org/uploads/7/0/9/1/70919877/19-5-28_ncdhd-cha_2019_with_spec_pop_report_pdf.pdf,http://www.nvhcares.org/uploads/7/0/9/1/70919877/19-5-28_ncdhd-cha_2019_with_spec_pop_report_pdf.pdf,http://www.nvhcares.org/,,,,,,,,
6660610,Ogallala Community Hospital,2601 North Spruce Street,Ogallala,69153-2465,NE,Banner Health,Yes,2019,Combination of counties and zip codes,"Keith, Garden ","69153, 69127, 69147",NA,"Access to Care, Chronic Disease Management, Behavioral Health","Access to Care, Chronic Disease (Heart Disease & Diabetes), Behavioral Health (Mental Health & Substance Abuse)",https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2019/nebraska/ogallala-community-hospital---2019-chna-report.ashx,https://www.bannerhealth.com/-/media/files/project/bh/chna-reports/2019/nebraska/ogallala-community-hospital---2019-chna-report.ashx,CHNA.CommunityFeedback@bannerhealth.com ,,,,,,,,
6660012,OrthoNebraska Hospital,2808 South 143rd Plaza,Omaha,68144-5611,NE,NA,No,N/A unable to find,,,,,,,,,,,,,,,,,
6660780,Osmond General Hospital,402 North Maple Street,Osmond,68765-5726,NE,,Yes,2019,Combination of counties and places,"Cedar, Knox, Pierce",N/A,"Randolph, Wausa","Physical Wellness, Aging Population and Related Issues, Mental Health, Substance Abuse","Physical Wellness, Aging Population and Related Issues, Mental Health, Substance Abuse",https://www.osmondhospital.org/wp-content/uploads/2022/03/OGH-CHNA-2019.pdf,https://www.osmondhospital.org/wp-content/uploads/2022/03/OGH-CHIP-2019-Public-Summary.pdf,N/A,,,,,,,,
6660800,Pawnee County Memorial Hospital and Rural Health Clinic,600 'I' Street,Pawnee City,68420-3001,NE,,Yes,2019,Combination of counties and places,"Johnson, Nemaha, Otoe, Pawnee, Richardson",N/A,Southeast Distict of Nebraska,"Behavioral/mental health, preventative care and Screening, Social determinants of health","Behavioral/mental health, preventative care and Screening, Social determinants of health",https://www.sedhd.org/about-us/community-health-reports.html,https://www.sedhd.org/about-us/community-health-reports.html,N/a,,,,,,,,
6660815,Pender Community Hospital,100 Hospital Drive,Pender,68047-0100,NE,Trinity Health,Yes,2019,Combination of counties and places,"Wayne, Dixon, Cedar, Thurston",N/A,Northeast District of Nebraska,"Overweight/obesity, mental health problems, heart dieases/stroke/high blood pressure, health eating choices, and cancers","Behavioral Health, Obesity",https://nnphd.org/file_download/ec3f8480-04dd-4d06-ab71-4b635b2c939d,https://nnphd.org/file_download/d3952f5e-0f50-4327-9ce3-81ff36f1b58f,julie@nnphd.org,,,,,,,,
6660298,Perkins County Health Services,900 Lincoln Avenue,Grant,69140-3095,NE,,Yes,2020,List of Counties,Perkins,N/A,N/A,"Housing, Childcare, Work ethic, Community pride","Alcohol abuse, Drug abuse, Being overweight",http://www.pchsgrant.com/docs/PCHS_2020_CHNA.pdf,http://www.pchsgrant.com/docs/Perkins_County_Health_CHIP_2020-2023.pdf,rtheiler@pchsgrant.com,,,,,,,,
6660322,Phelps Memorial Health Center,1215 Tibbals Street,Holdrege,68949-1255,NE,QHR,Yes,2019,"Combination of counties, zip codes, and places",Phelps,"68923, 68927, 68940, 68949, 68958","Atlanta, Bertrand, Funk, Holdrege, Loomis","Cancer, heart disease, mental health, accessibility/affordability, Alzheimer’s, diabetes, and obesity/overweight ","Cancer, heart disease, mental health, accessibility/affordability, Alzheimer’s, diabetes, and obesity/overweight ",https://www.phelpsmemorial.com/sites/default/files/2020%20to%202022%20Community%20Health%20Needs%20Assessment.pdf,https://www.phelpsmemorial.com/sites/default/files/2020%20to%202022%20Community%20Health%20Needs%20Assessment.pdf,Mark Harrel 308-995-2211,,,,,,,,
6660995,Providence Medical Center,1200 Providence Road,Wayne,68787-1299,NE,,Yes,2019,Combination of counties and places,"Wayne, Dixon, Cedar, Thurston",N/A,Northeast District of Nebraska,"Overweight/obesity, mental health problems, heart dieases/stroke/high blood pressure, health eating choices, and cancers","Behavioral Health, Obesity",https://providencemedical.com/wp-content/uploads/2021/02/2019-NNPHD-CHA-Community-Health-Assessment-Final1.pdf,https://nnphd.org/file_download/d3952f5e-0f50-4327-9ce3-81ff36f1b58f,julie@nnphd.org,,,,,,,,
6660770,Regional West Garden County,1100 West Second Street,Oshkosh,69154-6152,NE,,Yes,2020,List of Counties,"Sioux, Dawes, Box Butte, Sheridan, Grant, Garden, Morrill, Scotts Bluff, Banner, Kimball, Cheyenne, Deuel",N/A,N/A,"Alcohol abuse, Drug abuse, Being overweight, Tobacco use, Poor eating habits, Lack of exercise, Poverty, Cancer, Mental health problems, Not enough health insurance/no health insurance, Aging problems (i.e. arthritis, hearing, vision loss), Heart disease and stroke","Healthy Transitional Aging, Mental Well-Being, Substance Abuse, Physical Wellness and Disease Prevention, Access to Care",http://gchealth.org/wp-content/uploads/2020/12/2020-RWGC-CHNA.pdf,http://gchealth.org/wp-content/uploads/2021/06/CHIP-2021.pdf,N/A,,,,,,,,
6660810,Regional West Medical Center,4021 Avenue 'B',Scottsbluff,69361-4695,NE,,Yes,2020,List of Counties,"Banner, Box Butte, Cheyenne, Daves, Deuel, Garden, Kimball, Morrill, Scotts Bluff, Sheridan, Sioux",N/A,N/A,"Drug abuse, Access to care, Being overweight, Poor eating habits, Lack of exercise, Tobacco use, Poverty, Mental health problems, Cancers, Not enough health insurance/no health insurance, Child abuse/neglect, Diabetes, Aging problems (e.g., arthritis, hearing/vision loss), Domestic Violence","Access to Services (mobility, affordability, availability), Mental Health & Well-Being, Poverty & Economic Hardship
",https://www.rwhs.org/sites/default/files/2020_rwmc_cha.pdf,https://www.rwhs.org/sites/default/files/rwmc_2020-2023.pdf,N/A,,,,,,,,
6660062,Rock County Hospital,102 East South Street,Bassett,68714-5508,NE,,,2020,List of Counties,Rock,N/A,N/A,"Mental Health, Drug & Alcohol Abuse, Access to care, Chronic disease, Nutrition, Oral health, Tobacco, Reproductive & sexual, Physical activity, Growth & development","Mental Health, Drug & Alcohol Abuse, Access to care, Chronic disease, Nutrition, Oral health, Tobacco, Reproductive & sexual, Physical activity, Growth & development",https://mercyhealthsystem.org/wp-content/uploads/2020/09/2020-2023-CHNA-ROCK-COv2-1.pdf,N/A,N/A,,,,,,,,
6669150,Saunders Medical Center,1760 County Road J,Wahoo,68066-4152,NE,Bryan Health,,N/A unable to find,,,,,,,,,,,,,,,,,
6660417,Select Specialty Hospital - Lincoln,"2300 South 16th Street, 7th Floor",Lincoln,68502-3704,NE,Select Medical Corporation,Yes,2021,Combination of counties and places,Lancaster,N/A,"Lincoln, Lancaster","Behavior Health, Cardiovascular Disease, Cancer Care, Effects of the COVID-19 Pandemic","Behavior Health, Cardiovascular Disease, Cancer Care, Effects of the COVID-19 Pandemic",https://www.bryanhealth.com/app/files/public/0507eace-ef43-4514-89c0-2b9ce1ac1cb9/2021%20CHNA%20Final%20(BMC%20East).pdf,https://www.bryanhealth.com/app/files/public/7dddb314-9b8e-458e-b408-8cab195b2d13/2022%20Bryan%20Medical%20Center_Community%20Health%20Improvement%20Plan_East.pdf,N/A,,,,,,,,
6660014,Select Specialty Hospital-Omaha,1870 South 75th Street,Omaha,68124-1700,NE,Select Medical Corporation,Yes,N/A unable to find,,,,,,,,,,,,,,,,,
6660855,Sidney Regional Medical Center,1000 Pole Creek Crossing,Sidney,69162-1799,NE,,Yes,2020,Combination of counties and places,"Cheyenne, Deuel",N/A,"Sidney, Chappell","Drug abuse, Alcohol abuse, Being overweight, Tobacco use, Poor eating habits, Lack of exercise, Mental health problems, Cancers, Not enough health insurance/no health insurance, Poverty, Heart disease and stroke, Child abuse/neglect","Behavioral Health, Chronic Care, End of Life",https://www.sidneyrmc.com/Content/Uploads/sidneyrmc.com/files/2020%20SRMC%20CHNA(1).pdf,https://www.sidneyrmc.com/Content/Uploads/sidneyrmc.com/files/2020%20SRMC%20CHNA(1).pdf,N/A,,,,,,,,
6660990,St. Francis Memorial Hospital,430 North Monitor Street,West Point,68788-1555,NE,"Franciscan Sisters of Christian Charity Sponsored Ministries, Inc.",,2019,List of Counties,"Madison, Stanton, Burt, Cuming",N/A,N/A,N/A,"Chronic disease control and sepsis, Behavioral/Mental health",https://frhs.org/assets/uploads/general/2019_FRHS_Community_Health_Needs_Assessment.pdf,https://frhs.org/assets/uploads/general/2019_FRHS_Community_Health_Needs_Assessment.pdf,N/A,,,,,,,,
6660935,Syracuse Area Health,2731 Healthcare Drive,Syracuse,68446,NE,,Yes,2019,Combination of counties and places,"Johnson, Nemaha, Otoe, Pawnee, Richardson",N/A,"Nebraska, Pawnee, Falls, Syracuse, Auburn","Prevalence of substance use/abuse and physical inactivity, High rates of obesity, Cancer, Heart disease, Mental health needs",N/A,https://www.syracuseareahealth.com/media/2583/2019-southeast-health-district-community-health-assessment.pdf,N/A,N/A,,,,,,,,
6660305,Thayer County Health Services,120 Park Avenue,Hebron,68370-2019,NE,,Yes,N/A unable to find,,,,,,,,,,,,,,,,,
6660128,Tri Valley Health System,1305 West Highway 6 and 34,Cambridge,69022-0488,NE,,Yes,2022,"Combination of counties, zip codes, and places","Cambridge, Arapahoe, Holbrook, Wilsonville, Oxford, Edisonm, Hendley, Mccook, Indianola, Bartley","69022, 68922, 68948, 68926, 69046, 68967, 68936, 68946, 69001, 69034, 69020","CAMBRIDGE, ARAPAHOE, HOLBROOK, BEAVER CITY, OXFORD, EDISON, HENDLEY, MCCOOK, INDIANOLA, BARTLEY","Quality of Healthcare Services, Access to Care Specialists, Preventative Health / Wellness, OBGYN Services / Care, Community / Public Health, Pharmacy EMS Services, Healthcare Staff, Access to Primary Care
","Mental health, Senior health, Child care, Uninsured/underinsured, Awareness of healthcare services, Dental services taking Medicaid, Housing, Nutrition - healthy food, School health ",https://www.trivalleyhealth.com/uploads/8/0/9/2/80927396/final_2022_chna_report.pdf,https://www.trivalleyhealth.com/uploads/8/0/9/2/80927396/website_march_2022_imp._plan_working_draft.pdf,info@trivalleyhealth.com,,,,,,,,
6661000,Twelve Clans Unity Hospital,Highway 7577,Winnebago,68071,NE,,N/A,N/A unable to find,,,,,,,,,,,,,,,,,
6660761,Valley County Health System,2707 L Street,Ord,68862-1275,NE,,Yes,2019,"Combination of counties, zip codes, and places","Blaine, Custer, Garfield, Greeley, Howard, Loup, Sherman, Valley, Wheeler","68862, 68823, 68853, 68859, 68874, 68637, 68879, 68815, 68875, 68828, 68837","Ord, Burwell, Loup City, North Loup, Sargent, Ericson, Taylor, Arcadia, Scotia, Comstock, Elyria ","Heart disease, Stroke, Diabetes, Overweight and Obesity, Current use of smokeless tobacco, Binge drinking, Wearing a seatbelt, Getting an influenza immunization, Dental visit in the last year","Alcohol and Drug Use, Texting while Driving, Overweight and Obesity, Poor Eating Habits, Cancer, Aging Problems, Heart Disease and Stroke, Diabetes, Mental Health, High Blood Pressure",https://www.valleycountyhealthsystem.org/assets/site/files/Community%20Health%20Needs%20Assessment%202019.pdf,N/A,bries@valleycountyhealthsystem.org,,,,,,,,
6660004,Veterans Affairs Nebraska-Western Iowa Health Care System - Lincoln,600 South 70th Street,Lincoln,68510-2493,NE,Department of Veterans Affairs,,N/A unable to find,,,,,,,,,,,,,,,,,
6660745,Veterans Affairs Nebraska-Western Iowa Health Care System,4101 Woolworth Avenue,Omaha,68105-1873,NE,Department of Veterans Affairs,,N/A unable to find,,,,,,,,,,,,,,,,,
