ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_Plan,Contact
6930833,Garden Grove Hospital and Medical Center,12601 Garden Grove Boulevard,Garden Grove,92843-1959,CA,Prime Healthcare Services,Unable to Find,N/A unable to find,,,,,,,,,
6932030,Garfield Medical Center,525 North Garfield Avenue,Monterey Park,91754-1205,CA,"AHMC & Healthcare, Inc.",Unable to Find,N/A unable to find,,,,,,,,,
6931530,Gateways Hospital and Mental Health Center,1891 Effie Street,Los Angeles,90026-1793,CA,,Non-Profit,2019,"Combination of counties, zip codes, and places",Los Angeles,"90004, 90005, 90006, 90010, 90012, 90013, 90014, 90015, 90017, 90019, 90020, 90021, 90023, 90026, 90027, 90028, 90029, 90030, 90031, 90032, 90033, 90036, 90038, 90039, 90041, 90042, 90046, 90048,, 90050, 90051, 90053, 90054, 90055, 90057, 90060, 90065, 90068, 90069, 90070, 90071, 90072, 90074, 90075, 90076, 90078, 90079, 90081, 90084, 90086, 90087, 90088, 90093, 90096, 90102","Hollywood, Highland Park, West Hollywood, Echo Park, Wilshire La Brea E., Pico Heights, West Adams, USC N, Downtown","Facility and Infrastructure Improvements, Staff Training, Improved Placement for Homeless  Patients, Addressing Barriers to Healthcare and Services","Facility and Infrastructure Improvements, Staff Training, Improved Placement for Homeless Patients, Addressing Barriers to Healthcare and Services",https://www.gatewayshospital.org/_files/ugd/91e56b_739d4bd8f6d54ce3baceafaf7de322c9.pdf,https://www.gatewayshospital.org/_files/ugd/91e56b_945bed9aecee4ad485d5403ec0476995.pdf,N/A
6930850,Glendale Memorial Hospital and Health Center,1420 South Central Avenue,Glendale,91204-2594,CA,CommonSpirit Health,Non-Profit,2022,Combination of zip codes and places,N/A,"90026, 90029, 90027, 90039, 90041, 90042, 90065, 91042, 91201, 91202, 91203, 91204, 91205, 91206, 91207, 91208, 91214","Echo Park, East Hollywood, Loz Feliz, Atwater Village, Eagle Rock, Highland Park, Glassell Park, Tujunga, Glendale, La Crescenta","Poverty & Homelessness, Mental Health & Substance Abuse, Access to Medical Care, Cardiovascular Diseases, Preventative Wellness, Dental Care, Obesity/Overweight, Geriatric Support, Diabetes","Poverty & Homelessness, Mental Health & Substance Abuse, Access to Medical Care, Cardiovascular Diseases, Preventative Wellness, Dental Care, Obesity/Overweight, Geriatric Support, Diabetes",https://www.dignityhealth.org/content/dam/dignity-health/pdfs/chna/2022-chna/gmhhc-chna-22.pdf,https://www.dignityhealth.org/content/dam/dignity-health/pdfs/socal/gmhhc-2020-2022-implementation-strategy.pdf,cassie.mccarty@dignityhealth.org
6930860,Glendora Community Hospital,150 West Route 66,Glendora,91740-6207,CA,Prime Healthcare Services,Unable to Find,N/A unable to find,,,,,,,,,
6933893,Glenn Medical Center,1133 West Sycamore Street,Willows,95988-2745,CA,,Unable to Find,N/A unable to find,,,,,,,,,
6933401,Goleta Valley Cottage Hospital,351 South Patterson Avenue,Santa Barbara,93111-2496,CA,Cottage Health,Non-Profit,2022,List of Zip Codes,N/A,"93454, 93252, 93254, 93455, 93458, 93434, 93420, 93463, 93427, 93436, 93437, 93438, 93441, 93460, 93464, 93440, 93429, 93013, 93014, 93117, 93116, 93118, 93110, 93111, 93108, 93150, 93101, 93102, 93103, 93105, 93106, 93107, 93109",N/A,"Overall good health, insurance status, primary are provider, cost as a barrier to care, diabetes, food insecurity, depression, mental health days, severe mental illness, adverse childhood experiences, memntal health stigma, housing insecurity","Access to healthcare, behavioral health, chronic conditions, resiliency, social needs",https://www.cottagehealth.org/population-health/community-health-needs-assessment/,https://www.cottagehealth.org/app/files/public/874e456c-8e13-4bc2-92fa-f6152337866b/Cottage_Population_Health_Community_Benefit_Implementation_Strategy_2019-2022.pdf,N/A
6931540,Good Samaritan Hospital,1225 Wilshire Boulevard,Los Angeles,90017-2395,CA,PIH Health,Non-Profit,2022,Combination of zip codes and places,N/A,"90003, 90004, 90005, 90006, 90007, 90011, 90012, 90013, 90015, 90017, 90018, 90019, 90020, 90026, 90037, 90044, 90057","Los Angeles/Southeast LA, Los Angeles/Oakwood, Los Angeles/Sanford, Los Angeles/Pico Union, Los Angeles/Dockweiler, Los Angeles/Chinatown, Los Angeles/DTLA, Los Angeles/Jefferson Park, Los Angeles/Mid-Wilshire, Los Angeles/Koreatown/Wilshire, Los Angeles/Echo Park, Los Angeles","Access to Healthcare (primary care, specialty care, dental care), Birth Indicators  (teen births, prenatal care, lowbirth weight babies), Chornic Diseases (asthma, cancer, diabetes, heart disease, liver disease, stroke), COVID-19, Economic Insecurity, Education, Food insecurity, Housing/homelessness, Mental health, Overweight and obesity (healthy eating and physical activity), Preventive practices (vaccines, screenings, fall prevention), Substance use, Violence and injury prevention","Access to Healthcare (Including Primary Care, Dental Care and Mental Health Care), Chronic Disease (Including Overweight and Obesity), Preventive Practices, Substance Use, Social Determinants of Care (Including Food Insecurity and Housing and Homelessness)",https://www.pihhealth.org/app/files/public/42b3deed-daf6-4629-8aef-4ec7a9adfc8e/FINAL_CHNA%20Report%202022-Good%20Samaritan.9.23.22.pdf,https://www.pihhealth.org/app/files/public/7fb79b0d-deb2-42e7-a1b6-da7400c7f211/Community%20Health%20Improvement%20Plan%202022_PHGSH.pdf,(562) 698-0811
6930203,Good Samaritan Hospital,901 Olive Drive,Bakersfield,93308-4144,CA,,,N/A unable to find,,,,,,,,,
6930076,Good Samaritan Hospital,2425 Samaritan Drive,San Jose,95124-3997,CA,HCA Healthcare,,N/A unable to find,,,,,,,,,
6933564,Greater El Monte Community Hospital,1701 Santa Anita Avenue,South El Monte,91733-3411,CA,"AHMC & Healthcare, Inc.",,N/A unable to find,,,,,,,,,
6933683,Harbor-UCLA Medical Center,1000 West Carson Street,Torrance,90502-2059,CA,Los Angeles County-Department of Health Services,Non-Profit,N/A unable to find,,,,,,,,,
6930970,Hazel Hawkins Memorial Hospital,911 Sunset Drive,Hollister,95023-5695,CA,,Non-Profit,N/A unable to find,,,,,,,,,
6930950,Healdsburg District Hospital,1375 University Avenue,Healdsburg,95448-3382,CA,,Non-Profit,N/A unable to find,,,,,,,,,
6930117,Healthbridge Children's Hospital,393 South Tustin Street,Orange,92866-2501,CA,Nexus Health Systems,For-Profit,2022,List of Counties,Orange County,N/A,N/A,"Mental Health, Education Challenges, Housing, Nutrition, Access to Care, Child Safety","Mental Health, Education Challenges, Housing, Nutrition, Access to Care, Child Safety",https://healthbridgecc.com/wp-content/uploads/2022/06/HealthBridge-CHNA-merged-documents-RP-6.28.22.pdf,https://healthbridgecc.com/wp-content/uploads/2022/06/HealthBridge-CHNA-merged-documents-RP-6.28.22.pdf,N/A
6930955,Hemet Valley Medical Center,1117 East Devonshire Avenue,Hemet,92543-3083,CA,Physicians for Healthy Hospitals,For-Profit,N/A unable to find,,,,,,,,,
6933488,Henry Mayo Newhall Hospital,23845 McBean Parkway,Valencia,91355-2083,CA,,Non-Profit,2022,Combination of zip codes and places,N/A,"91350, 91390, 91351, 91387, 91384, 91321, 91354, 91381, 91355","Agua Dulce/Saugus, Canyon Country, Castaic/Val Verde, Newhall, Santa Clarita, Stevenson Ranch, Valencia","Access to health care, chronic diseases, COVID-19, Housing and homelessness, mental health, overweight/obesity (healthy eating and physical activity), preventative practices (screening and immunizations), substance use","Access to health care, mental health, substance use, housing and homelessness, chronic diseases, preventative practices (screenings and immunizations), COVID-19, overweight/obesity (healthy eating and physical activity)",https://www.henrymayo.com/app/files/public/3f5a915d-e7cf-4a20-b329-e9edc4593ad5/Henry%20Mayo%202022%20CHNA%20Report%20Final.pdf,https://www.henrymayo.com/app/files/public/23926b56-64a8-4289-8ca5-333b21ffdb4b/Community%20Benefit/Henry-Mayo-2020-2022-Implementation-Strategy-Final.pdf,thompsona@henrymayo.com
6932715,Heritage Oaks Hospital,4250 Auburn Boulevard,Sacramento,95841-4164,CA,"Universal Health Services, Inc.",For-Profit,N/A unable to find,,,,,,,,,
6933703,Hi-Desert Medical Center,6601 White Feather Road,Joshua Tree,92284,CA,TENET Healthcare Corporation,For-Profit,N/A unable to find,,,,,,,,,
6930275,Highland Hospital,1411 East 31st Street,Oakland,94602-1018,CA,Alameda Health System,Public,N/A unable to find,,,,,,,,,
6932115,Hoag Memorial Hospital Presbyterian,One Hoag Drive,Newport Beach,92663-4120,CA,Providence St. Joseph Health,Non-Profit,2022,Combination of counties and places,Orange County,N/A,"Irvine, Huntington Beach, Costa Mesa, Newport Beach, Santa Ana,Tustin, Lake Forest, Fountain Valley, Aliso Viejo, Anaheim, Mission Viejo, Orange, Laguna Beach, Westminster, Laguna Niguel, Newport Coast, Corona Del Mar, Garden Grove, San Clemente, Trabuco Canyon, Laguna Woods, Ladera Ranch, Rancho Santa Margarita, Yorba Linda, Seal Beach, Laguna Hills, Fullerton, San Juan Capistrano, Dana Point","Access to Health Care, Behavioral and Mental Health, Cancer/Chronic Disease, Community and Family Safety, COVID-19/Contagious and Infectious Diseases, Economic and Financial Insecurity, Environment/Climate Change, Housing and Homelessness","Access to Health Care, Behavioral and Mental Health, Cancer/Chronic Disease",https://upload.cdn-hoag.org/wp-content/uploads/2022/12/08205838/2022-CHNA-Final120822posted.pdf,https://upload.cdn-hoag.org/wp-content/uploads/2023/05/11115901/Implementation-Strategy-2023-2025-Final-BOD-050923.pdf,CommunityBenefit@Hoag.org
6930679,Hoag Orthopedic Institute,16250 Sand Canyon Avenue,Irvine,92618-3714,CA,,Non-Profit,2022,Combination of counties and places,Orange County,N/A,"Irvine, Huntington Beach, Costa Mesa, Newport Beach, Santa Ana,Tustin, Lake Forest, Fountain Valley, Aliso Viejo, Anaheim, Mission Viejo, Orange, Laguna Beach, Westminster, Laguna Niguel, Newport Coast, Corona Del Mar, Garden Grove, San Clemente, Trabuco Canyon, Laguna Woods, Ladera Ranch, Rancho Santa Margarita, Yorba Linda, Seal Beach, Laguna Hills, Fullerton, San Juan Capistrano, Dana Point","Access to Health Care, Behavioral and Mental Health, Cancer/Chronic Disease, Community and Family Safety, COVID-19 / Contagious and Infectious Diseases, Economic and Financial Insecurity, Environment/ Climate Change, Housing and Homelessness","Access to Health Care, Behavioral and Mental Health, Cancer/Chronic Disease",https://upload.cdn-hoag.org/wp-content/uploads/2022/12/08205838/2022-CHNA-Final120822posted.pdf,https://upload.cdn-hoag.org/wp-content/uploads/2023/05/11115901/Implementation-Strategy-2023-2025-Final-BOD-050923.pdf,CommunityBenefit@Hoag.org
6931670,Hollywood Presbyterian Medical Center,1300 North Vermont Avenue,Los Angeles,90027-6306,CA,,For-Profit,N/A unable to find,,,,,,,,,
6930673,Humboldt County Mental Health,720 Wood Street,Eureka,95501-4413,CA,,,N/A unable to find,,,,,,,,,
6931002,Huntington Beach Hospital,17772 Beach Boulevard,Huntington Beach,92647-6896,CA,Prime Healthcare Services,Non-Profit,2021,List of Counties,Orange County,N/A,N/A,"Substance Misuse, Housing (affordable) and access to health for unhoused population, Mental Health, Diabetes, Education","Infant and Child Health, Older Adult Health, Obesity & Diabetes, Behavorial Health",https://hbhospital.org/wp-content/uploads/2022/11/CHNA_Orange-County-_Huntington-Beach-Hospital_.pdf,https://hbhospital.org/wp-content/uploads/2022/11/2019-2021-CHNA_implementationPlan.pdf,714-843-5000
6932350,Huntington Memorial Hospital,100 West California Boulevard,Pasadena,91105-3097,CA,,Non-Profit,2022,"Combination of counties, zip codes, and places","Los Angeles County, Pasadena County","91001, 91101,91103,91104,91105, 91106,91107,91108,91030","Altadena, Pasadena, San Marino, South Pasadena","Access to care, Chronic Diseases, COVID 19, Dental Health, Housing & Homelessness, Mental Health, Overweight & Obesity, Preventive practices, substance use and misuse","Housing Insecurity & Homelessness, Mental Health, Older Adults and Aging, Access to Care, Exercise, Nutrition, Weight, Maternal, Infant and Child Health",https://www.huntingtonhealth.org/wp-content/uploads/2022/06/Pasadena-CHNA-2022.pdf,https://www.huntingtonhealth.org/wp-content/uploads/2020/04/Implementation-Strategy-2019.pdf,N/A
6930819,Jerold Phelps Community Hospital,733 Cedar Street,Garberville,95542-3292,CA,,,N/A unable to find,,,,,,,,,
6930672,Jewish Home of San Francisco,302 Silver Avenue,San Francisco,94112-1510,CA,,Non-Profit,2022,List of Counties,"Butte, Sonoma, Napa, Yolo, Marin, Solano, Contra Costa, Alameda, Santa Clara, Santa Cruz, Monterey, Freso, Maderna, Mariposa, El Dorado, Placer, Nevada, Sacramento, San Joaquin, Stanislaus, San Francisco",N/A,N/A,"Access to coordinated, culturally and linguistically appropriate care and service, Food security, healthy eating and active living, Housing security and an end to homelessness, Safety from violence and trauma, Social, emotional, and behavioral health ","Access to coordinated, culturally and linguistically appropriate care and service, Food security, healthy eating and active living, Housing security and an end to homelessness, Safety from violence and trauma, Social emotional and behavioral health",https://sfcjl.org/pdf/2022-SF-CHNA-Report.pdf,https://sfcjl.org/pdf/Implementation%20Strategy.pdf,pcmiel@sfcjl.org
6931850,John C. Fremont Healthcare District,5189 Hospital Road,Mariposa,95338-9524,CA,,,N/A unable to find,,,,,,,,,
6931028,John F. Kennedy Memorial Hospital,47111 Monroe Street,Indio,92201-6799,CA,TENET Healthcare Corporation,Non-Profit,2020,List of Places,N/A,N/A,"Cathedral City, Coachella, Desert Hot Springs, Indian Wells, Indio, La Quinta, Palm Desert, Palm Springs, Rancho Mirage","Access to Care, Economic Stability, Education Access and Quailty, Environment, Mental Health","Access to Care, Economic Stability, Education Access and Quailty, Environment, Mental Health",https://www.dhcd.org/media/1617/DHCD%20CHNA%20Report%20and%20Foreword%209-1-21%20PART%201.pdf ,N/A,CLeier@HARCdata.org
6930108,John Muir Behavioral Health Center,2740 Grant Street,Concord,94520-2265,CA,John Muir Health,Non-Profit,2019,List of Counties,"Solano, Contra Costa, Marin, Alameda",N/A,N/A,"Housing and Homelessness, Behavioral Health, Economic Security, Health Care Access and Delivery, Community and Family Safety, Education and Literacy, Healthy Eating/Active Living, Transportation and Traffic, Climate/Natural Environment","Access to Care, Behavioral and Mental Health, Economic Security",https://www.johnmuirhealth.com/content/dam/jmh/Documents/Community/JMH_2019CHNA_FinalReport_12.18.2019.pdf,https://www.johnmuirhealth.com/content/dam/jmh/Documents/Community/JMH_2019-Implementation-Strategy_FinalReport_12.18.2019.pdf,community.benefit@johnmuirhealth.com
6930480,"John Muir Medical Center, Concord",2540 East Street,Concord,94520-1906,CA,John Muir Health,Non-Profit,2022,List of Counties,"Solano County, Contra Costa County, Marin County, Alameda County",N/A,N/A,"Housing and Homelessness, Behavioral Health, Economic Security, Health Care Access and Delivery, Community and Family Safety, Education and Literacy, Healthy Eating/Active Living, Transportation and Traffic, Climate/Natural Environment","Access to Care, Behavioral and Mental Health, Economic Security",https://www.johnmuirhealth.com/content/dam/jmh/Documents/Community/John%20Muir%20Health%20CHNA%20Report%2012.14.2022_Final.pdf,https://www.johnmuirhealth.com/content/dam/jmh/Documents/Community/JMH_2019-Implementation-Strategy_FinalReport_12.18.2019.pdff,community.benefit@johnmuirhealth.com
6933853,"John Muir Medical Center, Walnut Creek",1601 Ygnacio Valley Road,Walnut Creek,94598-3194,CA,John Muir Health,Non-Profit,2022,List of Counties,"Solano County, Contra Costa County, Marin County, Alameda County",N/A,N/A,"Housing and Homelessness, Behavioral Health, Economic Security, Health Care Access and Delivery, Community and Family Safety, Education and Literacy, Healthy Eating/Active Living, Transportation and Traffic, Climate/Natural Environment","Access to Care, Behavioral and Mental Health, Economic Security",https://www.johnmuirhealth.com/content/dam/jmh/Documents/Community/John%20Muir%20Health%20CHNA%20Report%2012.14.2022_Final.pdf,https://www.johnmuirhealth.com/content/dam/jmh/Documents/Community/JMH_2019-Implementation-Strategy_FinalReport_12.18.2019.pdf,community.benefit@johnmuirhealth.com
6930675,Joyce Eisenberg-Keefer Medical Center,7150 Tampa Avenue,Reseda,91335-3700,CA,,Unable to Find,N/A unable to find,,,,,,,,,
6930137,Kaiser Permanente Antioch Medical Center,4501 Sand Creek Road,Antioch,94531-8687,CA,Kaiser Foundation Hospitals,Non-Profit,2022,Combination of counties and places,Contra Costa County,N/A,"Antioch, Bay Point, Brentwood, Knightsen, Oakley, and Pittsburg","Behavioral Health, Economic Security, Housing and Homelessness, Health Care Access and Delivery, Education and Literacy, Community and Family Safety, Health Eating/Active Living, Transportation and Traffic, Climate/Natural Environment","Behavioral Health, Economic Security, Housing and Homelessness, Health Care Access and Delivery, Education and Literacy, Community and Family Safety, Health Eating/Active Living, Transportation and Traffic, Climate/Natural Environment",https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/antioch-chna-2022.pdf,https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/antioch-is-2022.pdf,CHNA-communications@kp.org
6930098,Kaiser Permanente Baldwin Park Medical Center,1011 Baldwin Park Boulevard,Baldwin Park,91706-5806,CA,Kaiser Foundation Hospitals,Non-Profit,2022,List of Places,N/A,N/A,"Azusa, Baldwin Park, Chino Hills, El Monte, La Habra Heights, Pomona, West Covina, Whittier","Income and employment,  Access to care, Housing, Mental and behavioral health, Education ","Income and employment,  Access to care, Housing, Mental and behavioral health, Education ",https://community.kp.org/downloads/baldwin-park-chna-2022.pdf,https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/baldwin-park-is-2022.pdf,CHNA-communications@kp.org
6930243,Kaiser Permanente Downey Medical Center,9333 Imperial Highway,Downey,90242-2812,CA,Kaiser Foundation Hospitals,Non-Profit,2022,Combination of counties and places,Los Angeles,N/A,"Artesia, Bell, Bell Gardens, Bellflower, Cerritos, Commerce, Compton, Cudahy, Downey, Florence-Graham, Hawaiian Gardens, Huntington Park, Lakewood, Lynwood, Maywood, North Long Beach, Norwalk, Paramount, Pico Rivera, Santa Fe Springs, South Gate, portions of South Los Angeles, Vernon, Watts, Whittier, Willowbrook","Housing, Mental and behavioral health, Access to care, Income and employment, Structural racism, Food insecurity","Housing, Mental and behavioral health, Access to care, Income and employment, Structural racism, Food insecurity",https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/downey-chna-2022.pdf,https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/downey-is-2022.pdf,CHNA-communications@kp.org
6930737,Kaiser Permanente Fontana Medical Center,9961 Sierra Avenue,Fontana,92335-6794,CA,Kaiser Foundation Hospitals,Non-Profit,2022,Combination of counties and places,"San Bernardino, Los Angeles, Riverside County",N/A,"Angelus Oaks, Apple Valley, Banning, Beaumont, Big Bear City, Big Bear Lake, Bloomington, Calimesa, Cedar Glen, Cedarpines Parks, Cherry Valley, Colton, Crestline, Crest Park, Diamond Bar, Fawnskin, Fontana, Forest Falls, Glen Avon, Grand Terrace, Green Valley, Hesperia, Highland, Lake Arrowhead, Loma Linda, Lytle Creek, Mentone, Mountain View Acres, Muscoy, Patton, Phelan, Pinon Hills, Redlands, Rialto, Rimforest, Rubidoux, Running Springs, San Bernardino, Skyforest, Sugarloaf, Twin Peaks, Victorville, Wrightwood, Yucaipa","Housing, Mental and behavioral health, Access to care, Income and employment, Structural racism, Food insecurity","Housing, Mental and behavioral health, Access to care, Income and employment, Structural racism, Food insecurity",https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/fontana-ontario-chna-2022.pdf,https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/fontana-ontario-is-2022.pdf,CHNA-communications@kp.org
6930413,Kaiser Permanente Fremont Medical Center,39400 Paseo Padre Parkway,Fremont,94538-2310,CA,Kaiser Foundation Hospitals,Non-Profit,2022,Combination of counties and places,Alameda County,N/A,"Fremont, Newark, Union City","Housing, Access to care, Mental and behavioral health, Income and employment","Housing, Access to care, Mental and behavioral health, Income and employment",https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/fremont-chna-2022.pdf,https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/fremont-is-2022.pdf,CHNA-communications@kp.org
6930052,Kaiser Permanente Fresno Medical Center,7300 North Fresno Street,Fresno,93720-2942,CA,Kaiser Foundation Hospitals,Non-Profit,2022,Combination of counties and places,"Fresno county, Madera county, Kings county, Tulare county",N/A,"Ahwahnee, Auberry, Bass Lake, Biola, Burrel, Caruthers, Clovis, Coarsegold, Del Rey, Dinuba, Five Points, Fresno, Fowler, Friant, Hanford, Helm, Kerman, Kingsburg, Laton, Madera, North Fork, Oakhurst, Oâ€™Neals, Orange Cove, Parlier, Piedra, Prather, Raisin City, Reedley, Riverdale, San Joaquin, Sanger, Selma, Squaw Valley, Sultana, Tollhouse, Tranquillity, Traver, Wishon","Mental health, economic security, access to care, violence/injury prevention, substance abuse/tobacco, obesity/HEAL/diabetes, climate and health, asthma, oral health","Mental health, economic security, access to care, violence/injury prevention",https://about.kaiserpermanente.org/content/dam/internet/kp/comms/import/uploads/2019/09/Fresno-CHNA-2019.pdf,https://about.kaiserpermanente.org/content/dam/internet/kp/comms/import/uploads/2020/04/Fresno-IS-2019.pdf,https://www.kp.org/chna 
6930051,Kaiser Permanente Los Angeles Medical Center,4867 Sunset Boulevard,Los Angeles,90027-5961,CA,Kaiser Foundation Hospitals,Non-Profit,2022,List of Places,N/A,N/A,"Beverly Hills, Culver City, El Segundo, Inglewood, Malibu, Santa Monica, West Hollywood, and part of Los Angeles, which includes the communities of Baldwin Hills, Cheviot Hills, Crenshaw, Hyde Park, Jefferson Park, La Tijera, Leimert Park, Mar Vista, Mid City, Miracle Mile, Ocean Park, Pacific Palisades, Palms, Playa Del Rey, Rancho Park, Rimpau, University Park, Venice, Vermont Knolls, West Adams, Westchester, Westwood, Wilshire, Ladera Heights, Lennox, Marina del Rey, View Park, Westmont, Windsor Hills","Access to health care, employment and education, food insecurity, housing insecurities and homelessness, mental health, obesity and diabetes, racial equality, substance abuse","Access to health care, employment and education, food insecurity, housing insecurities and homelessness, mental health, obesity and diabetes, racial equality, substance abuse",https://about.kaiserpermanente.org/content/dam/internet/kp/comms/import/uploads/2019/09/West-Los-Angeles-CHNA-2019.pdf,https://about.kaiserpermanente.org/content/dam/internet/kp/comms/import/uploads/2020/04/West-Los-Angeles-IS-2019.pdf,CHNA-communications@kp.org    
6930059,Kaiser Permanente Manteca Medical Center,1777 West Yosemite Avenue,Manteca,95337-5187,CA,Kaiser Foundation Hospitals,Non-Profit,2022,Combination of counties and places,San Joaquin county,N/A,"Ceres, Escalon, Farmington, French Camp, Hughson, Lathrop, Lockeford, Lodi, Manteca, Oakdale, Patterson, Ripon, Riverbank, Stockton, Tracy, Waterford","Mental health, economic security, obesity/HEAL/diabetes, violence/injury prevention, access to care, substance abuse/tobacco, asthma, oral health, climate, health","Mental health, economic security, obesity/HEAL/diabetes",https://about.kaiserpermanente.org/content/dam/internet/kp/comms/import/uploads/2019/09/Manteca-CHNA-2019.pdf,https://about.kaiserpermanente.org/content/dam/internet/kp/comms/import/uploads/2020/04/Manteca-IS-2019.pdf,CHNA-communications@kp.org
6930040,Kaiser Permanente Moreno Valley Medical Center,27300 Iris Avenue,Moreno Valley,92555-4800,CA,Kaiser Foundation Hospitals,Non-Profit,2022,Combination of counties and places,Moreno Valley,N/A,"Hemet, Homeland, Lakeview, March Air Reserve Base, Moreno Valley, Nuevo, Perris, Romoland, San Jacinto","Access to Care, Mental Health, Obesity/Diabetes","Access to Care, Mental Health, Obesity/Diabetes",https://about.kaiserpermanente.org/content/dam/internet/kp/comms/import/uploads/2019/09/Moreno-Valley-CHNA-2019.pdf,https://about.kaiserpermanente.org/content/dam/internet/kp/comms/import/uploads/2019/09/Moreno-Valley-CHNA-2019.pdf,https://www.kp.org/chna
6930067,Kaiser Permanente Oakland Medical Center,3600 Broadway,Oakland,94611-5693,CA,Kaiser Foundation Hospitals,Non-Profit,2022,Combination of counties and places,Oakland county,N/A,"Alameda, Albany, Berkeley, Emeryville, Oakland","Income and employment, Housing, Access to care, Community safety, Mental and behavioral health","Income and employment, Housing, Access to care, Community safety, Mental and behavioral health",https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/oakland-chna-2022.pdf,https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/oakland-is-2022.pdf,CHNA-communications@kp.org
6930075,Kaiser Permanente Orange County Anaheim Medical Center,3440 East La Palma Avenue,Anaheim,92806-2020,CA,Kaiser Foundation Hospitals,Non-Profit,2022,Combination of counties and places,Orange County,N/A,"Anaheim, Irvine","Mental and behavioral health, Income & employment, Access to care, Housing, Food Insecurity, Education","Mental and behavioral health, Income & employment, Access to care, Housing, Food Insecurity, Education",https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/anaheim-irvine-chna-2022.pdf,https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/anaheim-irvine-is-2022.pdf,CHNA-communications@kp.org
6933784,Kaiser Permanente Panorama City Medical Center,13652 Cantara Street,Panorama City,91402-5497,CA,Kaiser Foundation Hospitals,Non-Profit,2022,Combination of counties and places,Panorama City,N/A,Antelope Valley,"Access to care, Income & employment, Mental & Behavioral Health, Housing, Education, Family & social support","Access to care, Income & employment, Mental & Behavioral Health, Housing, Education, Family & social support",https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/panaroma-city-chna-2022.pdf,https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/panorama-city-is-2022.pdf,CHNA-communications@kp.org
6932551,Kaiser Permanente Redwood City Medical Center,1100 Veterans Boulevard,Redwood City,94063-2087,CA,Kaiser Foundation Hospitals,Non-Profit,2022,List of Counties,Redwood City,N/A,N/A,"Income & employment, Housing, Mental and behavioral health, Access to care, Structral racism, Education","Income & employment, Housing, Mental and behavioral health, Access to care, Structral racism, Education",https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/redwood-city-chna-2022.pdf,https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/redwood-city-is-2022.pdf,CHNA-communications@kp.org
6932605,Kaiser Permanente Riverside Medical Center,10800 Magnolia Avenue,Riverside,92505-3000,CA,Kaiser Foundation Hospitals,Non-Profit,2022,Combination of counties and places,Western Riverside,N/A,"Corona, Eastvale, Jurupa Valley, Lake Elsinore, Menifee, Murrieta, Narco, Riverside City, Temecula, Temescal Valley, Wildomar, Winchester","Housing, Income & employment, Access to care, Mental & behavioral health, Structural racism","Housing, Income & employment, Access to care, Mental & behavioral health, Structural racism",https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/riverside-chna-2022.pdf,https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/riverside-is-2022.pdf,CHNA-communications@kp.org
6930421,Kaiser Permanente Roseville Medical Center,1600 Eureka Road,Roseville,95661-3027,CA,Kaiser Foundation Hospitals,Non-Profit,2022,Combination of counties and places,"Amador, El Dorado, Placer, Sacramento, Nevada, Sutter, Yuba",N/A,"North Highlands/Foothill Farms, Citrus Heights, El Dorado Hills, Roseville, Lincoln, Auburn, Placerville, Olivehurst","Access to care, Housing, Mental & behavioral health, Income & employment, Climate & environment, Community safety","Access to care, Housing, Mental & behavioral health, Income & employment, Climate & environment, Community safety",https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/roseville-chna-2022.pdf,https://about.kaiserpermanente.org/content/dam/kp/mykp/documents/reports/community-health/roseville-is-2022.pdf,CHNA-communications@kp.org
