ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Non-Profit_Status,CHNA_Year,,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6520225,Rhea Medical Center,9400 Rhea County Highway,Dayton,37321-7922,TN,QHR,Non-Profit,2019,"Combination of counties, zip codes, and places",Rhea ,"37321, 37332, 37337, 37338, 37381","Dayton, Evensville,  Grandview,  Graysville, Spring City","Affordability, Access to Care, Smoking, Drug and Substance Abuse, Obesity, Overweight, Cancer, Women Health, Mental Health, Suicide","Access to healthcare, quality of healthcare, priorities of the National Quality Strategy",http://rheamedical.org/wp-content/uploads/2020/07/Rhea-Medical-Center-2019-Community-Health-Needs-Assessment.pdf,http://rheamedical.org/wp-content/uploads/2020/07/Rhea-Medical-Center-2019-Community-Health-Needs-Assessment.pdf,N/A
6521084,Ridgeview Psychiatric Hospital and Center,240 West Tyrone Road,Oak Ridge,37830-6571,TN,,Unable to find,N/A unable to find,,,,,,,,,
6520067,Riverview Regional Medical Center,158 Hospital Drive,Carthage,37030-1096,TN,LifePoint Health,For-Profit,N/A unable to find,,,,,,,,,
6520350,Roane Medical Center,8045 Roane Medical Center Dr,Harriman,37748-8333,TN,Covenant Health,Unable to find,2019,List of Counties,Roane ,N/A,N/A,"Substance Abuse Disorder, Suicide, Health Education for Chronic Disease, Mental Health Services, Improving Acess to Hleathcare","Substance Abuse Disorder, Suicide, Health Education for Chronic Disease, Mental Health Services, Improving access to Healthcare",https://www.roanemedical.com/wp-content/uploads/sites/10/2019/12/2019-ROANE-COUNTY-ASSESSMENT-FINAL-PDF.pdf,https://www.roanemedical.com/wp-content/uploads/sites/10/2019/12/2019-ROANE-COUNTY-ASSESSMENT-FINAL-PDF.pdf,https://www.roanemedical.com/contact-us/
6520169,Rolling Hills Hospital,2014 Quail Hollow Circle,Franklin,37067-5967,TN,"Universal Health Services, Inc.",Unable to find,N/A unable to find,,,,,,,,,
6520812,Saint Francis Hospital,5959 Park Avenue,Memphis,38119-5198,TN,TENET Healthcare Corporation,Unable to find,N/A unable to find,,,,,,,,,
6520029,Saint Francis Hospital-Bartlett,2986 Kate Bond Road,Bartlett,38133-4003,TN,TENET Healthcare Corporation,Unable to find,N/A unable to find,,,,,,,,,
6529160,Saint Thomas DeKalb Hospital,520 West Main Street,Smithville,37166-1138,TN,Ascension Healthcare,Unable to find,2019,List of Counties,DeKalb ,N/A,N/A,"Substance Abuse disorder, mental health, Obesity, Education/kids health, Access"," Substance abuse/mental health, obesity, education/kid's health, access to care",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-saint-thomas-dekalb-hospital-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-dekalb-county-tn-implementation-strategy.pdf,N/A
6520069,Saint Thomas Hickman Hospital,135 East Swan Street,Centerville,37033-1417,TN,Ascension Healthcare,Unable to find,2019,List of Counties,Hickman ,N/A,N/A,"Demographics & Socioeconomic Status, Social Determinants, access to health care, morbidity and mortality, birth outcomes, behavioral risk factors, health status","mental health, substance abuse, transportation, education ",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-saint-thomas-hickman-hospital-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-hickman-county-tn-implementation-strategy.pdf,N/A
6521207,Saint Thomas Highlands Hospital,401 Sewell Road,Sparta,38583-1299,TN,Ascension Healthcare,Unable to find,2019,List of Counties,White  ,N/A,N/A,"Substance abuse including smoking/nicotine, Obesity, Access to care, Kids/ Poverty, Chronic diseases","Substance abuse, Obesity, Access to care, Kids/ Poverty, Chronic diseases",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-saint-thomas-highlands-hospital-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-white-county-tn-implementation-strategy.pdf,N/A
6520032,Saint Thomas Hospital for Spinal Surgery,"2011 Murphy Avenue, Suite 400",Nashville,37203-2065,TN,Ascension Healthcare,Non-Profit,2019,List of Counties,Davidson ,N/A,N/A,"Access to Care, Housing and Homelessness, Poverty, Mental and Emotional Health, Health Education, Obesity, Health Disparities","Obesity, Access to care, Mental health, Substance abuse",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-ascension-saint-thomas-midtown-hospital-chna.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-davidson-county-tn-implementation-strategy.pdf,N/A
6520935,Saint Thomas Midtown Hospital,2000 Church Street,Nashville,37236-0002,TN,Ascension Healthcare,Non-Profit,2019,List of Counties,Davidson ,N/A,N/A,"Access to Care, Housing and Homelessness, Poverty, Mental and Emotional Health, Health Education, Obesity, Health Disparities","Obesity, Access to care, Mental health, substance abuse",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-ascension-saint-thomas-midtown-hospital-chna.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-davidson-county-tn-implementation-strategy.pdf,N/A
6520005,Saint Thomas River Park Hospital,1559 Sparta Street,Mc Minnville,37110-1316,TN,Ascension Healthcare,Unable to find,2021,List of Counties,Warren ,N/A,N/A,"Access to healthcare and insurance, mental health, substance misuse","Access to healthcare and insurance, mental health, substance misuse",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2021-chna-ascension-saint-thomas-river-park-warren-county.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2021-chna-ascension-saint-thomas-river-park-warren-county.pdf,N/A
6520920,Saint Thomas Rutherford Hospital,1700 Medical Center Parkway,Murfreesboro,37129-2245,TN,Ascension Healthcare,Unable to find,2019,List of Counties,Rutherford ,N/A,N/A,"Affordable Care, Mental Health/Addiction, Lifestyle/Behaviors","Mental Health/Substance Abuse, Access to Basic Needs, Concentration on Housing, Enhance Resources & Services, Nutrition and Obesity",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-saint-thomas-rutherford-hospital-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-saint-thomas-rutherford-hospital-chna-report.pdf,N/A
6521260,Saint Thomas Stones River Hospital,324 Doolittle Road,Woodbury,37190-1139,TN,Ascension Healthcare,Unable to find,2021,List of Counties,Cannon  ,N/A,N/A,"Substance abuse, mental health, healthy lifestyles, feasibility","Substance abuse , mental health, healthy lifestyles,  feasibility ",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2021-chna-ascension-saint-thomas-stones-river-hospital-cannon-county.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2021-is-ascension-saint-thomas-stones-river-hospital-cannon-county.pdf,N/A
6521040,Saint Thomas West Hospital,4220 Harding Road,Nashville,37205-2095,TN,Ascension Healthcare,Unable to find,2019,List of Counties,Davidson ,N/A,N/A,"Access to Care, Mental Health and toxic stress, health equity, meeting basic needs and social determinants","Access to Care, Mental Health and toxic stress,health equity, meeting basic needs and social determinants",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-ascension-saint-thomas-west-hospital-chna.pdf,N/A,N/A
6529160,Saint Thomas DeKalb Hospital,520 West Main Street,Smithville,37166-1138,TN,Ascension Healthcare,Non-Profit,2019,List of Counties,DeKalb ,N/A,N/A,"Substance use disorder/mental health, Obesity, Education/ kids health, Access to healthcare","Mental Health and substance abuse, Obesity, Access to care, Youth issues",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-saint-thomas-dekalb-hospital-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2016-saint-thomas-dekalb-hospital-implementation-strategy.pdf,N/A
6520069,Saint Thomas Hickman Hospital,135 East Swan Street,Centerville,37033-1417,TN,Ascension Healthcare,Unable to find,2019,List of Counties,Hickman ,N/A,N/A,"Mental Health/substance abuse, Physical inactivity/obesity, Transportation, Education ","Access to Care, Mental Health, Obesity, Substance abuse ",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-saint-thomas-hickman-hospital-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-hickman-county-tn-implementation-strategy.pdf,N/A
6521207,Saint Thomas Highlands Hospital,401 Sewell Road,Sparta,38583-1299,TN,Ascension Healthcare,Non-Profit,2019,List of Counties,White ,N/A,N/A,"Substance abuse including smoking/ nicotine, Obesity, Access to care, Kids/ poverty, Chronic diseases","Access to Care, Mental Health, Obesity, Substance Abuse ",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-saint-thomas-highlands-hospital-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-white-county-tn-implementation-strategy.pdf,N/A
6520032,Saint Thomas Hospital for Spinal Surgery,"2011 Murphy Avenue, Suite 400",Nashville,37203-2065,TN,Ascension Healthcare,Non-Profit,2019,List of Counties,Davidson ,N/A,N/A,"Access to Care; Housing and Homelessness; Poverty, Mental and Emotional Health; Health Education; Obesity; Health Disparities","Obesity, Access to care, Mental health, Substance abuse",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-ascension-saint-thomas-midtown-hospital-chna.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-ascension-saint-thomas-midtown-hospital-chna.pdf,N/A
6520935,Saint Thomas Midtown Hospital,2000 Church Street,Nashville,37236-0002,TN,Ascension Healthcare,Unable to find,2019,List of Counties,Davidson ,N/A,N/A,"Access and coordination of resources, meeting basic needs and social determinants, Mental health and toxic stress, Access and affordability of healthcare","Access and Coordination of Resources, Meeting Basic Needs and Social Determinants, Mental Health and Toxic Stress, Access and Affordability of Healthcare",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-ascension-saint-thomas-midtown-hospital-chna.pdf,N/A,N/A
6520005,Saint Thomas River Park Hospital,1559 Sparta Street,Mc Minnville,37110-1316,TN,Ascension Healthcare,Non-Profit,2021,List of Counties,Warren  ,N/A,N/A,"Access to healthcare and insurance, Mental health, Substance use disorder","Access to healthcare and insurance, Mental health, Substance use disorder",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2021-chna-ascension-saint-thomas-river-park-warren-county.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2021-chna-ascension-saint-thomas-river-park-warren-county.pdf,N/A
6520920,Saint Thomas Rutherford Hospital,1700 Medical Center Parkway,Murfreesboro,37129-2245,TN,Ascension Healthcare,Non-Profit,2019,List of Counties,Rutherford ,N/A,N/A,"Mental health/Substance abuse, Access to Basic Needs (concentration on housing), Enhance Resources and Services, Nutrition and Obesity ","Mental health/Substance abuse, Access to Basic Needs (concentration on housing), Enhance Resources and Services, Nutrition and Obesity ",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-saint-thomas-rutherford-hospital-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-rutherford-county-tn-implementation-strategy.pdf,N/A
6521260,Saint Thomas Stones River Hospital,324 Doolittle Road,Woodbury,37190-1139,TN,Ascension Healthcare,Unable to find,2019,List of Counties,Cannon ,N/A,N/A,"Obesity, substance use disorder, mental health, education, access","Obesity, substance use disorder, mental health, education, access",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-saint-thomas-stones-river-hospital-chna-report.pdf,N/A,N/A
6521040,Saint Thomas West Hospital,4220 Harding Road,Nashville,37205-2095,TN,Ascension Healthcare,Non-Profit,2019,List of Counties,Davidson ,N/A,N/A,"Access and coordination of resources, meeting basic needs and social determinants, Mental health and toxic stress, Access and affordability of healthcare","Access and coordination of resources, meeting basic needs and social determinants, Mental health and toxic stress, Access and affordability of healthcare",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-ascension-saint-thomas-west-hospital-chna.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/tennessee/2019-ascension-saint-thomas-west-hospital-chna.pdf,N/A
6520039,Select Specialty Hospital-Memphis,"5959 Park Avenue, 12th Floor",Memphis,38119-5200,TN,Select Medical Corporation,For-Profit,N/A unable to find,,,,,,,,,
6520021,Select Specialty Hospital-Nashville,2000 Hayes Street,Nashville,37203-2318,TN,Select Medical Corporation,Unable to find,N/A unable to find,,,,,,,,,
6520034,Select Specialty Hospital-North Knoxville,"7557B Dannaher Drive, Suite 145",Powell,37849-3568,TN,Select Medical Corporation,Unable to find,N/A unable to find,,,,,,,,,
6520041,Select Specialty Hospital-Tri Cities,"One Medical Park Boulevard, 5th Floor",Bristol,37620-8964,TN,Select Medical Corporation,Unable to find,N/A unable to find,,,,,,,,,
6520139,Siskin Hospital for Physical Rehabilitation,One Siskin Plaza,Chattanooga,37403-1306,TN,,Unable to find,2021,Combination of counties and places,Hamilton,N/A,"Hixon, Chattanooga, Cleveland, East Brainerd","Disability, COVID-19, Heart disease and Stroke, Diabetes, Accident/Injury, Traumatic Brain Injury, Movement Disorders, & Behavioral Health","Lack of scholarship beds, insurance limitations, information, transportation. ",https://www.siskinrehab.org/wp-content/uploads/Documents/Siskin-Hospital-Community-Needs-Assessment-FY-2021.docx.pdf,https://www.siskinrehab.org/wp-content/uploads/Documents/Siskin-Hospital-Community-Needs-Assessment-FY-2021.docx.pdf,N/A
6520590,Southern Tennessee Regional Health System-Lawrenceburg,1607 South Locust Avenue,Lawrenceburg,38464-4011,TN,LifePoint Health,Non-Profit,N/A unable to find,,,,,,,,,
6521135,Southern Tennessee Regional Health System-Pulaski,1265 East College Street,Pulaski,38478-4541,TN,LifePoint Health,Unable to find,N/A unable to find,,,,,,,,,
6521185,Southern Tennessee Regional Health System-Winchester,185 Hospital Road,Winchester,37398-2404,TN,LifePoint Health,Unable to find,N/A unable to find,,,,,,,,,
6520031,Spire Cane Creek Rehabilitation Hospital,180 Mount Pelia Road,Martin,38237-3812,TN,Encompass Health Corporation,For-Profit,N/A unable to find,,,,,,,,,
6520815,St. Jude Children's Research Hospital,262 Danny Thomas Place,Memphis,38105-3678,TN,,Non-Profit,2022,List of Counties,"Memphis, Shelby ",N/A,N/A,"Poverty, Employment, Food Insecurity , Education, Mental health , Chronic Diseases ","Improving access to mental health; Improving access and equity to clinical trials; Improving access to providers,resources, and coordinated care; Conducting cancer prevention work through education and HPV vaccination; Increasing awareness and education of sickle cell disease and infectious diseases (HIV/AIDS) in the community; Strengthen community partnerships in the greater Memphis area to address social determinants of health for local patients",https://www.stjude.org/content/dam/en_US/shared/www/patient-support/sjcrh-chna-report-2022.pdf,https://www.stjude.org/content/dam/en_US/shared/www/patient-support/sjcrh-chna-report-2022.pdf,N/A
6520010,Starr Regional Medical Center,1114 West Madison Avenue,Athens,37303-4150,TN,LifePoint Health,Unable to find,N/A unable to find,,,,,,,,,
6520297,Sumner Regional Medical Center,555 Hartsville Pike,Gallatin,37066-2400,TN,LifePoint Health,Non-Profit,N/A unable to find,,,,,,,,,
6521220,Sweetwater Hospital,304 Wright Street,Sweetwater,37874-2823,TN,,Unable to find,2021,List of Counties,Monroe ,N/A,N/A,"community based adult and youth education, crisis services, counselors available at SHA to visit inpatient discharge patient and outpatients in MD offices, social services at SHC, education nutrition and wellness, fitness options, screening, early childhood education, general community awareness ","Substance abuse, Chronic disease, nutrition, obesity, fitness",http://sweetwaterhospital.org/wp-content/uploads/2021/12/Community-Needs-Assessment-2021.pdf,N/A,N/A
6520253,Sycamore Shoals Hospital,1501 West Elk Avenue,Elizabethton,37643-2874,TN,Ballad Health,Unable to find,2021,List of Counties,"Carter, Johnson, Unicoi ",N/A,N/A,"Substance abuse, Housing, Chronic disease, Discrimination, Transportation, Education, Mental health, Food insecurity/Lack of proper nutrition, ACEs, Access to care","Substance abuse, Mental health, ACEs, Transportation",https://www.balladhealth.org/sites/default/files/SSH_Community_Health_Needs_Assessment_2021.pdf,N/A,N/A
6520455,Ten Broeck Tennessee Treatment Facility,"1 Medical Center Boulevard, 5 West",Cookeville,38501,TN,United Medical Corporation,Unable to find,N/A unable to find,,,,,,,,,
6520020,Tennessee Valley Healthcare System,1310 24th Avenue South,Nashville,37212-2637,TN,Department of Veterans Affairs,Non-Profit,N/A unable to find,,,,,,,,,
6520046,Tennova Healthcare - Cleveland,2305 Chambliss Avenue NW,Cleveland,37311-3847,TN,"Community Health Systems, Inc.",Unable to find,N/A unable to find,,,,,,,,,
6520175,Tennova Healthcare-Clarksville,651 Dunlop Lane,Clarksville,37040-5015,TN,"Community Health Systems, Inc.",Unable to find,2020,List of Counties,Montgomery,N/A,N/A,"Youth Obesity, Youth Nicotine Use, Drug Overdose, Physical Activity, Infant Mortality, Community Water Flouridation, Peventatble Hospitalizations, Smoking and Heart Health, Mental Health
","Smoking & Heart Health, Youth Obesity, Mental Health, Drug Overdose",https://www.tennovaclarksville.com/hospital-501-r-information,https://www.tennovaclarksville.com/Uploads/Public/Documents/Division%203/Tennova%20Healthcare/CHNA-strat-plan.pdf,Joey.Smith@tn.gov
6521224,Tennova Healthcare-Harton,1801 North Jackson Street,Tullahoma,37388-8259,TN,"Community Health Systems, Inc.",Unable to find,N/A unable to find,,,,,,,,,
6520421,Tennova Healthcare-Jefferson Memorial Hospital,110 Hospital Drive,Jefferson City,37760-5281,TN,"Community Health Systems, Inc.",Unable to find,N/A unable to find,,,,,,,,,
6520580,Tennova Healthcare-LaFollette Medical Center,923 East Central Avenue,La Follette,37766-2768,TN,"Community Health Systems, Inc.",Unable to find,N/A unable to find,,,,,,,,,
6521195,Tennova Healthcare-Shelbyville,2835 Highway 231 North,Shelbyville,37160-7327,TN,"Community Health Systems, Inc.",For-Profit,N/A unable to find,,,,,,,,,
6521072,Tennova Newport Medical Center,435 Second Street,Newport,37821-3799,TN,"Community Health Systems, Inc.",Unable to find,N/A unable to find,,,,,,,,,
6521230,Three Rivers Hospital,451 Highway 13 South,Waverly,37185-2109,TN,,Unable to find,N/A unable to find,,,,,,,,,
6520001,TriStar Ashland City Medical Center,313 North Main Street,Ashland City,37015-1347,TN,HCA Healthcare,Unable to find,N/A unable to find,,,,,,,,,
6520002,TriStar Centennial Medical Center,2300 Patterson Street,Nashville,37203-1528,TN,HCA Healthcare,Unable to find,N/A unable to find,,,,,,,,,
6520745,TriStar Hendersonville Medical Center,355 New Shackle Island Road,Hendersonville,37075-2479,TN,HCA Healthcare,Unable to find,N/A unable to find,,,,,,,,,
6520230,TriStar Horizon Medical Center,111 Highway 70 East,Dickson,37055-2080,TN,HCA Healthcare,Unable to find,N/A unable to find,,,,,,,,,
6521020,TriStar Skyline Medical Center,3441 Dickerson Pike,Nashville,37207-2539,TN,HCA Healthcare,Unable to find,N/A unable to find,,,,,,,,,
6521035,TriStar Southern Hills Medical Center,391 Wallace Road,Nashville,37211-4859,TN,HCA Healthcare,For-Profit,N/A unable to find,,,,,,,,,
6520028,TriStar StoneCrest Medical Center,200 StoneCrest Boulevard,Smyrna,37167-6810,TN,HCA Healthcare,Unable to find,N/A unable to find,,,,,,,,,
6520043,TriStar Summit Medical Center,5655 Frist Boulevard,Hermitage,37076-2053,TN,HCA Healthcare,For-Profit,N/A unable to find,,,,,,,,,
6520353,Trousdale Medical Center,500 Church Street,Hartsville,37074-1744,TN,LifePoint Health,Non-Profit,N/A unable to find,,,,,,,,,
6520456,TrustPoint Hospital,1009 North Thompson Lane,Murfreesboro,37129-4351,TN,"Acadia Healthcare Company, Inc.",Non-Profit,N/A unable to find,,,,,,,,,
6520270,Unicoi County Memorial Hospital,2030 Temple Hill Road,Erwin,37650,TN,Ballad Health,Non-Profit,2021,List of Counties,Unicoi  ,N/A,N/A,"Education, Mental Health, Adverse Childhood Experiences","Education, Mental Health, Adverse Childhood Experiences",https://www.balladhealth.org/sites/default/files/Unicoi_Community_Health_Needs_Assessment_2021.pdf,https://www.balladhealth.org/sites/default/files/Unicoi_Community_Health_Needs_Assessment_2021.pdf,N/A
6520665,Unity Medical Center,1001 McArthur Drive,Manchester,37355-2455,TN,,Non-Profit,2021,List of Zip Codes,N/A,"37355, 37342, 37388, 37357, 37110, 37026, 37398, 37366, 37313, 37352, 37190, 37349, 37387, 37018, 37166, 37755",N/A,"Adult primary care services, alcohol and drug abuse treatment, pediatric services, women's services, mental health services","Adult primary care services, alcohol and drug abuse treatment, pediatric services, women's services, mental health services",https://www.unitymedicalmanchester.com/_files/ugd/bf258b_b19fd1000a6247249f4e658c6324c2e8.pdf,N/A,N/A
6520447,Unity Psychiatric Care-Clarksville,930 Professional Park Drive,Clarksville,37040-5136,TN,Tennessee Health Management,Unable to find,N/A unable to find,,,,,,,,,
6529206,Unity Psychiatric Care-Columbia,1400 Rosewood Drive,Columbia,38401-4878,TN,Tennessee Health Management,Non-Profit,N/A unable to find,,,,,,,,,
6529207,Unity Psychiatric Care-Martin,458 Hannings Lane,Martin,38237-3308,TN,Tennessee Health Management,Non-Profit,N/A unable to find,,,,,,,,,
6520575,University of Tennessee Medical Center,1924 Alcoa Highway,Knoxville,37920-6900,TN,,Non-Profit,2019,List of Counties,"Knox, Fentress, Scott, Campbell, Claiborne, Hancock, Union, Grainger, Hawkins, Anderson, Morgan, Cumberland, Roane, Loudon, Blount, Sevier, Cocke, Monroe, McMinn, Jefferson",N/A,N/A,"Cancer, Substance abuse, Mental health, Obesity","Cancer, Substance abuse, Mental health, Obesity",https://www.utmedicalcenter.org/wp-content/uploads/2019/09/2019_combenneedsassess.pdf,N/A,N/A
6520007,Vanderbilt Stallworth Rehabilitation Hospital,2201 Childrens Way,Nashville,37212-3165,TN,Encompass Health Corporation,Non-Profit,2019,List of Counties,"Davidson, Rutherford, Williamson ",N/A,N/A,"Mental health and substance abuse, Access to resources and services, Basic needs and social determinants of health, Prevention and education","Mental health and substance abuse, Access to resources and services, basic needs and social determinants of health, Prevention and education",https://vanderbilt.thehcn.net/content/sites/vanderbilt/Reports/2019_CHNA_Report_FINAL_1.pdf,https://www.vumc.org/communityhealthimprovement/sites/default/files/Implementation%20Strategy%20FINAL.pdf,N/A
6521060,Vanderbilt University Medical Center,1211 Medical Center Drive,Nashville,37232-2102,TN,Vanderbilt Health,Unable to find,2019,List of Counties,"Davidson, Rutherford, Williamson ",N/A,N/A,"Mental health and substance abuse, Access to resources and services, basic needs and social determinants of health, Prevention and education","Mental health and substance abuse, Access to resources and services, basic needs and social determinants of health, Prevention and education",https://vanderbilt.thehcn.net/content/sites/vanderbilt/Reports/2019_CHNA_Report_FINAL_1.pdf,https://www.vumc.org/communityhealthimprovement/sites/default/files/Implementation%20Strategy%20FINAL.pdf,N/A
6520004,Vanderbilt Wilson County Hospital,1411 Baddour Parkway,Lebanon,37087-2513,TN,Vanderbilt Health,Unable to find,N/A unable to find,,,,,,,,,
6521234,Wayne Medical Center,103 J V Mangubat Drive,Waynesboro,38485-2440,TN,Maury Regional Health System,Non-Profit,2019,List of Counties,"Maury, Marshall, Wayne, Lewis ",N/A,N/A,"Youth obesity, physical acitivity, youth nicotine use, drug overdose, infant mortality, teen pregnancy, community water flouridation, frequent mental health distress, 3rd garde reading level, preventable hospitalizations, per capita personal income, access to parks and greenways","Smoking, obesity, physical inactivity, substance abuse",https://www.mauryregional.com/media/file/2019%20WMC%20CHNA.pdf,https://www.mauryregional.com/media/file/WMC%20IS%202019-2021.pdf,N/A
6231192,WellSpan Philhaven,283 South Butler Road,Mount Gretna,17064-6085,PA,WellSpan Health,Unable to find,N/A unable to find,,,,,,,,,
6520254,West Tennessee Healthcare Dyersburg Hospital,400 East Tickle Street,Dyersburg,38024-3120,TN,West Tennessee Healthcare,Non-Profit,2021,List of Counties,Dyer ,N/A,N/A,"Cancer, Heart disease, obesity, teen pregnantcy, diabetes, drug related issues","Covid-19, Chronic health conditions, Obesity, Mental health and substance abuse",https://www.wth.org/wp-content/uploads/2021/10/DyerCHNA_2021.pdf,https://www.wth.org/wp-content/uploads/2021/10/DyerCHNA_2021.pdf,N/A
6520668,West Tennessee Healthcare Volunteer Hospital,161 Mount Pelia Road,Martin,38237-3811,TN,West Tennessee Healthcare,Unable to find,N/A unable to find,,,,,,,,,
6520030,Western Mental Health Institute,"11100 Old Highway 64, West",Bolivar,38008-1554,TN,,Unable to find,N/A unable to find,,,,,,,,,
6520294,Williamson Medical Center,4321 Carothers Parkway,Franklin,37067-8542,TN,,Unable to find,2019,List of Counties,Williamson ,N/A,N/A,"Access to Care, Mental Health & Substance, Abuse, Social Determinants of Health, Wellness and Disease Prevention
","Expand access to care, Insurance & care affordability, Health education, Connection to resources and understanding health system, Healthy lifestyle support, Focus on children and seniors, Mental and Emotional health
",https://www.vumc.org/communityhealthimprovement/sites/default/files/PUBLIC_-_2019_Williamson_Summit_Slides.pdf,https://www.vumc.org/communityhealthimprovement/sites/default/files/PUBLIC_-_2019_Williamson_Summit_Slides.pdf,N/A
