 ,Healthcare Name,Street Address,City,Zipcode,State,Associated Health System,Hospital Funding Type,Year of CHNA,Service Area defined as,List of Counties,List of Zip Codes,List of Places,Health Needs of Service Area,Health Priorities,Link to CHNA,Link to Implementation Plan,Contact Listed
6360460,Hugh Chatham Memorial Hospital,180 Parkwood Drive,Elkin,28621-2430,NC,,Non-Profit,2022,Combination of counties and zip codes,"Surry, Wilkes, Yadkin, Alleghany","28683, 28676, 27017, 28621, 28642, 28670, 27020",N/A,"Cost of Care, Prescription Drug Abuse, Promotion of Healthy Living and Preventative Care","Cost of Care, Prescription Drug Abuse, Promotion of Healthy Living and Preventative Care",https://hughchatham.org/wp-content/uploads/2023/01/2022-Community-Health-Needs-Assessment-Report.pdf,https://hughchatham.org/wp-content/uploads/2023/01/2022-Community-Health-Needs-Assessment-Report.pdf,N/A
6361421,Iredell Health System,557 Brookdale Drive,Statesville,28677-4107,NC,,Non-Profit,2022,List of Counties,"Iredell, Alexander, Davie, Catawba, Wilkes",N/A,N/A,"Mental Health, Substance Abuse, Preventive Cancer screening","Health education about the impact of Diabetes, Cardiovascular diseases, Substance abuse, Cancer Screening",https://res.cloudinary.com/dpmykpsih/image/upload/iredell-health-system-site-359/media/62ba03765b9d4c8dadbe3dcc0c2db5ef/2022_chna_final.pdf,https://www.iredellhealth.org/media/1743/chna-2016.pdf,IredellHealth.org/Contact-Us
6361400,J. Arthur Dosher Memorial Hospital,924 North Howe Street,Southport,28461-3099,NC,,Non-Profit,2021,Combination of counties and places,Brunswick,N/A,Smithville,"Aging, Acess to Health Care, Environmental Health, Road Maintenance, Substance Misuse, Chronic Conditions, Social Determinants of Health, Infant and Maternal Health","Substance misuse, Acess to Health care, Chronic conditions ",https://www.dosher.org/docs/2021_2024_Community_Health_Needs_Assessment_0309022.pdf,https://www.dosher.org/docs/Community_Health_Implementation_Plan_2021_2024_030922.pdf,N/A
6361395,Johnston Health,509 North Bright Leaf Blvd,Smithfield,27577-4407,NC,UNC Health Care,Non-Profit,2022,List of Counties,Johnston,N/A,N/A,"Low Income, Substance Use, Transportation, Affordable Housing, Uninsured,Healthy food","Access to care, Substance use disorder, Transportation",https://www.johnstonhealth.org/app/files/public/4528f78e-35e2-43ab-8dbd-26e8d086da3d/Final%20Johnston%202021-2022%20CHNA%20(with%20resources).pdf,https://www.johnstonhealth.org/app/files/public/703a5ecb-b7c0-469d-aa86-2fc6ec02ccd1/CommunityHealthImplementationPlan_2022Presentation.pdf,health_dept@johnstonnc.com
6360200,Julian F. Keith Alcohol and Drug Abuse Treatment Center,201 Tabernacle Road,Black Mountain,28711-2599,NC,,Public,N/A unable to find,,,,,,,,,
6360640,Kindred Hospital-Greensboro,2401 Southside Boulevard,Greensboro,27406-3311,NC,Kindred Healthcare,For-Profit,N/A unable to find,,,,,,,,,
6360990,Lake Norman Regional Medical Center,171 Fairview Road,Mooresville,28117-9500,NC,"Community Health Systems, Inc.",For-Profit,N/A unable to find,,,,,,,,,
6361190,"Larry B. Zieverink, Sr. Alcoholism Treatment Center",3000 Falstaff Road,Raleigh,27610-1897,NC,,,N/A unable to find,,,,,,,,,
6360375,Lifebrite Community Hospital of Stokes,1570 NC 8 & 89 Highway North,Danbury,27016,NC,"LifeBrite Hospital Group, LLC",,N/A unable to find,,,,,,,,,
6360020,LifeCare Hospitals of North Carolina,1051 Noell Lane,Rocky Mount,27804-1761,NC,LifeCare Management Services,,N/A unable to find,,,,,,,,,
6360750,Margaret R. Pardee Memorial Hospital,800 North Justice Street,Hendersonville,28791-3410,NC,UNC Health Care,Non-Profit,2021,List of Counties,"Henderson, Buncombe, Cherokee, Clay, Graham, Haywood, Henderson, Jackson, Macon, Madison, McDowell, Mitchell, Polk, Rutherford, Swain, Transylvania, Yancey",n/a,n/a,"adult obesity, opiod overdose, tobacco, sexual health ","Mental Health, Substance Misuse , Physical Activity and Nutrition , Safe and Affordable Housing, Interpersonal Violence",https://www.hendersoncountync.gov/sites/default/files/fileattachments/health/page/37177/henderson_county_2021_cha_revised.26.22_0.pdf,https://embed.clearimpact.com/Scorecard/Embed/76150 ,cstewart@hendersoncountync.gov
6360730,Maria Parham Medical Center,566 Ruin Creek Road,Henderson,27536-2927,NC,Duke LifePoint Healthcare,Non-Profit,2022,List of Counties,"Granville, Vance, Franklin",N/A,N/A,"mental health and substance use, access to healthcare, youth well-being, community safety, access to healthy food and physical activity","mental health and substance use disorder, access to healthcare, engaging youth to advance community health and safety",https://www.mariaparham.com/sites/maria/assets/uploads/MPH%202022%20CHA.final.pdf ,https://www.mariaparham.com/sites/maria/assets/uploads/MPH%20CHNA%20Implementation%20Plan.pdf ,N/A
6361565,Martin General Hospital,310 South McCaskey Road,Williamston,27892-2150,NC,Quorum Health,Unable to Find,N/A unable to find,,,,,,,,,
6360970,McDowell Hospital,430 Rankin Drive,Marion,28752-6568,NC,HCA Healthcare,For-Profit,2016,List of Counties,"Buncombe, Cherokee, Clay, Graham, Haywood, 9 Henderson, Jackson, Macon, Madison, McDowell, Mitchell, Polk, Rutherford, Swain, Transylvania,Yancey",N/A,N/A,"Diabetes,Secondhand smoke, Overweight, Poverty, tobacco use,Substance abuse","Tobacco free lifestyles, Easy access to healthy food and activity, Addiction free lifestyles",https://missionhealth.org/wp-content/uploads/2018/04/2016-McDowell-Hospital-Community-Health-Needs-Assessment-CHNA.pdf,https://missionhealth.org/wp-content/uploads/2018/04/2013-McDowell-Hospital-Implementation-Strategy.pdf,N/A
6360013,Mission Hospital,509 Biltmore Avenue,Asheville,28801-4690,NC,HCA Healthcare,For-Profit,2016,List of Counties,"Buncombe, Madison",N/A,N/A,"Infant deaths, Obesity, Diabetes, Adverse Childhood experiences, Suicide, Sexually transmitted diseases","Intimate Partner Violence,  mental health, healthy weight, infant mortality",https://missionhealth.org/wp-content/uploads/2018/04/2016-Mission-Hospital-Community-Health-Needs-Assessment-CHNA.pdf,N/A,
6360002,Moses H. Cone Memorial Hospital,1200 North Elm Street,Greensboro,27401-1020,NC,Cone Health,Non-Profit,2019,List of Counties,"Alamance, Guilford,  Rockingham, Orange, Caswell, Forsyth, Chatham, Davidson, Randolph",N/A,N/A,"Prevention of Chronic Disease, Especially Diabetes, Prevention of Addiction and Promoting Strong Mental Health, Promoting Living Conditions that Contribute to Health, Eliminating Bias and Discrimination in Healthcare","Prevention of Chronic Disease, Especially Diabetes, Prevention of Addiction and Promoting Strong Mental Health, Promoting Living Conditions that Contribute to Health, Eliminating Bias and Discrimination in Healthcare",https://www.conehealth.com/app/files/public/d196655d-6bd5-414f-9eb2-aebe92606001/2019-cone-health-chna.pdf,https://www.conehealth.com/app/files/public/61ff653e-69c1-473a-b150-712215678282/Needs-Assessment-Action-Plan-2020-2022.pdf,N/A
6361291,Nash UNC Health Care,2460 Curtis Ellis Drive,Rocky Mount,27804-2237,NC,UNC Health Care,Non-Profit,2022,List of Counties,Nash,N/A,N/A,"crime, poverty, stds, adult obesity, diabetes, heart disease, cancer, teen births, respiratory disease","metabolic syndrome, poverty, behavioral health",https://www.nashunchealthcare.org/app/files/public/2208949e-8542-43a4-b932-e7f696ced57f/Nash%20County%202021-2022%20CHNA%20Report.pdf,https://www.nashunchealthcare.org/app/files/public/21dcf5f1-d864-42a6-9170-0900fc8c7873/2022_CHNA_ImplementationPlan_Adopted.pdf,kirby.slade@unchealth.unc.edu
6360250,Naval Hospital Camp Lejeune,100 Brewster Boulevard,Camp Lejeune,28547-2538,NC,"Bureau of Medicine and Surgery, Department of the Navy",Unable to Find,N/A unable to find,,,,,,,,,
6360019,New Hanover Regional Medical Center,2131 South 17th Street,Wilmington,28401-7483,NC,New Hanover Regional Medical Center,Non-Profit,2022,"Combination of counties, zip codes, and places","New Hanover, Brunswick, Pender, Onslow","28451, 28461,28462 28479,28412, 28401, 28411, 28403 28409, 28429, 28428, 28540, 28445, 28460, 28546, 28443 28457, 28425 ","Leland, Southport, Supply, Winnabow, Wilimington, Castle Hayne, Carolina Beach, Holly Ridge, Jacksonville, Sneads Ferry, Hampstead, Rocky Point, Burgaw ","Mental health/drug misuse, Resilience to toxic stress, Diabetes response, Hypertension ,Screenings to detect disease, Housing, Gun violence, Food security, Community building","Mental Health, Substance use, Access to care, Food insecurity",https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-pdfs/report-new-hanover-regional-medical-center-chna-2022-2024-11-17-22.pdf,https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-pdfs/report-new-hanover-regional-medical-center-chna-2022-2024-11-17-22.pdf,N/A
6361035,Northern Hospital of Surry County,830 Rockford Street,Mount Airy,27030-5365,NC,,For-Profit,2022,"Combination of counties, zip codes, and places","Patrick, Carrol, Surry","27007,27017,27024,27030, 27041,27047,28621,28676","Ararat, Dobson, Lowgap, Mount Airy, Pilot Mountain, Siloam, Elkin, State Road","Accessibility, Affordability, Obesity, Overweight, Mental Health, Cancer, Heart disease","Affordability/Accessibility, Education/Prevention, Obesity/Overweight",https://choosenorthern.org/wp-content/uploads/2022/11/final-CHNA-09.19.22.pdf,https://choosenorthern.org/wp-content/uploads/2022/11/final-CHNA-09.19.22.pdf,N/A
6361350,Novant Health Brunswick Medical Center,240 Hospital Drive NE,Bolivia,28422-8346,NC,Novant Health,Non-Profit,2019,List of Counties,"Pender, Brunswick",N/A,N/A,"Substance use, Mental Health, Education, Prevention and screening of Chronic diseases, Food insecurity, Housing, access to resources","Mental Health, Drug Misuse, Resilience to Toxic Stress, Diabetes Response, Hypertension, Screening to Detect Disease, Housing,Gun Violence, Food Security,Community Building",https://www.novanthealth.org/contentassets/a4bb8c0e198d4dd3a0a8907bb196e631/nhrmc-chna.pdf,https://www.novanthealth.org/Portals/92/novant_health/documents/about_us/community/2020-2021/2019-2021%20NHBMC%20CBIP.pdf,N/A
636060A,Novant Health Charlotte Orthopaedic Hospital,1901 Randolph Road,Charlotte,28207-1195,NC,Novant Health,Non-Profit,2022,"Combination of counties, zip codes, and places","Cabarrus, Catawba, Gaston, Iredell, Lancaster, Lincoln, Mecklenburg, Rowan, Stanly, Union, York","28027, 28025, 28601, 28054, 28120, 28056, 28052, 28117, 28115, 29707, 29720, 28037, 28227, 28215, 28216, 28105, 28269, 28277, 28214, 28078, 28226, 28210, 28031, 28205, 28208, 28211, 28213, 28273, 28270, 28278, 28212, 28036, 28206, 28217, 28207, 28209, 28202, 28146, 28001, 28110, 28173, 28104, 28079, 28112, 29708, 29730, 29710, 29732, 29715, 29745","concord, hickory, gastonia, mount holly, mooresville, fort mill, lancaster, denver, charlotte, matthews, huntersville, cornelius, davidson, salisbury, albemarle, monroe, waxhaw, indian trail, rock hill, clover","Access to care, Chronic disease prevention,Ê Emerging health issues, Healthy environment, Healthy pregnancy, HIV and other STIs, Injury Prevention, Mental health, Substance use disorder, Violence prevention","Mental Health,Ê Access to Care, Chronic Disease, Violence Prevention",https://www.google.com/url?q=https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-pdfs/report-charlotte-orthopedic-hospital-chna-2022-2024-10-19-22.pdf&sa=D&source=editors&ust=1699372524694675&usg=AOvVaw1E1mVRngUl3nu0lXThF45-,https://www.google.com/url?q=https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-pdfs/report-charlotte-orthopedic-hospital-chna-2022-2024-10-19-22.pdf&sa=D&source=editors&ust=1699372524694675&usg=AOvVaw1E1mVRngUl3nu0lXThF45-,N/A
6361685,Novant Health Forsyth Medical Center,3333 Silas Creek Parkway,Winston-Salem,27103-3090,NC,Novant Health,Non-Profit,2019,"Combination of counties, zip codes, and places",Winston-Salem,"27006, 27055, 27012, 27101, 27018, 27103, 27021, 27104, 27023, 27105, 27028, 27106, 27030, 27107, 27040, 27127, 27045, 27284, 27052, 27295","Advance Davie, Yadkinville Davie, Clemmons Forsyth, Winston Salem Forsyth, East Bend Yadkin, Winston Salem Forsyth, King Stokes, Winston Salem Forsyth, Lewisville Forsyth, Winston Salem Forsyth, Mocksville Davie, Winston Salem Forsyth, Mount Airy Surry, Winston Salem Forsyth, Pfafftown Forsyth, Winston Salem Forsyth, Rural Hall Forsyth, Kernersville Forsyth, Walnut Cove Forsyth, Lexington Davidson","Drug Overdose, Chronic Diseases including Oral Health, Mental Health, Communicable Diseases, Maternal & Infant Health, Health Disparities/Quality of Life","Chronic Diseases, Oral health, Sexual Health, Maternal and Infant Health",https://www.novanthealth.org/Portals/92/novant_health/documents/about_us/community/2020-2021/2019-2021%20NHFMC-CHNA.pdf,https://www.novanthealth.org/Portals/92/novant_health/documents/about_us/community/2020-2021/2019-2021%20NHFMC%20CBIP.pdf,N/A
6360026,Novant Health Huntersville Medical Center,10030 Gilead Road,Huntersville,28078-7545,NC,Novant Health,Non-Profit,2019,"Combination of counties, zip codes, and places",Mecklenburg,"28078, 28269, 28031, 28216, 28037, 28117, 28036, 28115, 28214, 28027","Huntersville, Charlotte, Cornelius, Denver, Mooresville, Davidson, Concord","Access to Care, Injury, Chronic Disease Prevention,  Mental Health, Environmental Health,  Substance Use Disorder, Healthy Pregnancy, Violence Prevention,HIV and STD","Mental Health, Access to care, Chronic Disease Prevention, Violence Prevention, Substance Use Disorder, Healthy Environment, HIV & STD Prevention, Healthy Pregnancy, Injury Prevention",https://www.novanthealth.org/Portals/92/novant_health/documents/about_us/community/2020-2021/2019-2021-NHHMC%20CHNA.pdf,https://www.novanthealth.org/Portals/92/novant_health/documents/about_us/community/2020-2021/2019-2021-NHHMC%20CHNA.pdf,N/A
6360012,Novant Health Matthews Medical Center,1500 Matthews Township Parkway,Matthews,28105-4656,NC,Novant Health,Non-Profit,2022,Combination of counties and zip codes,"Mecklenburg, Lancaster, Union","29707, 28105, 28227, 28277, 28270, 28212, 28226, 28215, 28079, 28110, 28104, 28173, 28112",N/A,"Mental Health, Access to Care, Chronic Disease, Violence Prevention","Mental Health, Access to Care, Chronic Disease, Violence Prevention",https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-pdfs/report-matthews-medical-center-chna-2022-2024-10-19-22.pdf,N/A,N/A
6361686,Novant Health Medical Park Hospital,1950 South Hawthorne Road,Winston-Salem,27103-3993,NC,Novant Health,Non-Profit,2022,Combination of counties and zip codes,"Davidson, Davie, Forsyth, Galax City, Guilford, Iredell, Stokes, Surry, Wilkes, Yadkin","27295, 27292, 27360, 27028, 27006, 27284, 27107, 27012, 27106, 27103, 27127, 27104, 27105, 27023, 27040, 27040, 27020, 27018",N/A,"Chronic Diseases, Drug Overdose, Maternal and Infant Health, Infant Mortality Disparity Ratio, Mental Health, Violence-Related Behaviors","Infant Mortality, Infant Mortality Disparity Ratio, Youth Violence, Chronic Disease, Behavioral Health",https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-pdfs/report-medical-park-hospital-chna-2022-2024-11-30-22.pdf,N/A,N/A
6360320,Novant Health Presbyterian Medical Center,200 Hawthorne Lane,Charlotte,28204-2528,NC,Novant Health,Non-Profit,2022,Combination of counties and zip codes,"Cabarrus, Gaston, Mecklenburg, Union, York","28027, 28012, 28205, 28216, 28215, 28208, 28227, 28269, 28212, 28214, 28210, 28211, 28206, 28078, 28273, 28105, 28213",N/A,"Access to care, Chronic disease prevention, Emerging health issues, Healthy environment, Healthy pregnancy, HIV and other STIs, Injury Prevention, Mental health, Substance use disorder, Violence prevention","Mental Health, Access to Care, Chronic Disease, Violence Prevention",https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-pdfs/report-presbyterian-medical-center-chna-2022-2024-10-19-22.pdf,N/A,N/A
6361340,Novant Health Rowan Medical Center,612 Mocksville Avenue,Salisbury,28144-2799,NC,Novant Health,Non-Profit,2022,Combination of counties and zip codes,"Cabarrus, Davidson, Davie, Rowan","28081, 27295, 27028, 28144, 28146, 28147, 28138, 28023, 28159, 27013, 27054 ",N/A,"Access to healthcare, Affordable housing, Child abuse and neglect, Employment and workforce, Healthy lifestyle behaviors, Mental health, Substance use, Transportation to essential health and human services, Violent crime"," Mental Health, Substance Use, Healthy Lifestyles",https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-pdfs/report-rowan-medical-center-chna-2022-2024-10-26-22.pdf,N/A,N/A
6361480,Novant Health Thomasville Medical Center,207 Old Lexington Road,Thomasville,27360-3428,NC,Novant Health,Non-Profit,2022,"Combination of counties, zip codes, and places","davidson, guilford, randolph","27360, 27295, 27292, 27239, 27263, 27370","lexington, thomasville, high point, trinity, denton","Substance abuse,Obesity , Mental Health, Diabetes, Cancer, Alcoholism, Tobacco, Infectious Diseases, Other Chronic Diseases, Sexually Transmitted Diseases, Lung Disease, Pediatric Health","Substance Abuse, Obesity, Mental Health, Diabetes, Cancer, Alcoholism, Tobacco, Infectious Diseases, Other Chronic Diseases, Sexually Transmitted Diseases, Lung Disease, Pediatric Health",https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-pdfs/report-thomasville-medical-center-chna-2022-2024-10-18-22.pdf,https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-pdfs/report-thomasville-medical-center-chna-2022-2024-10-18-22.pdf,N/A
6361690,Old Vineyard Behavioral Health Services,3637 Old Vineyard Road,Winston-Salem,27104-4842,NC,"Universal Health Services, Inc.",For-Profit,N/A unable to find,,,,,,,,,
6360805,Onslow Memorial Hospital,317 Western Boulevard,Jacksonville,28546-6379,NC,,Non-Profit,2021,List of Counties,Onslow ,N/A,N/A,"Access to Health Services, Economy, Exercise, Nutrition & Weight, Heart Disease & Stroke, Other Chronic Diseases, Public Safety, Respiratory Diseases, Social Environment, Substance Abuse","Exercise/Weight/Nutrition, Substance Abuse, Other Chronic Diseases ",https://d17k4s9qki18rb.cloudfront.net/media/uploads/Onslow-County-CHNA-2021_FINAL_reduced.pdf,https://d17k4s9qki18rb.cloudfront.net/media/uploads/Onslow-County-Community-Health-Implementation-Plan-2021-2024.pdf,will.broughton@foundationhli.org
6360225,Pender Memorial Hospital,507 East Freemont Street,Burgaw,28425-5131,NC,New Hanover Regional Medical Center,Non-Profit,2022,Combination of counties and zip codes,"PENDER, DUPLIN, NEW HANOVER, BRUNSWICK, SAMPSON","28425, 28457, 28478, 28466, 28421, 28405, 28435, 28521, 28401, 28451, 28411, 28444, 28458, 28443, 28412",N/A,"Access to healthcare, Mental health, Chronic disease, Dental health, Elder care options, Family planning, Pregnancy & infant wellness","Chronic Disease, Mental Health and Substance Use, Social Determinant of Health",https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-pdfs/report-novant-health-pender-medical-center-2022-2024-chna-12-14-22.pdf,https://www.novanthealth.org/globalassets/buttons-and-documents-ctaslinks/documents-pdfs/report-novant-health-pender-medical-center-2022-2024-chna-12-14-22.pdf,N/A
6361320,Person Memorial Hospital,615 Ridge Road,Roxboro,27573-4629,NC,Duke LifePoint Healthcare,For-Profit,2019,List of Counties,Person,N/A,N/A,"Chronic Disease, Overweight/Obesity","Chronic Disease, Overweight/Obesity",https://www.personhospital.com/sites/person/assets/uploads/About%20Us/Person%20Memorial%202019%20Community%20Health%20Needs%20Assessment.pdf,https://www.personhospital.com/sites/person/assets/uploads/About%20Us/Person%20Memorial%202019%20Implementation%20Plan.pdf,N/A
6360040,Randolph Hospital,364 White Oak Street,Asheboro,27203-5400,NC,Atrium Health,Non-Profit,2019,Combination of counties and places,Randolph,N/A,"Archdale, Asheboro, Franklinville, Liberty, Ramseur, Randleman, Seagrove, Staley, Trinity","Overweight/Obesity, Cancer, Diabetes, Mental Health, Overdose","Early and Middle Childhood, Health-Related Quality of Life and Well-Being, Mental Health",https://www.randolphhealth.org/media/1488/2019-randolph-county-community-health-assessment-final-report.pdf,https://www.randolphhealth.org/media/1488/2019-randolph-county-community-health-assessment-final-report.pdf,N/A
6361330,Rutherford Regional Health System,288 South Ridgecrest Avenue,Rutherfordton,28139-2838,NC,Duke LifePoint Healthcare,For-Profit,2021,Combination of counties and places,Rutherford,N/A,"Bostic, Chimney Rock, Ellenboro, Forest City, Rutherfordton, Ruth, Spindale, Lake Lure","Obesity, Prevalence of Diabetes, Prevalence of COPD, Food Insecurity, Lack of Health Insurance, Physical Activity, Current Smokers, Prevalence of Heart Disease","Food Insecurity, Prevalence of Diabetes, Obesity",http://www.foothillshd.org/images/forms/1000/1120/cha/2021/FH1120.001.2021-R.pdf,http://www.foothillshd.org/images/forms/1000/1120/cha/2021/FH1120.001.2021-R.pdf,N/A
6360348,Sampson Regional Medical Center,607 Beaman Street,Clinton,28328-2697,NC,,Non-Profit,2021,List of Counties,Sampson ,N/A,N/A,"Low income/Poverty, Drugs, Lack of community resources","Obesity, Substance use, Teen Pregnancy",https://schs.dph.ncdhhs.gov/units/ldas/cha2021/Sampson2021-CHA.pdf,https://schs.dph.ncdhhs.gov/units/ldas/cha2021/Sampson2021-CHA.pdf,N/A
6360870,Scotland Health Care System,500 Lauchwood Drive,Laurinburg,28352-5599,NC,Atrium Health,Non-Profit,2019,Combination of counties and places,Scotland ,N/A,"Gibson, Laurel Hill, Laurinburg, Wagram","Obesity, Mental health, Cancer, Dental health, Access to health care, Health literacy, Underinsured, Gangs/violence/crime","Obesity related hypertension, heart disease, and diabetes, Mental health including substance misuse, Lack of positive youth engagement and healthy behaviors",https://cdn.atriumhealth.org/-/media/scotlandhealth/documents/chna/scotland-health-care-system-community-health-assessment-and-improvement-plan-2019---final---copy.pdf?rev=e56680df37804d03980dbae24b23381c&hash=95CBEB6F8B7EB576C0C010996D6C1798,https://cdn.atriumhealth.org/-/media/scotlandhealth/documents/chna/scotland-health-care-system-community-health-assessment-and-improvement-plan-2019---final---copy.pdf?rev=e56680df37804d03980dbae24b23381c&hash=95CBEB6F8B7EB576C0C010996D6C1798,N/A
6360027,Select Specialty Hospital-Durham,"3643 North Roxboro Road, 6th Floor",Durham,27704-2702,NC,Select Medical Corporation,For-Profit,N/A unable to find,,,,,,,,,
6360147,Select Specialty Hospital-Greensboro,"1200 North Elm Street, 5th Floor",Greensboro,27401-1004,NC,Select Medical Corporation,For-Profit,N/A unable to find,,,,,,,,,
6360450,Sentara Albemarle Medical Center,1145 North Road Street,Elizabeth City,27909-3474,NC,Sentara Healthcare,Non-Profit,2022,List of Counties,"Camden, Currituck, Gates, Pasquotank, Perquimans, Chowan, Dare",N/A,N/A,"Addiction, Cancer, COPD, Diabetes, Heart Disease, Heart Health, Mental Health, Obesity, Renal","Lifestyle and Healthy Behaviors, Access to Healthcare, Chronic Care Management, including Mental Health, Mental Health",https://shc-p-001.sitecorecontenthub.cloud/api/public/content/7159668cd8234a7692665932aebaa0f8?v=608023fa,https://shc-p-001.sitecorecontenthub.cloud/api/public/content/7159668cd8234a7692665932aebaa0f8?v=608023fa,N/A
6360950,Southeastern Health,300 West 27th Street,Lumberton,28358-3075,NC,,Non-Profit,2020,Combination of counties and places,Robeson,N/A,"Alfordsville, Back Swamp, Britts, Burnt Swamp, East Howellsville, Fairmont, Gaddy, Lumber Bridge, Maxton, Orrum, Parkton, Pembroke, Philadelphus, Raft Swamp, Raynham, Red Springs, Rennert, Rowland, Saddletree, Shannon, Smiths, Smyrna, St. Pauls, Sterlings, Thompson, Union, West Howellsville, Whitehouse, Wishart","chronic disease, obesity, substance misuse, teenage pregnancy, gangs/violence",Obesity and Substance Misuse/Mental Health,https://www.unchealthsoutheastern.org/app/files/public/2a1ba70d-57a8-45f1-9e3c-23b010dd5d59/2020_CommunityHealthNeedsAssesment.pdf,https://www.unchealthsoutheastern.org/app/files/public/2a1ba70d-57a8-45f1-9e3c-23b010dd5d59/2020_CommunityHealthNeedsAssesment.pdf,N/A
6361490,St. Luke's Hospital,101 Hospital Drive,Columbus,28722-6418,NC,Atrium Health,Non-Profit,2021,List of Counties,Polk ,N/A,N/A,"Mental Health, Substance Misuse, Prenatal Care","Mental Health, Substance Misuse, Prenatal Care",https://www.stlukesnc.org/docs/20220317_PolkCounty2021CHAFinal3.pdf,https://www.stlukesnc.org/docs/2022-25_CHIP_Plan_FINAL_FINAL_6-7-2022.pdf,Richard.Graves@slhnc.org
6369137,Strategic Behavioral Health - Charlotte,1715 Sharon Road West,Charlotte,28210-5663,NC,"Strategic Behavioral Health, LLC",Unable to Find,N/A unable to find,,,,,,,,,
6369135,Strategic Behavioral Health - Raleigh,3200 Waterfield Drive,Garner,27529-7727,NC,"Strategic Behavioral Health, LLC",Unable to Find,N/A unable to find,,,,,,,,,
6369136,Strategic Behavioral Health - Wilmington,2050 Mercantile Drive,Leland,28451-4053,NC,"Strategic Behavioral Health, LLC",Unable to Find,N/A unable to find,,,,,,,,,
6360222,Swain Community Hospital,45 Plateau Street,Bryson City,28713-4200,NC,Duke LifePoint Healthcare,For-Profit,2021,List of Counties,Swain,N/A,N/A,"Chronic Disease, Substance use prevention and reducing substance abuse in our community, COVID-19 Pandemic","Chronic Disease, Substance use prevention and reducing substance abuse in our community, COVID-19 Pandemic",https://www.myswaincommunity.com/sites/swain/assets/uploads/2022%20Swain%20CHNA%202.22.pdf,https://www.myswaincommunity.com/sites/swain/assets/uploads/2022%20Swain%20CHNA%202.22.pdf,N/A
6360021,The Outer Banks Hospital,4800 South Croatan Highway,Nags Head,27959-9704,NC,Vidant Health,Non-Profit,2022,List of Counties,Dare,N/A,N/A,"Cancer, Older Adults & Related Issues, Mental Health, Substance Use, Access to Healthcare","Mental Health, Substance Use, Access to Healthcare",https://www.outerbankshealth.org/wp-content/uploads/2022/09/2022-Dare-County-CHNA-Final.pdf,https://www.outerbankshealth.org/wp-content/uploads/2022/08/CHNA-Implementation-Strategy_BoardApproval_August5_2022-SIGNED.pdf,N/A
6360220,Transylvania Regional Hospital,260 Hospital Drive,Brevard,28712-3378,NC,HCA Healthcare,For-Profit,2021,List of Counties,Transylvania,N/A,N/A,"Mental Health, Substance Use, Obesity","Mental Health, Substance Use, Obesity",https://transylvaniahealth.org/wp-content/uploads/2022/06/2021-Transylvania-County-CHA.pdf,https://transylvaniahealth.org/wp-content/uploads/2022/06/2021-Transylvania-County-CHA.pdf,tara.rybka@transylvaniacounty.org
6360840,UNC Lenoir Healthcare,100 Airport Road,Kinston,28501-1634,NC,UNC Health Care,Non-Profit,2021,"Combination of counties, zip codes, and places",Lenoir,"28501, 28502, 28503, 28504, 28551, 28572","Kinston, La Grange, Pink Hill","Wellness & Lifestyle, Prevention & Safety, Community, Maternal, Fetal & Infant Health, Cancer, Economy, Heart Disease, Mortality Data, Mental Health & Mental Disorders, Immunizations & Infectious Diseases","Wellness & Lifestyle, Mental Health/Substance Use, Immunizations & Infectious Diseases",https://lenoirmemorial.thehcn.net/content/sites/lenoirmemorial/Lenoir_County_2021_CHNA.pdf,https://lenoirmemorial.thehcn.net/content/sites/lenoirmemorial/2021-2022_UNC_Lenoir_Health_Care_Implementation_Strategies.pdf,N/A
6361210,UNC REX Health Care,4420 Lake Boone Trail,Raleigh,27607-6599,NC,UNC Health Care,Non-Profit,2022,Combination of counties and places,Wake,N/A,"Apex, Cary, Fuquay-Varina, Garner, Holly Springs, Knightdale, Morrisville, Raleigh, Rolesville, Wake Forest, Wendell, Zebulon","Affordable Housing & Homelessness, Access to Healthcare, Mental Health","Affordable Housing & Homelessness, Access to Healthcare, Mental Health",https://www.rexhealth.com/app/files/public/8bdc0a32-dfe9-468b-a679-6a14884f5ace/pdf-system-community-2022%20CHNA%20Report.pdf,https://www.rexhealth.com/app/files/public/8bdc0a32-dfe9-468b-a679-6a14884f5ace/pdf-system-community-2022%20CHNA%20Report.pdf,N/A
