Healthcare Name,Street_Address,City,Zipcode,State,Associated_Health_System,Nonprofit,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
Jefferson County Hospital,Highway 70 and 81,Waurika,73573-3075,OK,Duncan Regional Hospital,Yes,2022,Combination of counties and places,"Jefferson, Stephens",N/A,"Addington, Cornish, Hastings, Ringling, Ryan, Sudgen, Terral, Waurika",N/A,"Healthy Living, Behavioral Health, Safety & Injury Prevention",https://cloud.3dissue.com/5309/6212/11888/CHIP2022a/index.html?r=10,https://cloud.3dissue.com/5309/6212/11888/CHIP2022a/index.html?r=10,Kim Whaley 580-251-8558
Jim Taliaferro Community Mental Health,602 SW 38th Street,Lawton,73505,OK,,Unable to find,n/a unable to find,,,,,,,,,
Lakeside Women's Hospital,11200 North Portland Avenue,Oklahoma City,73120-5045,OK,INTEGRIS Health,Yes,2022,List of Counties,Oklahoma,N/A,N/A,"Tobacco use, Physical Activity, Chronic Disease, Cardiovascular Disease, Hypertension and Heart Disease, Cancer, Diabetes, Mental Health and Addiction, Suicide, Maternal Health","Obesity, Access to Care, Tobacco, Food Insecurity, Mental Health",https://integrisok.com/-/media/Community-Wellness/2022-CHNA/COHIT-CHNA-2022--Oklahoma-County.ashx,N/A,N/A
Laureate Psychiatric Clinic and Hospital,6655 South Yale Avenue,Tulsa,74136-3329,OK,Saint Francis Health System,Yes,2020,List of Counties,"Cherokee, Craig, Creek, Haskell, MAyes, McIntosh, Muskogee, Okmulgee, Rogers, Sequoyah, Tulsa, Wagoner",N/A,N/A,Aging problems and care,"Access to healthcare (primary care/screening and primary care and specialty providers), Behavioral health (substance abuse and mental health), Chronic diseases (diabetes cancer heart disease) and stroke, Lack of health insurance/ability to pay for healthcare ",https://issuu.com/saintfrancistulsa/docs/chna19,https://www.saintfrancis.com/assets/documents/sfhs-chna2019-implementation-strategy.pdf,N/A
Lawton Indian Hospital,1515 Lawrie Tatum Road,Lawton,73507-3099,OK,U. S. Indian Health Service,No,N/A unable to find,,,,,,,,,
Lindsay Municipal Hospital,Highway 19 West,Lindsay,73052,OK,,,N/A unable to find,,,,,,,,,
Mangum Regional Medical Center,One Wickersham Drive,Mangum,73554-9116,OK,,Yes,2018,Combination of counties and places,"Jackson, Harmon, Greer",N/A,Mangum,"Poverty all ages, mental health services, safe neighborhoods sidewalks parks, elder care, RX prescription assistance, childcare , youth activities","Affordable housing, Recovery from substance abuse, Well-paying jobs",https://mangumregional.net/wp-content/uploads/2019/01/Community_Needs_Assessment-signed-copy-2018.pdf,https://mangumregional.net/wp-content/uploads/2019/01/Community_Needs_Assessment-signed-copy-2018.pdf,lcrabb@qmhealth.org
McAlester Regional Health Center,One East Clark Bass Boulevard,McAlester,74501-4267,OK,,,N/A unable to find,,,,,,,,,
McCurtain Memorial Hospital,1301 Lincoln Road,Idabel,74745-7341,OK,McCurtain,Yes,2019,"Combination of counties, zip codes, and places","Choctaw, McCurtain, Pushmataha, Little River, Polk, Sevier","74734, 74740, 74745, 74728, 74766, 74736, 74750, 74764","Eagletown, Haworth, Idabel, Broken Bow, Wright City, Garvin, Millerton, Valliant, Lamar County TX","Overall wellness and education, improve quality of life, obesity rates along with physical inactivity rates- little opportunity for physical activity in rural areas, smoking, teen birth rate along with STIs, access to mental health providers, trauma informed care, motor vehicle crash death rate and potential correlation with substance abuse","Overall wellness and education, improve quality of life, obesity rates along with physical inactivity rates, smoking, access to mental health providers",https://www.mmhok.net/_files/ugd/1a6ae2_5058749add1a434faebcd7a1df8a7437.pdf,https://www.mmhok.net/_files/ugd/1a6ae2_dd584cb848924d7a8f0c18079e902946.pdf,"Corie Kaiser, Director. corie.kaiser@okstate.edu"
Memorial Hospital of Stilwell,1401 West Locust,Stilwell,74960-3275,OK,,Yes,N/A unable to find,,,,,,,,,
Memorial Hospital of Texas County,520 Medical Drive,Guymon,73942-4438,OK,,,N/A unable to find,,,,,,,,,
Mercy Health Love County,300 Wanda Street,Marietta,73448-1200,OK,Mercy,Yes,2019,"Combination of counties, zip codes, and places","Carter, Jefferson, Love, Murray, Stephens","73438, 73463, 73481, 73456, 73437, 73401, 73435, 73442, 73491, 73533, 73848, 73569, 74565, 73841, 73458, 73443, 73441, 73439, 73433, 73055","Healdton, Ardmore, Waurika, Marietta, Sulphur, Duncan ","Lack of physicians/Difficult to see provider/Retiring physicians, Level of care/Limited services available/Distance to services, Quality of care/Compassion for patient, Access to specialists, Cost of care/Cost for uninsured, ","Lack of physicians/Difficult to see provider/Retiring physicians, Level of care/Limited services available/Distance to services, Quality of care/Compassion for patient ",https://www.mercy.net/content/dam/mercy/en/pdf/chna/Healdton-CHNA-2019.pdf,https://www.mercy.net/content/dam/mercy/en/pdf/chna/Healdton-CHNA-2019.pdf,"Corie Kaiser, Director, coriekaiser@okstate.edu"
Mercy Hospital Ada,430 North Monte Vista,Ada,74820-4610,OK,Mercy,Yes,2019,List of Counties,"Garvin, Hughes, Johnston, Pontotoc, Seminole",N/A,N/A,"Lack of transportation, access to affordable health care, access to affordable health screenings, access to healthy lifestyle resources","Access to affordable health care, access to affordable health screenings, access to healthy lifestyle resources",https://www.mercy.net/content/dam/mercy/en/pdf/chna/Ada-CHNA-2019.pdf,N/A,N/A
Mercy Hospital Ardmore,1011 14th Avenue NW,Ardmore,73401-1828,OK,Mercy,Yes,2022,List of Counties,"Carter, Jefferson, Johnston, Love, Marshall, Murray",N/A,N/A,"Access to Care, Behavioral Health, Heart Disease/High Blood Pressure, Food Insecurity, Obesity and Diabetes, Affordable Housing","Access to Care, Behavioral Health, Food Insecurity",https://www.mercy.net/content/dam/mercy/en/pdf/chna/ardmore-chna-2022.pdf,N/A,N/A
Mercy Hospital Healdton,3462 Hospital Road,Healdton,73438-6124,OK,Mercy,,2022,"Combination of counties, zip codes, and places","Carter, Jerferson, Love, Murray, Stephens","73425, 73437, 73438, 73442, 73456, 73463, 73481, 73487, 73491, 73520, 73430, 73529, 73030, 73434, 73569, 73444, 73441, 73443, 73453, 73433, 73565, 73458, 73573","Healdton, Ardmore, Waurika, Marietta, Sulphur, Duncan ","Mental health/Substance abuse, Poverty, Diabetes/diabetes education, Heart disease, Smoking, Obesity/Physical inactivity/Access to exercise, Access to specialists, Suicide, Transportation, Affordable housing, Accessing healthy food options, Violent crime rate, STD/STI, Number of healthcare professionals, Premature death rates, Lack of overnight or long term housing options for homeless population in Ardmore","Mental health/Substance abuse, Poverty, Diabetes/diabetes education, Heart disease, Smoking, Obesity/Physical inactivity/Access to exercise, Access to specialists, Suicide, Transportation, Affordable housing, Accessing healthy food options, Violent crime rate, STD/STI, Number of healthcare professionals, Premature death rates, Lack of overnight or long term housing options for homeless population in Ardmore",https://www.mercy.net/content/dam/mercy/en/pdf/chna/healdton-chna-2022.pdf,https://www.mercy.net/content/dam/mercy/en/pdf/chna/healdton-chna-2022.pdf,"Corie Kaiser, Director, coriekaiser@okstate.edu"
Mercy Hospital Kingfisher,1000 Hospital Cirle,Kingfisher,73750-5002,OK,Mercy,,2019,"Combination of counties, zip codes, and places",Kingfisher,"73750, 73016, 73734, 73756, 73762, 73742, 73764, 73014, 73028, 73040, 73043","Kingfisher, Cashion, Dover, Loyal, Okarche, Hennessey, Omega, Calumet, Crescent, Geary, Greenfield ","Obesity, Smoking/Tobacco use, Mental health, Teen pregnancy, Opioids, Suicide","Obesity, Smoking/Tobacco use, Mental health, Teen pregnancy, Opioids, Suicide",https://osucrhblog.s3.amazonaws.com/chna/pdf/mercyhospkingfisher19.pdf,https://osucrhblog.s3.amazonaws.com/chna/pdf/mercyhospkingfisher19.pdf,"Corie Kaiser, Director, coriekaiser@okstate.edu"
Mercy Hospital Logan County,200 South Academy Road,Guthrie,73044-8727,OK,Mercy,,2019,"Combination of counties, zip codes, and places",Logan,"73044, 73028, 73050, 73058, 73063, 73016, 73027, 73025, 73056, 73073","Guthrie, Crescent, Langston, Meridian, and Mulhall","Transportation, Increase services and resources for an elderly population, Increase telemedicine services, Need for a community health advocate, Indigent prescription drug program, Increase need for mental health and behavioral health services","Transportation, Increase services and resources for an elderly population, Increase telemedicine services, Need for a community health advocate, Indigent prescription drug program, Increase need for mental health and behavioral health services",https://www.mercy.net/content/dam/mercy/en/pdf/chna/Guthrie-CHNA-2019.pdf,https://www.mercy.net/content/dam/mercy/en/pdf/chna/Guthrie-CHNA-2019.pdf,N/A
Mercy Hospital Oklahoma City,4300 West Memorial Road,Oklahoma City,73120-8362,OK,Mercy,Yes,2019,"Combination of counties, zip codes, and places"," El Reno, Watonga, Kingfisher, Guthrie","73107, 73109, 73111, 73102, 73069, 73127",,"Access to care, food/insecurity, mental/behavioral health, obesity, tobacco",N/A,https://www.mercy.net/content/dam/mercy/en/pdf/chna/OKC-CHNA-2019.pdf,https://www.mercy.net/content/dam/mercy/en/pdf/chna/OKC-CHNA-2019.pdf,N/A
Mercy Hospital Tishomingo,1000 South Byrd Street,Tishomingo,73460-3299,OK,Mercy,Yes,2019,Combination of counties and zip codes,"Tishomingo, Mill Creek, Connerville, Milburn, Bromide, Wapanucka, Ravia, Mannsville, Madill","73460, 74856, 74836, 73450, 74530, 73461, 73455, 73447, 73446",N/A,"Access to specialists, quality housing, eye care, attracting and keeping primary care physicians, service lines at hospital, EMS transport, high Medicaid share of payers","Child nutrition/food hunger/senior hunger, mental health and substance abuse, specialists attracting and keeping primary care physicians in this area",https://www.mercy.net/content/dam/mercy/en/pdf/chna/Tishomingo-CHNA-2019.pdf,https://www.mercy.net/content/dam/mercy/en/pdf/chna/Tishomingo-CHNA-2019.pdf,N/A
Mercy Hospital Watonga,500 North Clarence Nash Boulevard,Watonga,73772-2845,OK,Mercy,Yes,2019,"Combination of counties, zip codes, and places","Blaine, Greenfield, Hitchcock, Fay, Omega, Watonga, Calumet, Canton, Geary, Kingfisher, Longdale, Loyal, Oakwood, Eagle City, Okarche, Okeene, Putnam, Thomas","73043, 73744, 73646, 73764, 73772, 73014, 73669, 73659, 73763, 73762, 73658, 73756, 73755, 73750, 73040, 73724",Watonga,"Access to care, Childhood nutrition, Transportation to care, Mental health access, Health department staffing, Affordable health care, Mercy does have charity care, forms are available at the hospital and clinic","Childcare as a need for all of Blaine County, Physical activity, Mental health, Healthy eating and childhood nutrition",https://www.mercy.net/content/dam/mercy/en/pdf/chna/Watonga-CHNA-2019.pdf,https://www.mercy.net/content/dam/mercy/en/pdf/chna/Watonga-CHNA-2019.pdf,N/A
Mercy Rehabilitation Hospital Oklahoma City,5401 West Memorial Rd,Oklahoma City,73142-2026,OK,Mercy,Unable to find,2019,List of Zip Codes,N/A,"73107, 73109, 73111, 73102, 73069, 73127",N/A,"Education, Poverty, Food insecurity, safety. Obesity, Mental Health: Depression/Anxiety, Access to healthcare, Mental Health, Tobacco","Education, Poverty, Food insecurity, safety. Obesity, Mental Health: Depression/Anxiety, Access to healthcare, Mental Health, Tobacco",https://www.mercy.net/content/dam/mercy/en/pdf/chna/OKC-CHNA-2019.pdf,N/A,N/A
Muscogee Creek Nation Medical Center,1401 Morris Drive,Okmulgee,74447-6429,OK,,Unable to find,N/A unable to find,,,,,,,,,
Muscogee Creek Nation Physical Rehabilitation Center,1401 Morris Drive,Okmulgee,74447-6429,OK,,Unable to find,N/A unable to find,,,,,,,,,
N/A unable to find,N/A unable to find,Oklahoma City,73114-7408,OK,,,N/A unable to find,,,,,,,,,
Newman Memorial Hospital,905 South Main Street,Shattuck,73858-9205,OK,"Oklahoma Office of Rural Health, OSU Center for Rural Health",,2019,"Combination of counties, zip codes, and places","Beaver, Custer, Dewey, Ellis, Harper, Major, Roger Mills, Woodward, Woods","73858. 73851, 73840, 73843, 73832, 73848. 790034, 79046, 79056, 79024, 73855, 73841, 73841. 73869, 73857, 73801, 79005, 73844, 73853, 73835, 73642","Beaver, Clinton, Weatherford, Seiling, Shattuck, Buffalo, Fairview, Cheyenne, Woodward, Alva, Canadian, Perryton, Hemphill County (TX), Ochitree County (TX)","Acessing specialty services, heart disease, cancers, diabetes, accessing primary care, obesity, mental health, substance abuse, motor vechicle crashes, dental, suicide, teen pregnancy, pain management, lack of OB care, quality of care, pediatric, no wellness providers who utilize plant bases products, complete emergency care, geriatric care, insurance coverage/proper coding, wound care","More care coverage, more availability of specalists, expand education outreach to youth and families (going to schools, birthing education, diabetec education), health and sex education",https://old.newmanmemorialhospital.org/assets/shattuck-2019-chna-report.pdf,https://old.newmanmemorialhospital.org/assets/shattuck-2019-chna-report.pdf,N/A
Norman Regional Health System,901 North Porter Avenue,Norman,73071-6404,OK,,,2021,Combination of zip codes and places,N/A,"73071, 73071, 73072   ","Blanchard, Noble, Midwest City, Moore","Chest pain, Diabetes, Hip Fracture","Health, Social needs, COVID-19","Health, Social needs, COVID-19",https://www.normanregional.com/blog/community-health-needs-assessment-begins,N/A
Northeastern Health System,1400 East Downing Street,Tahlequah,74464-3324,OK,,,N/A unable to find,,,,,,,,,
Northeastern Health System Sequoyah,213 East Redwood Street,Sallisaw,74955-2811,OK,,Yes,N/A unable to find,,,,,,,,,
Northwest Center for Behavioral Health,1 Mi East Highway 270,Fort Supply,73841,OK,Oklahoma Department of Mental Health and Substance Abuse Services,Yes,N/A unable to find,,,,,,,,,
Northwest Surgical Hospital,9204 North May Avenue,Oklahoma City,73120-4419,OK,INTEGRIS,Yes,2020,List of Counties,"Oklahoma, Cleveland",N/A,N/A,"Employment, Food Insecurity, Housing, Health Education and Promotion, Access to Healthcare, Obesity, Mental Health, Transportation, Employment, Housing, Poverty, Education, Access to Healthcare, Obesity, Mental Health, Safety","Employment, Food Insecurity, Housing, Poverty, Health Education & Promotion, Healthcare Access, Obesity, Mental Health, Safety, Transportation",https://nwsurgicalokc.com/application/files/6016/2826/5929/CHNA2021.pdf,https://nwsurgicalokc.com/application/files/8916/2817/7987/INTEGRIS_Health_CHIP_FY_2022-_Healthcare_Partners_Investments.pdf,N/A
Oakwood Springs,13101 Memorial Springs Court,Oklahoma City,73114-2226,OK,Springstone,n/a,N/A unable to find,,,,,,,,,
Okeene Municipal Hospital,207 East 'F' Street,Okeene,73763-9441,OK,"

SSM Health
",Yes,2022,"Combination of counties, zip codes, and places",Oklahoma city,"73117, 73106,  73111 73141","Valley Brook, Del City","Food Insecurity, Access to Behavioral Health Services, Tobacco Cessation","Access to care, Employment, Education, Healthy food",https://docs.google.com/spreadsheets/d/1is84F_FJo2XFi1Ay3UZGumIcDRHO5U8n40B-uLM_v30/edit#gid=1000429093,https://www.ssmhealth.com/SSMHealth/media/Documents/about/chna/oklahoma/ssm-health-st-anthony-chna-2022.pdf,"

ameier@okeenehospital.com
"
Oklahoma Center for Orthopedic and Multi-Specialty Surgery,"8100 South Walker, Suite C",Oklahoma City,73139-9402,OK,United Surgical Partners International,Yes,2020,List of Counties,"Oklahoma, Cleveland",N/A,N/A,"Employment, Food Insecurity, Housing, Health Education and Promotion, Access to Healthcare, Obesity, Mental Health, Transportation, Employment, Housing, Poverty, Education, Access to Healthcare, Obesity, Mental Health, Safety","Employment, Food Insecurity, Housing, Poverty, Health Education & Promotion, Healthcare Access, Obesity, Mental Health, Safety, Transportation",https://nwsurgicalokc.com/application/files/6016/2826/5929/CHNA2021.pdf,https://ocomhospital.com/wp-content/uploads/2021/05/INTEGRIS-Health-Joint-CHNA-2020-2021.pdf,N/A
Oklahoma City Veterans Affairs Medical Center,921 NE 13th Street,Oklahoma City,73104-5028,OK,Department of Veterans Affairs,,N/A unable to find,,,,,,,,,
Oklahoma Forensic Center,24800 South 4420 Road,Vinita,74301-5544,OK,Oklahoma Department of Mental Health and Substance Abuse Services,,N/A unable to find,,,,,,,,,
Oklahoma Heart Hospital,4050 West Memorial Road,Oklahoma City,73120-8382,OK,,,N/A unable to find,,,,,,,,,
Oklahoma Heart Hospital South Campus,5200 East I-240 Service Road,Oklahoma City,73135,OK,,,N/A unable to find,,,,,,,,,
Oklahoma Spine Hospital,14101 Parkway Commons Drive,Oklahoma City,73134-6012,OK,,,N/A unable to find,,,,,,,,,
Oklahoma State University Medical Center,744 West Ninth Street,Tulsa,74127-9020,OK,Saint Francis Health System,,N/A unable to find,,,,,,,,,
Oklahoma Surgical Hospital,"2408 East 81st Street, Suite 300",Tulsa,74137-4215,OK,,,N/A unable to find,,,,,,,,,
OneCore Health,"1044 SW 44th Street, Suite 350",Oklahoma City,73109-3609,OK,,,N/A unable to find,,,,,,,,,
OU Medical Center,1200 Everett Drive,Oklahoma City,73104-5047,OK,,,2020,Combination of counties and places,Oklahoma,N/A,Oklahoma Metropolitan Statstical Area,"Social Determinants of Health, Access to Care
","Housing, Mental Health, Access to Care",https://www.ouhealth.com/documents/content/OUMI_CHNA_CHIP_2020.pdf,https://www.ouhealth.com/documents/content/OUMI_CHNA_CHIP_2020.pdf,Halley.Reeves@oumedicine.com
Parkside Psychiatric Hospital and Clinic,1619 East 13th Street,Tulsa,74120-5407,OK,,,2019,List of Counties,Tulsa,N/A,N/A,"Provision of more inpatient beds, Outreach and education, Expanded outpatient service offerings, Working w/ other agencies, Expansion of services/free services, Speciality programs for autism","Mental health and substance abuse treatment, Education, Community Outreach, Suicide",https://parksideinc.org/wp-content/uploads/attachments/ParksideCHNA2019r.pdf,https://parksideinc.org/wp-content/uploads/attachments/ParksideCHNA2019r.pdf,N/A
Pawhuska Hospital,1101 East 15th Street,Pawhuska,74056-1920,OK,,,2019,"Combination of counties, zip codes, and places","Kay, Nowata, Osage, Pawnee, Rogers, Washington, Chatauqua, Cowley","74056, 74652, 74084, 74633, 74035, 74002, 74001, 74003, 74637, 74022","Ponca City, Nowata, Fairfax, Cleveland, Claremore, Bartlesville, Sedan, KS, Arkansas City, KS, Winfield, KS","Mental health funding and the need for mental health services, Dialysis assistance, Healthy eating impacting obesity rates, Services for an Aging Population","Mental health funding and the need for mental health services, Dialysis assistance, Healthy eating impacting obesity rates, Services for an Aging Population",https://secureservercdn.net/45.40.149.34/v90.967.myftpupload.com/wp-content/uploads/2019/12/Pawhuska-CHNA-2019-final.pdf,https://secureservercdn.net/45.40.149.34/v90.967.myftpupload.com/wp-content/uploads/2019/12/Pawhuska-CHNA-2019-final.pdf,N/A
Physicians' Hospital in Anadarko,1002 Central Boulevard East,Anadarko,73005-4496,OK,"First Physicians Capital Group, Inc.",,2016,"Combination of counties, zip codes, and places",Caddo,"73005, 73042, 73029, 73006, 73038, 73092, 73017","Anadarko, Gracemont, Cyril, Apache, Fort Cobb, Verden, Cement","Mental health, Depression to suicide, Lack of resources available, Alcoholism, People leaving community for care- negative reputation/impression of local services, Need for more education on local services and quality services, Apathy in community, Lack of caring about health etc, Coordination of services- leverage existing resources and programs, Obesity, Diabetes, Smoking, Gambling, Lack of transportation/difficult to get to appointments","Respiratory health, Education rates beyond high school, High rates of obesity which in turn impact diabetes rates, Not enough primary care physician available, Increase in use of telemedicine 
",https://anadarkohospital.com/wp-content/uploads/2017/06/CHNA-Final-Doc_Anadarko.pdf,https://anadarkohospital.com/wp-content/uploads/2017/06/CHNA-Final-Doc_Anadarko.pdf,N/A
Post Acute Medical Specialty Hospital of Tulsa,3219 South 79th East Avenue,Tulsa,74145-1343,OK,"Post Acute Medical, LLC",No,N/A unable to find,,,,,,,,,
Prague Community Hospital,1322 Klabzuba Avenue,Prague,74864-9005,OK,Rural Community Hospitals of America,Yes,N/A unable to find,,,,,,,,,
Purcell Municipal Hospital,1500 North Green Avenue,Purcell,73080-1699,OK,,Yes,2022,"Combination of counties, zip codes, and places",McClain,"73051, 73057, 73074, 73080, 73095, 74878, 73010, 73052, 73075, 73433, 73093, 73068, 74831, 73002, 73065, 73072, 73026, 74852, 74826, 74872, 73098","Oklahoma, Lexington, Newcastle","Adult Smoking, Adult Obesity, Teen Births, Uninsured, Mammography Screening, High School Graduation, Children in Poverty, Injury Deaths","Adult Smoking, Adult Obesity, Excessive Drinking, Uninsured",https://purcellhospital.com/wp-content/uploads/2022/06/Purcell-2022-CHNA.pdf,https://purcellhospital.com/wp-content/uploads/2022/06/Purcell-2022-CHNA.pdf,N/A
Pushmataha Hospital,510 East Main Street,Antlers,74523-3262,OK,,,2016,Combination of counties and places,"Atoka, Bryan, Choctaw, Coal, Latimer, McCurtain, Pittsburg, Pushmataha ",N/A,"Atoka, Durant, Hugo, Coalgate, Wilburton, Idabel, McAlester, Antlers","Lack of providers/Recruitment of providers, No Concerns/ Receive good care/Don't Know, Lack of equipment and supplies, Quality of care/Professional care ","Lack of providers/Recruitment of providers, No Concerns/ Receive good care/Don't Know, Lack of equipment and supplies, Quality of care/Professional care ",https://pushmatahahospital.com/images/docs/pushhospital2016.pdf,https://pushmatahahospital.com/images/docs/pushhospital2016.pdf,"Corie Kaiser, Director, coriekaiser@okstate.edu"
Roger Mills Memorial Hospital,501 South L.L. Males,Cheyenne,73628,OK,,,2019,Combination of counties and places,"Beaver, Custer, Custer, Dewey, Ellis, Harper, Major, Roger Mills, Woodward, Woods",N/A,"Beaver, Clinton, Weatherford, Seiling, Shattuck, Buffalo, Fairview, Cheyenne, Woodward, Alva, Canadian, , Hemphill, TX, Ochiltree, TX","Accessing specialty services, Heart disease, Cancers, Diabetes","Accessing specialty services, Heart disease, Cancers, Diabetes",https://old.newmanmemorialhospital.org/assets/shattuck-2019-chna-report.pdf,https://old.newmanmemorialhospital.org/assets/shattuck-2019-chna-report.pdf,"Corie Kaiser, Director, coriekaiser@okstate.edu"
Rolling Hills Hospital,1000 Rolling Hills Lane,Ada,74820-9415,OK,"Acadia Healthcare Company, Inc.",,N/A unable to find,,,,,,,,,
Saint Francis Hospital,6161 South Yale Avenue,Tulsa,74136-1902,OK,Saint Francis Health System,Yes,2019,List of Counties,"Cherokee, Craig, Creek, Haskell, Mayes, McIntosh, Muskogee, Okmulgee, Rogers, Sequoyah, Tulsa, Wagoner",N/A,N/A,"Lack of health insurance, Education, Access to healthcare providers (primary or secondary), Substance abuse (including tobacco), Ability to pay for healthcare, Access to healthy food/groceries, Access to primary care (screenings), Chronic diseases (diabetes cancer heart diseases), Stroke, Housing/homelessness, Mental health, Poverty, Access to dental care, Transportation, Domestic violence, Physical activity, Child abuse/neglect, Sexual health, Saftey (motor vehicle crash/unintential injury)","Access to healthcare (primary care/screening and primary care and specialty providers), Behavioral health (substance abuse and mental health), Chronic diseases (diabetes, cancer, heart disease) and stroke, Lack of health insurance/ability to pay for healthcare",https://issuu.com/saintfrancistulsa/docs/chna19?e=32494011/70414518,https://www.saintfrancis.com/assets/documents/sfhs-chna2019-implementation-strategy.pdf,chna@saintfrancis.com
Saint Francis Hospital Muskogee,300 Rockefeller Drive,Muskogee,74401-5081,OK,Saint Francis Health System,,2019,List of Counties,"Cherokee, Craig, Creek, Haskell, Mayes, McIntosh, Muskogee, Okmulgee, Rogers, Sequoyah, Tulsa, Wagoner",N/A,N/A,"Lack of health insurance, Education, Access to healthcare providers (primary or secondary), Substance abuse (including tobacco), Ability to pay for healthcare, Access to healthy food/groceries, Access to primary care (screenings), Chronic diseases (diabetes cancer heart diseases), Stroke, Housing/homelessness, Mental health, Poverty, Access to dental care, Transportation, Domestic violence, Physical activity, Child abuse/neglect, Sexual health, Saftey (motor vehicle crash/unintential injury)","Access to healthcare (primary care/screening and primary care and specialty providers), Behavioral health (substance abuse and mental health), Chronic diseases (diabetes, cancer, heart disease) and stroke, Lack of health insurance/ability to pay for healthcare",https://issuu.com/saintfrancistulsa/docs/chna19?e=32494011/70414518,https://www.saintfrancis.com/assets/documents/sfhs-chna2019-implementation-strategy.pdf,chna@saintfrancis.com
Saint Francis Hospital South,10501 East 91st Street,Tulsa,74133-5790,OK,Saint Francis Health System,,2019,List of Counties,"Cherokee, Craig, Creek, Haskell, Mayes, McIntosh, Muskogee, Okmulgee, Rogers, Sequoyah, Tulsa, Wagoner",N/A,N/A,"Lack of health insurance, Education, Access to healthcare providers (primary or secondary), Substance abuse (including tobacco), Ability to pay for healthcare, Access to healthy food/groceries, Access to primary care (screenings), Chronic diseases (diabetes cancer heart diseases), Stroke, Housing/homelessness, Mental health, Poverty, Access to dental care, Transportation, Domestic violence, Physical activity, Child abuse/neglect, Sexual health, Saftey (motor vehicle crash/unintential injury)","Access to healthcare (primary care/screening and primary care and specialty providers), Behavioral health (substance abuse and mental health), Chronic diseases (diabetes, cancer, heart disease) and stroke, Lack of health insurance/ability to pay for healthcare",https://issuu.com/saintfrancistulsa/docs/chna19?e=32494011/70414518,https://www.saintfrancis.com/assets/documents/sfhs-chna2019-implementation-strategy.pdf,chna@saintfrancis.com
Saint Francis Hospital Vinita,735 North Foreman Street,Vinita,74301-1418,OK,Saint Francis Health System,Yes,2019,List of Counties,"Cherokee, Craig, Creek, Haskell, Mayes, McIntosh, Muskogee, Okmulgee, Rogers, Sequoyah, Tulsa, Wagoner",N/A,N/A,"Lack of health insurance, Education, Access to healthcare providers (primary or secondary), Substance abuse (including tobacco), Ability to pay for healthcare, Access to healthy food/groceries, Access to primary care (screenings), Chronic diseases (diabetes cancer heart diseases), Stroke, Housing/homelessness, Mental health, Poverty, Access to dental care, Transportation, Domestic violence, Physical activity, Child abuse/neglect, Sexual health, Saftey (motor vehicle crash/unintential injury)","Access to healthcare (primary care/screening and primary care and specialty providers), Behavioral health (substance abuse and mental health), Chronic diseases (diabetes, cancer, heart disease) and stroke, Lack of health insurance/ability to pay for healthcare",https://issuu.com/saintfrancistulsa/docs/chna19?e=32494011/70414518,https://www.saintfrancis.com/assets/documents/sfhs-chna2019-implementation-strategy.pdf,chna@saintfrancis.com
Seiling Regional Medical Center,Highway 60 NE,Seiling,73663,OK,,Unable to find,N/A unable to find,,,,,,,,,
Select Specialty Hospital-Oklahoma City,3524 NW 56th Street,Oklahoma City,73112-4518,OK,Select Medical Corporation,Unable to find,N/A unable to find,,,,,,,,,
Select Specialty Hospital-Tulsa Midtown,"1125 South Trenton Avenue, 3rd Floor",Tulsa,74120-5418,OK,Select Medical Corporation,Yes,N/A unable to find,,,,,,,,,
Shadow Mountain Behavioral Health System,6262 South Sheridan Road,Tulsa,74133-4055,OK,"Universal Health Services, Inc.",No,N/A unable to find,,,,,,,,,
Share Medical Center,800 Share Drive,Alva,73717-3618,OK,SSM Health,Yes,N/A unable to find,,,,,,,,,
Southwestern Medical Center,5602 SW Lee Boulevard,Lawton,73505-9635,OK,LifePoint Health,,N/A unable to find,,,,,,,,,
Southwestern Regional Medical Center,10109 East 79th Street,Tulsa,74133-4564,OK,Cancer Treatment Centers of America,,N/A unable to find,,,,,,,,,
SSM Health St. Anthony Hospital - Oklahoma City,1000 North Lee Street,Oklahoma City,73102-1080,OK,SSM Health,,2015,Combination of counties and places,Jefferson County,N/A,"Mount Veron, Bonnie, Spring Green, Ina, Wattonville, Woodlawn, Bluford, Dix","Community diseases issues of treatment and preventions, Cancer treatment and preventions, heart diseases treatment and preventions, and obesity treatment and preventions","Cancer treatment and preventions, heart diseases treatment and preventions, and obesity treatment and preventions",https://www.ssmhealth.com/SSMHealth/media/Documents/about/chna/illinois/ssm-health-good-sam-chna-2015.pdf,https://www.ssmhealth.com/SSMHealth/media/Documents/about/chna/illinois/ssm-health-good-sam-chna-2015.pdf,N/A
