Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Nonprofit,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
Hodgeman County Health Center,809 Bramley Street,Jetmore,67854-9320,KS,,,2013,List of Counties,Hodgeman,N/A,N/A,"Exercise and weight management, Growth and economic opportunity, Emergency preparedness, Destructive behaviors (substance abuse, reckless driving, etc.), Housing, Increased importance of eating fruits / vegetables, Lack of dental care and dental awareness programs (dental problems can lead to other health issues ex: poor nutrition, infections, high blood
pressure and high cholesterol), Difficulty in making commitment to lifestyle changes, Exercise and Nutrition, Eating less fruits and vegetables, Suicide prevention education, Smokeless tobacco addiction, Increased percent of people concerned with lack
of Economic Opportunity (too few jobs) ","Lack of Dentist, Uninsured Children and Adults, Low Activity Levels / Lack of Recreational and Fitness Facilities, Obesity Rate Greater than the Kansas Average, Limited Access to Healthy Foods / Limited Access to Nutrition and Fitness Programs, Limited services for elderly / shut-ins. Examples: Transportation (elderly and needy), Meals especially in rural and Hanston, shopping delivery, Limited opportunities for Teen/Young adults (Example: limited jobs, no youth center), Lack of Affordable Housing, Better Marketing of Health Services Available in Hodgeman County (Example: Better Organized Health Directory that includes all services and support groups), Increased public awareness of this Directory (Targeted services: Wellness Center in Hanston and at Hospital), Limited access to Sheriffs office after hours (Access is only by phone), Lack of dental care and awareness of the impact of poor dental care., Destructive Behaviors related to Substance abuse (Drugs, Alcohol, Tobacco esp. smokeless tobacco) and Reckless Driving, Lack of Housing, Difficulty in making commitment to lifestyle changes related to Exercise Nutrition and Weight Management, Increased concern with lack of Economic Growth and Opportunity (Example: Limited jobs)",https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2013/Hodgeman_CHA_2013.pdf,N/A,N/A
Holton Community Hospital,1110 Columbine Drive,Holton,66436-8824,KS,,Yes,2022,List of Counties,Jackson,N/A,N/A,"Abuse/Violence, Alcohol, Alternative Medicine, Breast Feeding, Friendly Workplace, Cancer, Care Coordination, Diabetes, Drugs/Substance Abuse, Family Planning, Heart Disease, Lack of Providers/Qualified Staff, Lead Exposure, Mental Illness, Neglect, Nutrition, Obesity, Occupational Medicine, Ozone (Air), Physical Exercise, Poverty, Preventative Health / Wellness, Respiratory Disease, Sexually Transmitted Diseases, Smoke-Free Workplace, Suicide, Teen Pregnancy, Telehealth, Tobacco Use, Transporation, Vaccinations, Water Quality, Health Literacy","Awareness of healthcare services, Mental health (diagnosis, placement, aftercare, providers), Teen health (education), Adequate housing, Drug/substance abuse, Child care (under 18M), Obesity (nutrition/exercise), Dental services taking medicaid",https://holtonhospital.com/wp-content/uploads/2022/03/FinalDraftReport.pdf,https://holtonhospital.com/wp-content/uploads/2022/03/FinalDraftReport.pdf,Kristina Romine at kromine@nekmulticounty.org 
Hospital District 6 - Harper Campus,700 West 13th Street,Harper,67058-1401,KS,,,N/A unable to find,,,,,,,,,
Hospital District No 1 of Rice County,619 South Clark Street,Lyons,67554-3003,KS,,,2013,Combination of counties and zip codes,"Rice, Reno, Ellsworth, Barton, McPherson","67427, 67444, 67457, 67524, 67573, 67554, 67512, 67579",N/A,"Information gaps, including limited knowledge of available health and other services, especially for mental health resources, specialty services and domestic violence; Increase healthcare specialty services; Inadequate transportation linking people to services; Obesity, nutrition and physical activity as related to overall health and wellness and prevention of chronic diseases, such as diabetes, high blood pressure, heart disease, etc.; Substance abuse; Immunizations and vaccinations; Insurance and billing, as related to healthcare services; being uninformed about charity care","Information gaps, i.e. increase knowledge of available health and other services, especially for mental health resources, specialty services and domestic violence; Increase specialty services and local access to care; Health and wellness programs; Improved insurance and billing information, as related to healthcare services, with special regard for Medicaid enrollment and charity care assistance; Inadequate transportation linking people to services; Immunizations and vaccinations; Substance abuse",https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2013/Rice_CHNA_2013.pdf,https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2013/Rice_CHNA_2013.pdf,N/A
Hutchinson Regional Medical Center,1701 East 23rd Avenue,Hutchinson,67502-1191,KS,,,2019,Combination of counties and places,"Hutchinson, Reno",N/A,"Cities: Abbyville, Arlington, Buhler, Haven, Langdon, Nickerson, Partridge,
Plevna, Pretty Prairie, South Hutchinson, Sylvia, Turon, Willowbrook","Cancer, Cardiovascular Disease, Respiratory Disease, Diabetes, Dental Health, Maternal and Infant Health, Overall Health, Mental Health, Community Vitality and Physical Environment, Access to Care, Substance Use, Economy, Physical Activity, and Nutrition","Clinical: Maternal/Child Health, Cardiovascular, Diabetes, Overall Health, Respiratory, Oral Health, Cancer; Social/Behavioral: Substance Abuse, Economy, Community/Physical Environment, Access to Care, Physical Activity,  Mental Health, Nutrition",CHNA-Data-Book-2019.pdf (hutchregional.com),https://www.hutchregional.com/wp-content/uploads/2022/03/2019-Implementation-Strategies.docx,N/A
Irwin Army Community Hospital,600 Caisson Hill Road,Junction City,66442-7037,KS,"Department of the Army, Office of the Surgeon General",,N/A unable to find,,,,,,,,,
Jewell County Hospital,100 Crestvue Avenue,Mankato,66956-2407,KS,,,N/A unable to find,,,,,,,,,
Kansas City Orthopaedic Institute,3651 College Boulevard,Leawood,66211-1910,KS,,,2019,Combination of counties and places,Johnson,"66111, 66106, 66226, 66218, 66217, 66216, 66203, 66202, 66205, 66018, 66227, 66220, 66219, 66215, 66214, 66212, 66204, 66208, 66207, 66206, 66210, 66211, 66061, 66602, 66213, 66209, 66221, 66223, 66224, 66031, 66030, 66085, 66021, 66083, 66053",N/A,"Behavioral Health Care, Improve Access to Care, Increase Access to Physical Activity and Nutrition ","Behavioral Health Care, Improve Access to Care, Increase Access to Physical 
Activity and Nutrition, Access to Care for Low-income Individuals, Nutrition & Physical Activity, Management of Transitions of Care ",https://www.kcoi.com/wp-content/uploads/2021/05/KCOI_CHNA_final_2019_updated.pdf,https://www.kcoi.com/wp-content/uploads/2021/05/KCOI_ImPlan_final_2019.pdf,N/A
Kansas Heart Hospital,3601 North Webb Road,Wichita,67226-8129,KS,,,N/A unable to find,,,,,,,,,
Kansas Medical Center,1124 West 21st Street,Andover,67002-5500,KS,,,N/A unable to find,,,,,,,,,
Kansas Neurological Institute,3107 West 21st Street,Topeka,66604-3298,KS,,,2018,"Combination of counties, zip codes, and places","Shawnee, Lyon, Riley","66614, 66604, 66605, 66606, 66611, 66610, 66607, 66618, 66617, 66609, 66608, 66616, 66615, 66542, 66402, 66409, 66619, 66612, 66539, 66603, 66533, 66546, 66601, 66050, 66675, 66667, 66600, 66420, 66621, 66801, 66502","Topeka, Tecumseh, Auburn, Berryton, Silver, Lake, Rossville, Wakarusa, Lecompton, Dover, Emporia, Manhattan","Access to Mental Health (Diagnosis, Treatment, Placement, Crisis), Improve Health Literacy, Safe Access to Healthy Food, Single Family Households in Poverty Support, Sex Education (Me Too, Consent), Affordable Health Insurance, Care Coordination, State ID Easier to Get","Access to Mental Health (Diagnosis, Treatment, Placement, Crisis), Improve Health Literacy, Safe Access to Healthy Food, Single Family Households in Poverty Support, Sex Education (Me Too, Consent), Affordable Health Insurance, Care Coordination, State ID Easier to Get",https://www.stormontvail.org/wp-content/uploads/2019/03/Community-Health-Needs-Assessment-2018.pdf,N/A,"Vince Vandehaar, VVV@VandehaarMarketing.com"
Kansas Rehabilitation Hospital,1504 SW Eighth Avenue,Topeka,66606-1632,KS,Encompass Health Corporation,,N/A unable to find,,,,,,,,,
Kansas Spine and Specialty Hospital,3333 North Webb Road,Wichita,67226-8123,KS,,,N/A unable to find,,,,,,,,,
Kansas Surgery and Recovery Center,2770 North Webb Road,Wichita,67226-8112,KS,,Yes,2019,List of Counties,"Sedgwick, Butler",N/A,N/A,"Health Insurance, Basic Medical Care, Drug/Alcohol Abuse, Behavioral Health/Counseling, Domestic Family Violence, Sexual Assault, Human Trafficking, Medical Transportation Services","Health Insurance, Basic Medical Care, Drug/Alcohol Abuse, Behavioral Health/Counseling, Domestic Family Violence, Sexual Assault, Human Trafficking, Medical Transportation Services",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/kansas/2019-ascension-via-christi-health-chna-report.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/kansas/2020-2022-ascension-via-christi-hospitals-wichita-incimplementation-strategy.pdf,Renee.Hanrahan@ascension.org
Kearny County Hospital,500 Thorpe Street,Lakin,67860-9625,KS,,Yes,2017,List of Counties,Kearney,N/A,N/A,"Heart Disease, Cancer, Chronic Lung Disease, Lack of Resources to Promote Physical and Mental Wellbeing, Lack of Housing, Hospital Expansion","Heart Disease, Cancer, Chronic Lung Disease, Lack of Resources to Promote Physical and Mental Wellbeing, Lack of Housing, Hospital Expansion",https://kchs.org/wp-content/uploads/2020/06/Community-Health-Assessment-2017.pdf,N/A,snicholson@nalhd.org
Kingman Healthcare Center,750 Avenue D West,Kingman,67068-0376,KS,,Yes,2022,Combination of counties and zip codes,Kingman,"67124, 67035, 67570, 67025, 67111, 67118, 67068, 67142, 67159",N/A,"Mental Health / Mental Health Providers, Primary Care Physicians, Adult Obesity, Heart Disease, Cancer, Lung Disease, Physical Inactivity, Lack of Health Knowledge/Education, Dentists, Children in Poverty, Substance Abuse, Stroke, Adult Smoking, Transportation, Children in Single-Parent Households, Teen Birth Rate, Sexually Transmitted Infections, Violent Crime/Domestic Violence, Excessive Drinking, Alcohol-Impaired Driving Deaths","Mental Health / Mental Health Providers, Primary Care Physicians, Adult Obesity, Heart Disease, Cancer",https://www.kingmanhc.com/docs/Kingman_CHNA.pdf?sub=About%20Us,N/A,N/A
Kiowa County Memorial Hospital,721 West Kansas Avenue,Greensburg,67054-1633,KS,"Great Plains Health Alliance, Inc.",Yes,2021,List of Counties,Kiowa,N/A,N/A,"Child Care Options, Nursing Home Access, Affordable Housing, Availability of Primary Care, Home Health / Hospice, Poverty / Economic Development, Affordable Health Insurance, Awareness of Health Services, Exercise/Fitness, Transportation, Drug/Substance Abuse","Child Care, Access to Specialists, Nursing Home / Senior Care",https://img1.wsimg.com/blobby/go/06c3bd9b-ff36-4c79-935d-ac9dfde01cbd/downloads/CHNA_2021_KiowaCoKS_Report_Final.pdf?ver=1646071670989,N/A,N/A
Kiowa District Hospital,1002 South Fourth Street,Kiowa,67070-1825,KS,,Yes,2020,List of Counties,Barber,N/A,N/A,"Alcohol, Mental Illness / Mental Health, COVID-19, Drugs / Substance Abuse, Tobacco Use (including vaping/electronic nicotine delivery systems such as JUUL), Behavioral health related issues (mental illness/mental health, alcohol, drugs/substance abuse, and suicide), Care for those at the beginning of life and the end of life are both a concern","Alcohol, Mental Illness / Mental Health, COVID-19, Drugs / Substance Abuse, Tobacco Use (including vaping/electronic nicotine delivery systems such as JUUL), Behavioral health related issues (mental illness/mental health, alcohol, drugs/substance abuse, and suicide), Care for those at the beginning of life and the end of life are both a concern",http://barber.ks.gov/uploads/5/6/1/9/56198487/barber_county_chna_full_report.pdf,N/A,VVV@VandehaarMarketing.com
KVC Prairie Ridge Psychiatric Hospital,4300 Brenner Drive,Kansas City,66104-1163,KS,,Yes,2019,Combination of counties and places,"Douglas, Johnson, Sedgwick, Shawnee, Wyandotte",N/A,Kansas City,"Lack of trauma-informed assessment and intervention strategies, Access to services (cost), Access to services (availability of acute & PRTF beds in the community), Coordination with other systems of care","Lack of trauma-informed assessment and intervention strategies, Access to services (cost), Access to services (availability of acute & PRTF beds in the community), Coordination with other systems of care",https://hospitals.kvc.org/wp-content/uploads/sites/5/2019/07/Prairie-Ridge-Final.pdf,Implimentation-Strategy-KC-FY20-through-FY22.pdf (kvc.org),N/A
Labette Health,1902 South U S Highway 59,Parsons,67357-7404,KS,,Yes,2022,List of Counties,"Labette, Montgomery, Neosho",N/A,N/A,"Heart Disease / Stroke, Diabetes, Obesity, Cancer, Pulmonary Disease, Alcohol / Substance Abuse, Mental Health, Tobacco / Smoking / Vaping Abuse, Domestic / Child Abuse","Diabetes/Obesity, Heart Disease/Stroke",https://www.labettehealth.com/media/2434/2022-24-community-health-needs-assessment.pdf,https://www.labettehealth.com/media/2434/2022-24-community-health-needs-assessment.pdf,N/A
Lane County Hospital,235 West Vine,Dighton,67839-0969,KS,"Great Plains Health Alliance, Inc.",Yes,2018,Combination of counties and zip codes,Lane,"67839, 67850",N/A,"Health / Wellness / Prevention / Chronic Disease Prevention, Behavioral Health / Substance Abuse, Elder Care Services","Health / Wellness / Prevention / Chronic Disease Prevention, Behavioral Health / Substance Abuse, Elder Care Services",http://www.lanecountyhospital.com/docs/Community_Health_Needs_Assessment_2018.pdf?sub=About%20Us,N/A,"Dr. John Leatherman, Office of Local Government, 785-532-2643, jleather@ksu.edu"
Larned State Hospital,1301 Kansas Highway 264,Larned,67550,KS,,,N/A unable to find,,,,,,,,,
Lincoln County Hospital,624 North Second Street,Lincoln,67455-1738,KS,,,N/A unable to find,,,,,,,,,
Lindsborg Community Hospital,605 West Lincoln Street,Lindsborg,67456-2328,KS,Salina Regional Health Center,,2019,Combination of counties and places,McPherson,N/A,"Lindsborg, Salina, McPherson, Marquette","Drug Abuse, Mental Health, Obesity","Barriers to Access, Risky Behaviors, Health Problems",https://www.lindsborghospital.org/docs/CommunityHealthNeedsAssessment2019.pdf,https://www.lindsborghospital.org/docs/2021CHNAImplementationStrategy.pdf,N/A
LMH Health,325 Maine Street,Lawrence,66044-1360,KS,,,N/A unable to find,,,,,,,,,
Logan County Hospital,211 Cherry Street,Oakley,67748-1201,KS,,,N/A unable to find,,,,,,,,,
Manhattan Surgical,1829 College Avenue,Manhattan,66502-3381,KS,,,2018,List of Counties,Riley,N/A,N/A,"Access to healthy food options, Affordable health insurance, Afforable health services, Affordable prescriptions, Children health services, Dental care options, Maternal health sevices, Prevention of infant mortality, Healthcare assistance for older adults, Healthcare assistance for veterans, Increased number of healthcare providers, Availability of transportation for helath services, Faciltiies for physical activity, Increased health education/prevention, Substance abuse prevention/treatment, Tobacco use cessation (quitting) services, Other ","Access to healthy food options, Affordable health insurance, Afforable health services, Affordable prescriptions, Children health services, Dental care options, Maternal health sevices, Prevention of infant mortality, Healthcare assistance for older adults, Healthcare assistance for veterans, Increased number of healthcare providers, Availability of transportation for helath services, Faciltiies for physical activity, Increased health education/prevention, Substance abuse prevention/treatment, Tobacco use cessation (quitting) services, Other ",https://www.viachristi.org/sites/default/files/Via%20Christi%202018%20CHNA%20Final.pdf,https://www.viachristi.org/sites/default/files/Via%20Christi%202018%20CHNA%20Final.pdf,N/A
McPherson Hospital,1000 Hospital Drive,McPherson,67460-2326,KS,,Yes,2019,List of Counties,McPherson,N/A,N/A,"Drug abuse (including alcohol), Mental health, Obesity","Drug abuse (including alcohol), Mental health, Obesity",http://mcphersoncenterforhealth.org/sites/default/files/2019%20McPherson%20County%20Community%20Health%20Needs%20Assessment%20and%20Strategy%20-%20Final%20%282%29.pdf,http://mcphersoncenterforhealth.org/sites/default/files/2019%20McPherson%20County%20Community%20Health%20Needs%20Assessment%20and%20Strategy%20-%20Final%20%282%29.pdf,"Cyril Russell, cyrilr@mcphersonhospital.org, 620-241-2251 ext 136"
Meade District Hospital,510 East Carthage Street,Meade,67864-6401,KS,,Yes,2022,List of Places,N/A,N/A,Meade,"Mental health providers, Physical inactivity, Lack of Health Knowledge/education, Adult obesity ","Mental health providers, Physical inactivity/adult obesity, Lack of Health Knowledge/education",https://avhealthsystem.com/wp-content/uploads/2013/04/Community-Health-2020.pdf,https://avhealthsystem.com/wp-content/uploads/2013/04/Community-Health-2020.pdf,N/A
Meadowbrook Rehabilitation Hospital,427 West Main Street,Gardner,66030-1183,KS,,No,N/A unable to find,,,,,,,,,
Medicine Lodge Memorial Hospital,710 North Walnut Street,Medicine Lodge,67104-1019,KS,"Great Plains Health Alliance, Inc.",Yes,2017,Combination of counties and zip codes,Barber,"67057, 67061, 67065, 67070, 67071, 67104, 67138, 67143",N/A,"Assisted Living, One Local-based Primary Care Physician, Mental Health (South: Access, Diagnosis, Placement & Transportation, North: Detection & Placement), Home Health Services Specialists (South: OB, Peds, Derm, Ortho, Endo, Card, North: OB, Ortho, Urology), Drug Abuse (Prescription, Meth & Marijuana), Access to Dentists, Affordable Child Care, Communication of Available Healthcare Services, Communication of Available Healthcare Services, Obesity (Nutrition & Fitness)","Assisted Living, One Local-based Primary Care Physician, Mental Health (South: Access, Diagnosis, Placement & Transportation, North: Detection & Placement), Home Health Services Specialists (South: OB, Peds, Derm, Ortho, Endo, Card, North: OB, Ortho, Urology), Drug Abuse (Prescription, Meth & Marijuana), Access to Dentists, Affordable Child Care, Communication of Available Healthcare Services, Communication of Available Healthcare Services, Obesity (Nutrition & Fitness)",https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2017/barberco_chna2017_final.pdf,https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2017/barberco_chna2017_final.pdf,N/A
Memorial Health System,511 NE Tenth Street,Abilene,67410-2153,KS,,,2019,"Combination of counties, zip codes, and places",Dickinson,"67410, 67441, 67431, 67451, 67480, 67449, 67482, 67492","Abilene, Enterprise, Chapman, Hope, Solomon, Herington, Talmage, Woodbine","Economic Development and Affordable Housing, Access to Care (mental health, physical health, elder health), Integration of Physical and Mental Health, Substance Abuse  Prevention, Older Resident Health, Unplanned Pregnancy and STI Services","Awareness of Healthcare Services, Housing, Lack of Ownership of Personal Health, Drug Abuse, Mental Health Services, poverty, Public Transportation, Dental Care",http://mhsks.org/wp-content/uploads/2019/12/CHNA_3_MHS_AbileneKS_DickinsonCo_Final_Report2019.pdf,http://mhsks.org/wp-content/uploads/2019/12/Signed-Implementation-Strategy.pdf,kstivers@mhsks.org
Menorah Medical Center,5721 West 119th Street,Overland Park,66209-3722,KS,HCA Healthcare,,N/A unable to find,,,,,,,,,
Mercy Hospital,218 East Pack Street,Moundridge,67107-8815,KS,,,2019,Combination of counties and places,McPherson,N/A,"Goessel, Galva, Inman, Hesston","Obesity, cancers, mental health","Increase health knowledge and education, Improve access to care",https://www.mercyh.org/wp-content/uploads/2018/08/CHNAimpStrategy.pdf,https://www.mercyh.org/wp-content/uploads/2018/08/CHNAimpStrategy.pdf,N/A
Mercy Hospital Columbus,220 North Pennsylvania Avenue,Columbus,66725-1110,KS,Mercy,,N/A unable to find,,,,,,,,,
Miami County Medical Center,2100 Baptiste Drive,Paola,66071-1314,KS,,,2016,Combination of counties and zip codes,Miami,"66013, 66026, 66030, 66053, 66064, 66071",N/A,"Increase Access to Mental Health (diagnosis, placement, and medication managment), Reduce Substance Abuse (alcohol and drugs), Extend Walk-In Clinic Hours, Improve and Expand Primary Care Services, Decrease Tobacco Use, Provide Affordable Healthy Eating Options and Nutritional Education (food preparation)","Increase Access to Mental Health (diagnosis, placement, and medication managment), Reduce Substance Abuse (alcohol and drugs), Extend Walk-In Clinic Hours, Improve and Expand Primary Care Services, Decrease Tobacco Use, Provide Affordable Healthy Eating Options and Nutritional Education (food preparation)",https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2016/Linn-Miami_CHNA_2016.pdf,https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2016/Linn-Miami_CHNA_2016.pdf,stephanie.manning@olathehealth.org
Mid-America Rehabilitation Hospital,5701 West 110th Street,Shawnee Mission,66211-2503,KS,Encompass Health Corporation,No,N/A unable to find,,,,,,,,,
Minimally Invasive Surgery Hospital,11217 Lakeview Avenue,Lenexa,66219-1399,KS,,,N/A unable to find,,,,,,,,,
Minneola District Hospital,212 Main Street,Minneola,67865-8511,KS,"Great Plains Health Alliance, Inc.",,N/A unable to find,,,,,,,,,
Mitchell County Hospital Health Systems,400 West Eighth,Beloit,67420-1605,KS,,Yes,2020,List of Counties,Mitchell,N/A,N/A,"Drug, alcohol, substance abuse and violence prevention and support (tobacco cessation programs); education and caregiver support (Parkinson support, Alzheimer's dementia support); health education (nutrition education and support, diet counseling, weight management coaching); employee wellness programs (access to healthy food options at work, healthy behavior incentives, health risk assessments, breastfeeding support through access to private breastfeeding spaces at work); health insurance selection and education; chronic disease self-management programs; access to healthy foods (community supported agriculture, food and farm council); after-hour non-emergency care and telemedicine options; access to exercise facility; childcare (access on evenings/nights/weekends, special needs children, gardening activities, health and parenting education); financial wellness education; healthy aging programs; stress and resilience programs","Drug, alcohol, substance abuse and violence prevention and support (tobacco cessation programs); education and caregiver support (Parkinson support, Alzheimer's dementia support); health education (nutrition education and support, diet counseling, weight management coaching); employee wellness programs (access to healthy food options at work, healthy behavior incentives, health risk assessments, breastfeeding support through access to private breastfeeding spaces at work); health insurance selection and education; chronic disease self-management programs; access to healthy foods (community supported agriculture, food and farm council); after-hour non-emergency care and telemedicine options; access to exercise facility; childcare (access on evenings/nights/weekends, special needs children, gardening activities, health and parenting education); financial wellness education; healthy aging programs; stress and resilience programs",https://www.mchks.com/docs/Mitchell_County_CHNA_Report_2020-2021_Final.pdf,N/A,N/A
Morris County Hospital,600 North Washington Street,Council Grove,66846-1422,KS,,Yes,N/A unable to find,,,,,,,,,
Morton County Health System,445 Hilltop Street,Elkhart,67950-0937,KS,,Yes,2016,Combination of counties and places,Morton,N/A,"Springfield (CO), Texhoma(OK), Boise City (OK)","Obesity and Diabetes Prevention, Behavioral Health, Substance Abuse, and Suicide Prevention","Obesity and Diabetes Prevention, Behavioral Health, Substance Abuse, and Suicide Prevention",https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2016/Morton_CHNA_2016.pdf,https://www.kansashealthmatters.org/content/sites/kansas/CHA-CHIP/2016/Morton_CHNA_2016.pdf,"Sharmilla Hall, 620-697-5662, shall@mchswecare.com"
Nemaha Valley Community Hospital,1600 Community Drive,Seneca,66538-9739,KS,,Yes,2021,Combination of counties and places,Nemaha,N/A,"Seneca (KS), Baileyville (KS), Centralia (KS), Axtell (KS), Corning (KS), Goff (KS), Wetmore (KS), Bern (KS), Sabetha (KS), Oneida (NE), Dubois (NE), Pawnee City (NE)","Access to Mental Health Services, Alcohol Abuse, Drug/Substance Abuse, Obesity, Exercise/Fitness, Child Care, Cancer Care, Health/Wellness Education, Senior Care Programs, Nutrition - Healthy Food Options, Awareness of Health Services, Chronic Disease Prevention, Family Assistance Programs, Home Health/Hospice","Access to Mental Health Services, Alcohol Abuse, Drug/Substance Abuse, Obesity, Exercise/Fitness, Child Care",https://nemvch.com/wp-content/uploads/2021/12/2021-CHNA.pdf,N/A,N/A
Neosho Memorial Regional Medical Center,629 South Plummer,Chanute,66720-1928,KS,QHR,Yes,2019,Combination of counties and zip codes,Neosho,"66720, 66733, 66740, 66771, 66775, 66776",N/A,"Smoking/Tobacco Use, Education/Prevention, Diabetes, Cancer, Chronic Pain Management, Accessibility, Suicide, Dental, Hypertension, Alzheimers, Stroke, Accidents, Promoting healthy eating, Women's Health, Walk-in Clinic geared towards lower income to decrease amount of activity being seen in ER involving non-emergency health matters, Flu/Pneumonia, Respiratory Infections, Kidney Disease, Liver Disease, Lung Disease, Childhood obesity","Obesity/Overweight, Physical Inactivity, Affordability, Mental health, Alcohol Abuse, Substance Abuse",https://www.nmrmc.com/communityhealthneedsassesmentplans/2019-Community-Health-Needs-Assessment-Plans_155270.aspx,https://www.nmrmc.com/communityhealthneedsassesmentplans/2019-Community-Health-Needs-Assessment-Plans_155270.aspx,N/A
Ness County Hospital District No 2,312 Custer Street,Ness City,67560-1654,KS,,Yes,N/A unable to find,,,,,,,,,
Newman Regional Health,1201 West 12th Avenue,Emporia,66801-2597,KS,,Yes,N/A unable to find,,,,,,,,,
Newton Medical Center,600 Medical Center Drive,Newton,67114-8780,KS,,,2020,"Combination of counties, zip codes, and places",Harvey,"67020, 67114, 67151, 67056, 67117, 67062, and 67135","Cities: Burrton, Newton, Walton, Halstead, North Newton, Hesston, and Sedgwick","Prevent and Manage Chronic Diseases, Increase Mental Health and Behavioral Health Services and Education, Increase Economic Stability ","Prevent and Manage Chronic Diseases, Increase Mental Health and Behavioral Health Services and Education, Increase Economic Stability ",https://www.mynmchealth.org/wp-content/uploads/2021/10/2020-CHNA-REPORT-FINAL_20211108.pdf,https://www.mynmchealth.org/wp-content/uploads/2020/06/CHNA-Implementation-Strategy_2020_2023_Rebranded.pdf,Sondra.leatherman@newtonmed.com
Norton County Hospital,102 East Holme,Norton,67654-1406,KS,,,2021,"Combination of counties, zip codes, and places",Norton,"67654, 67622, 67645, 67664, 67629, 67647, 67646, 69036,67653,67522","Norton, Almena Lenora, Prairie View,  Clayton, Long Island","Healthcare access and affordability, continuity of care, evening/weekend clinic hours, behavioral health","Healthcare access and affordability, behavioral health, tobacco policies, healthy eating, physical activity, cancer ",https://www.ntcohosp.com/our_story/community_health_needs.html,https://www.ntcohosp.com/our_story/community_health_needs.html,N/A
Olathe Medical Center,20333 West 151st Street,Olathe,66061-5350,KS,,,2021,"Combination of counties, zip codes, and places","Johnson, Miami, Franklin, Linn, Anderson, Douglas","66061, 66062, 66030, 66071, 66083, 66064, 66067, 66092, 66053, 66040, 66215, 66021, 66213, 66018, 66212, 66221, 66032, 66006","Cities: Olathe, Gardner, Paola, Spring Hill, Osawatomie, Ottawa, Wellsville, Louisburg, La Cygne, Lenexa, Edgerton, Overland Park, De Soto, Garnett, and Baldwin City","Mental health, preventative health/wellness, drug/alcohol abuse, affordable housing, medicaid expansion, affordable healthcare services, chronic disease management, mobile health services/providers, transportation (public and health), homeless, Cost Transparency, Cultural Competency, Subsidizing Unhealthy Foods, Suicide, Social Connectivity, Bilingual Providers / Interpreters, Providers Accepting Medicaid","Mental health, preventative health/wellness, drug/alcohol abuse, affordable housing, medicaid expansion, affordable healthcare services, chronic disease management, mobile health services/providers, transportation (public and health), homeless",https://www.olathehealth.org/wp-content/uploads/2021/12/CHNA2021_OMCJohnsonCo_103121_FINAL.pdf,https://ohprd.wpengine.com/wp-content/uploads/2020/07/2020-2022-OMC-Community-Health-Improvement-Plan.pdf,"Vince Vandehaar, MBA, VVV@VandehaarMarketing.com
"
Osawatomie State Hospital at Adair Acute Care,500 State Hospital Drive,Osawatomie,66064-1813,KS,,,N/A unable to find,,,,,,,,,
Osborne County Memorial Hospital,424 West New Hampshire Street,Osborne,67473-2314,KS,"Great Plains Health Alliance, Inc.",,2021,"Combination of counties, zip codes, and places","Osborne, Smith, Mitchell","67473,67437,67623,67474,67651,67638, 67430","Cities: Osborne, Downs, Alton, Portis, Natoma, Gaylord, Cawker City","Affordable Health Insurance, Child Care, Mental health, Awareness of Health Services, Drug abuse, Suicide, Exercise/Fitness Options, Food insecurity","Affordable Health Insurance, Child Care, Mental Health (Diagnosis Placement and Aftercare), Awareness of Health Services, Drug Abuse, Suicide, Exercise/Fitness, Food Insecurity",https://www.ocmh.org/_files/ugd/8ff705_2975b58c439c49c4b224512166f8e177.pdf,https://www.ocmh.org/_files/ugd/8ff705_654a89a5adf4445da2c66930e20d4cae.pdf,"Cassandra Kahl, BHS Lead Consultant CJK@VandehaarMarketing.com"
Ottawa County Health Center,215 East Eighth,Minneapolis,67467-1902,KS,"Great Plains Health Alliance, Inc.",Yes,2019,"Combination of counties, zip codes, and places",Ottawa,"67467, 67436, 67484, 67422","Minneapolis, Delphos, Bennington, Tescott","Physical inactivity/access to exercise opportunities, Obesity, Lack of healthy behaviors/lifestyle choices, Lack of general health knowledge/education ","Obesity/Unhealthy Eating/Physical Inactivity, Information On/Access to Local Medical Services
",http://www.ottawacountyhealthcenter.com/CHNA_Final_2019.pdf,http://www.ottawacountyhealthcenter.com/CHNA_Implementation_9-30-20.pdf,"Ms. Jody Parks Administrator, Ottawa County Health Center, Minneapolis, Kansas"
Overland Park Regional Medical Center,10500 Quivira Road,Overland Park,66215-2306,KS,HCA Healthcare,,N/A unable to find,,,,,,,,,
