ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Funding_Type,,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6411130,Coshocton Regional Medical Center,1460 Orange Street,Coshocton,43812-2229,OH,Prime Healthcare Services,Non-Profit,Combination of counties and places,2022,Combination,Coshocton ,N/A,"Cavallo, Tiverton Center,Spring Moutain, Helmick, New Princeton, Walhonding, Newcastle, New Guilford, Nellie, Mohawk Village, West Bedford, West Carlisle, Wakatomika, Graham Corners, Cooperdale, Tunnel Hill, Warsaw Junction, Warsaw, Tyrone, New Moscow, Adam Mills, Randle, Conesville, Tyndall, Roscoe, Pleasant Valley, Keene, Canal Lewisville, Morgan Run, Willis Creek, West Lafayette, Plainfield, Linton Mills, Isleta, Orange, Powell, Fresno, Shady Bend, Coalport, Bakersville, Pearl, Chili, Metham, Blissfield, Layland","Increased Education to the Community on Healthy Eating and Active Living, Increased Access and education involving Chronic Disease, Substance Use/ Mental Health","Healthy Eating and Active Living, Chronic Diseases, Substance Use/Mental Health",https://coshoctonhospital.org/wp-content/uploads/2022/12/CHNA_Coshocton-County_Coshocton-Regional-Med-Ctr_Community-report_2022_final.pdf,https://coshoctonhospital.org/wp-content/uploads/2022/12/CHNA_Coshocton_Community-Health-Improvement-Plan_2022-2025.pdf,N/A
6410465,Daniel Drake Center for Post Acute Care,151 West Galbraith Road,Cincinnati,45216-1015,OH,UC Health,Non-Profit,List of Counties,2019,List of Counties,"Butler, Clermont, Hamilton, Warren",N/A,N/A,Substance abuse and mental health/ Access to care and/or services/ Chronic disease/ Healthy behaviors,Substance abuse and mental health/ Access to care and/or services / Chronic disease/ Healthy behaviors,https://www.uchealth.com/wp-content/uploads/2019/11/Daniel-Drake-Center-for-Post-Acute-Care-Implementation-Plan-2019.pdf,https://www.uchealth.com/wp-content/uploads/2019/11/Daniel-Drake-Center-for-Post-Acute-Care-Implementation-Plan-2019.pdf,N/A
6411160,Dayton Children's Hospital,One Children's Plaza,Dayton,45404-1815,OH,,Non-Profit,"Combination of counties, zip codes, and places",2023,Combination,"Montgomery, Miami, Greene,  Clark, Warren","45387,45377,45371,45373,45356, 45066,45459,45383,45429,45405, 45458,45414,45403,45406,45424, 45420,45417,45385,45342,45324","Fairborn, Miamisburg, Xenia, Dayton, West Milton, Springboro, Piqua, Troy, Vandalia, Vandalia","mental health and addiction, maternal and infant health, chronic disease, community conditions, access to care","Mental Health and Addiction Outcomes, Chronic Disease Outcomes, Maternal and Infant Health, community conditions",https://www.childrensdayton.org/sites/default/files/EP13061_CHNAReport_6.18.pdf,https://www.childrensdayton.org/sites/default/files/EP13061_2023CHIPReport_6.1.23.pdf,salemj@childrensdayton.org
6411220,Dayton Veterans Affairs Medical Center,4100 West Third Street,Dayton,45428-9000,OH,Department of Veterans Affairs,Unable to find,,N/A unable to find,,,,,,,,,
6410297,Diley Ridge Medical Center,7911 Diley Road,Canal Winchester,43110-9653,OH,,Non-Profit,Combination of counties and places,2023,Combination,Franklin ,N/A,"Pickerington, Groveport, Canal Winchester, Carroll, Baltimore, Violet Township","Behavioral Health, Substance Use Treatment, Basic Needs (including transportation access), Community Outreach, Racial Equity, Maternal-Infant Health ",Basic Needs including transportation access,https://www.mountcarmelhealth.com/sites/default/files/hg_features/mercury_standard_layout/ebb309b977f0b4cb67a65b00a569a91e.pdf,https://www.mountcarmelhealth.com/sites/default/files/hg_features/mercury_standard_layout/4797b811dcb37be224013edc604de659.pdf,communitybenefit@mchs.com
6411280,East Liverpool City Hospital,425 West Fifth Street,East Liverpool,43920-2498,OH,Prime Healthcare Services,Non-Profit,Combination of counties and places,2023,Combination,Columbiana ,N/A,"East Liverpool, East Palestine, Lisbon, Salem, Salineville, Hanoverton, Negley, Washingtonville, Wellsville, Kensington, New Waterford, East Rochester, Columbiana, Leetonia, Rogers, Homeworth","Community Conditions, Health Behaviors, Access to Care, Mental Health, Chronic Disease, Physical Environment, Certain Social Determinants of Health ","Chronic disease; Mental health/trauma; Drug dependency/abuse; Obesity, nutrition and physical activity",https://elch.org/wp-content/uploads/2023/02/2022-CHNA-final.pdf,ELCH-Implementation-Plans-Final-Website-PDF-2023.pdf,vyoung2@primehealthcare.com
6411660,East Ohio Regional Hospital,90 North Fourth Street,Martins Ferry,43935-1648,OH,Alecto Healthcare,Unable to find,,N/A unable to find,,,,,,,,,
6410523,Haven Behavioral Senior Care of Dayton,"One Elizabeth Place, 4th Floor Southwest Tower",Dayton,45417-3445,OH,Haven Behavioral Healthcare,Unable to find,,N/A unable to find,,,,,,,,,
6411390,Eden Springs Health Care Center,401 North Broadway,Green Springs,44836-9653,OH,,Unable to find,,N/A unable to find,,,,,,,,,
6410040,Edwin Shaw Rehab,330 Broadway Street East,Cuyahoga Falls,44221-3312,OH,Cleveland Clinic Health System,Non-Profit,"Combination of counties, zip codes, and places",2022,Combination,"Cuyahoga, Medina, Summit","44107, 44130, 44131, 44136, 44147, 44212, 44233, 44286, 44236, 44256, 44333, 44313, 44223, 44224, 44221, 44262, 44274, 44321, 44303, 44320, 44303, 44310, 44278, 44311, 44305, 44301, 44307, 44314, 44306, 44254, 44215, 44251, 44273, 44281, 44203, 44314, 44306, 44250, 44319, 44312, 44216, 44685","Lakewood, Cleveland, Independence, Strongsville, Broadview Heights, Barberton, Brunswick, Chippewa Lake, Clinton, Cuyahoga Falls, Stow, Hinckley, Hudson, Lakemore, Westfield Center, Lodi, Medina, Munroe Falls, Seville, Sharon Center, Tallmadge, Wadsworth, Richfield, Akron, Uniontown","Access to Health & Social Services, Behavioral Health, Chronic Disease Prevention and Management, Maternal and Child Health, Socioeconomic Concerns","Access to Health & Social Services, Behavioral Health, Chronic Disease Prevention and Management, Maternal and Child Health, Socioeconomic Concerns",https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-select-rehab-edwin-shaw-chna.pdf?la=en,https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-select-rehab-edwin-shaw-chna.pdf?la=en,chna@ccf.org
6410695,Euclid Hospital,18901 Lake Shore Boulevard,Euclid,44119-1090,OH,Cleveland Clinic Health System,Non-Profit,"Combination of counties, zip codes, and places",2022,Combination,"Cuyahoga, Lake","44095, 44060, 44094, 44092, 44132, 44123, 44119, 44117, 44110, 44143, 44108","Mentor, Wickliffe, Willoughby, Eastlake, Cleveland, Euclid","Access to Health Care, Behavioral Health, Chronic Disease Prevention and Management, Maternal and Child Health, Socioeconomic Issues, Medical Research and Health Professions Education, Social Determinants of Health, Health Equity","Access to Healthcare, Behavioral Health, Chronic Disease Prevention and Management, Maternal and Child Health, Socioeconomic Issues",https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-euclid-hospital-chna.pdf?la=en,https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-euclid-hospital-chna.pdf?la=en,chna@ccf.org
6411510,Fairfield Medical Center,401 North Ewing Street,Lancaster,43130-3371,OH,,Non-Profit,List of Counties,2022,List of Counties,Fairfield,N/A,N/A,"Substance use treatment and prevention; mental health; transportation; community outreach (prevention, education, screening and access to care)","Improve access to care during COVID-19 pandemic, Improve access to more affordable care, Improve access to primary care and specialty providers in the community, Address other barriers to access",https://www.fmchealth.org/app/uploads/2022/12/2022-Fairfield-County-CHNA-Report.pdf,https://www.fmchealth.org/app/uploads/2022/03/2020-CHIP-3-10-22.pdf,"joe.ebel@fairfieldcountyohio.gov, karen@illuminology.net"
6412305,Fayette County Memorial Hospital,1430 Columbus Avenue,Washington Court House,43160-1791,OH,Adena Health System,Non-Profit,List of Counties,2021,List of Counties,Fayette,N/A,N/A,"Mental health, Substance abuse, Chronic illness prevention, education and management ","Mental health, Substance abuse, Chronic illness prevention, education and management",https://www.adena.org/docs/default-source/community-health/fayette-county-2021-chna-new-final---communicable-diseases-updated-through-2021.docx.pdf?sfvrsn=100d4220_3,https://www.adena.org/docs/default-source/community-health/fayette-final-implementation-plan---2022e815d407-f94c-4861-8297-2c23f6cc7809.pdf?sfvrsn=774811d5_3,N/A
6410015,Firelands Regional Health System,1111 Hayes Avenue,Sandusky,44870-3323,OH,Firelands Health,Non-Profit,"Combination of counties, zip codes, and places",2022,Combination,Erie,"44870, 44839, 44089, 44824, 44814, 44846, 44889, 43438, 44811","Sandusky, Perkins Township, Huron, Vermilion, Vermilion Township, Huron Township, Castalia, Milan, Margaretta Township, Milan Township, Berlin Heights, Berlin Township, Florence Township, Bayview, Groton Township, Kelleys Island, Oxford Township, Bellevue","Mental/behavioral health, Social determinants of health, Addiction/Overdose, Access to healthcare, COVID-19, Obesity/Healthy lifestyle choices, Health education","Mental/behavioral health, Social determinants of health, Addiction/Overdose, Access to healthcare, COVID-19, Obesity/Healthy lifestyle choices, Health education",https://www.firelands.com/app/files/public/4e9039fa-e084-44e4-a78b-fbe1446a57e2/2022%20Community%20Health%20Assessment%20Document.pdf,N/A,pscahde@echdohio.org
6411830,Fisher-Titus Medical Center,272 Benedict Avenue,Norwalk,44857-2374,OH,,Non-Profit,Combination of counties and places,2023,Combination,Huron,N/A,"Bellevue City, Norwalk City, Willard City, Monroeville Local, New London Local, South Central Local, Western Reserve Local","Drug Use, Mental Health, Cancer/Diabetes/Heart Disease/Hypertension, Cost of Healthcare or Cost of Living in General, Difficulty Accessing Healthcare (for reasons besides cost)","Mental Health and Addiction, Physical Health, Access to and Cost of Care ",https://www.fishertitus.org/app/files/public/e4a19e5a-36c2-4adb-9eff-f6922244f90e/Huron%20County%202023%20CHA%20Report.pdf,https://www.fishertitus.org/app/files/public/78086071-f530-468e-aaee-f3212fb492a0/Community%20Health%20Needs%20Assessment%20Documents/CHNA%20Implementation%20Plan%202020.pdf,N/A
6411405,Fort Hamilton Hospital,630 Eaton Avenue,Hamilton,45013-2770,OH,Kettering Health Network,Non-Profit,Combination of counties and places,2021,Combination,"Butler, Clermont, Hamilton, Warren, Clinton, Fayette, Franklin, Montgomery, Preble, Greene, Miami, Clark, Brown, Champagne, Shelby, Darke, Boone, Campbell, Kenton, Dearborn, Ohio, Switzerland, Franklin, Union",N/A,"Greater Dayton, Greater Cincinnati",Substance abuse; Behavioral Health; Workforce development/cultural diversity; Access to care/services; Access to specialty and preventative care in underserved population; Infant and maternal health ,Substance abuse; Behavioral health; Access to care/services; Access to specialty and preventative care,https://cdn.ketteringhealth.org/wp-content/uploads/2022/10/CHNA-Final-10.12.22.pdf,https://ketteringhealth.org/about/community-health-needs/,N/A
6412310,Fulton County Health Center,725 South Shoop Avenue,Wauseon,43567-1701,OH,,Non-Profit,List of Counties,2022,List of Counties,Fulton,N/A,N/A,"Mental Health & Addiction; Chronic Disease; Access to Healthcare and Use of Preventative Services; Violence and Injury Prevention; Physical Activity; Nutrition and Weight (Obesity, Food Insecurity, Physical Inactivity)","Mental Health and Addiction (strategies are specifically focused on mental health, suicide prevention, and tobacco cessation); Chronic Disease (strategies specifically focused on hypertension, diabetes prevention, obesity, physical activity, and health food)",https://www.fultoncountyhealthcenter.org/wp-content/uploads/2022/12/Fulton-County-2022-Community-Health-Needs-Assessment.pdf,https://www.fultoncountyhealthcenter.org/wp-content/uploads/2023/05/2023-Fulton-County-Health-Center-Implementation-Plan-5.2.2023.pdf,(419) 337-0915
6411350,Galion Hospital,269 Portland Way South,Galion,44833-2399,OH,Avita Health System,Non-Profit,"Combination of counties, zip codes, and places",2022,List of Counties,"Crawford, Marion, Morrow, Richland",44833, Galion,"Local access to healthcare, nutrition and access to healthy foods, poverty/economic security, adverse childhood experiences, unmet need for mental health, physical activity, health insurance coverage, housing affordability/quality, access to childcare, transportation, crime/violence, tobacco and nicotine use, k-12 student success ","Depression, drug overdose deaths, youth drug use, suicide, heart diseases, diabetes, childhood conditions, maternal and infant health",https://galionhealth.org/wp-content/uploads/Crawford-County-2022-Community-Health-Needs-Assessment-FINAL.pdf ,N/A,ckropka@avitahs.org
6410020,Genesis HealthCare System,2951 Maple Avenue,Zanesville,43701-1406,OH,"Franciscan Sisters of Christian Charity Sponsored Ministries, Inc.",Non-Profit,Combination of counties and places,2021,Combination,"Coshocton, Morgan, Muskingum, Noble, Perry, Guernsey",N/A,"Zanesville, Cambridge, Coshocton","Mental Health Issues, Heart Disease, Cancer, Stroke, Diabetes, Social Determinants of Health","Mental Health Issues, Heart Disease, Cancer, Stroke, Diabetes, Social Determinants of Health",https://www.genesishcs.org/sites/default/files/2022-02/Genesis%20CHNA%20Report%202021%20v2.pdf,https://www.genesishcs.org/sites/default/files/CCB-2022-2024-Implementation-Strategy-FINAL.pdf,smarcum@genesishcs.org
6411935,Glenbeigh Hospital and Outpatient Centers,2863 Route 45,Rock Creek,44084,OH,,Unable to find,"Combination of counties, zip codes, and places",2022,Combination,"Ashtabula, Erie, Lorain, Trumbull, Butler, Washington, Beachwood, Niles, Rocky River","44099, 44093, 44088, 44030, 44032, 44041, 44010, 44003, 44004, 44005, 44082, 44084, 44085, 44076, 44047, 44048, 44068","Ohio, Pennsylvania ","Access to Treatment for Alcohol and Drug Addiction, Education on Addiction and Recovery, Workforce Development  ","Access to Treatment for Alcohol and Drug Addiction, Education on Addiction and Recovery, Workforce Development  ",https://glenbeigh.com/sites/default/files/docs/Community%20Health%20Needs%20Assessment%20Working%20Document%202022%20Complete.pdf,N/A,N/A
6410490,Good Samaritan Hospital,375 Dixmyth Avenue,Cincinnati,45220-2489,OH,CommonSpirit Health,Non-Profit,Combination of counties and zip codes,2022,Combination,"Hamilto, Butler, Clermont, Warren","45001, 45003, 45102, 45005, 45002, 45004, 45103, 45032, 45030, 45011, 45012, 45013, 45015, 45106, 45034, 45033, 45014, 45018, 45112, 45036, 45041, 45042, 45044, 45120, 45039, 45051, 45050, 45122, 45040, 45052, 45053, 45140, 45054, 45111, 45055, 4147, 45065, 45174, 45056, 45150, 45066, 45210-45209 45211-45227 45229-45239 Ross 45061, 45153 ,45068, 45062, 45156, 45152, 45063, 45157 ,  45162, 45064, 45158, 45067, 45160, 45069, 45071, 45176, 45245",N/A,"Cardiovascular Conditions (hypertension), mental health, arthritis, lung/respiratory health, dental, maternal health concerns, prevention-related needs",Substance abuse; infant mortality; social determinants of health; mental health; chronic disease; access to care,https://www.trihealth.com/about-trihealth/community/health-needs-assessment,https://www.trihealth.com/about-trihealth/community/health-needs-assessment,N/A
6410730,Grace Hospital,2307 West 14th Street,Cleveland,44113-3698,OH,"South Pointe Hospital, Bedford
Medical Center",Non-Profit,List of Counties,2019,Combination,Cuyahoga,N/A,N/A,"Diabetes Related Education and Support, Ventilator Weaning and Results, Palliative Care and Advanced Directives","Eliminating structural racism, Enhancing trust across sectors, people, communities, Addressing community conditions, such as reducing poverty and its effects, Enhancing mental health and reducing substance abuse, Reducing chronic illness and its effects",https://www.gracehospital.org/pdfs/Community-Health-Needs-Assessment-3-30-22.pdf,https://www.gracehospital.org/pdfs/Community-Health-Needs-Assessment-3-30-22.pdf,N/A
6411182,Grandview Medical Center,405 West Grand Avenue,Dayton,45405-4796,OH,Kettering Health Network,Non-Profit,List of Counties,2019,List of Counties,"Montgomery, Preble",N/A,N/A,"Substance abuse/Mental health, Access to care and/or services, Chronic disease, Healthy behaviors","Substance abuse/Mental health, Access to care and/or services, Chronic disease, Healthy behaviors",https://cdn.ketteringhealth.org/wp-content/uploads/2021/04/GrandviewAddenda-2017-19.pdf,https://dam.assets.ohio.gov/image/upload/odh.ohio.gov/population-health/grandviewhospitalis20-22.pdf,N/A
6412395,Greene Memorial Hospital,1141 North Monroe Drive,Xenia,45385-1600,OH,Kettering Health Network,Non-Profit,List of Counties,2019,List of Counties,Greene,N/A,N/A,"Mental Health, including substance abuse; access to care and/or services; chronic disease; healthy behaviors","Mental Health, including substance abuse; access to care and/or services; chronic disease; healthy behaviors  
",https://cdn.ketteringhealth.org/wp-content/uploads/2021/04/GreeneAddenda-2017-19.pdf,https://ketteringhealth.org/wp-content/uploads/2021/04/GreeneImplementationStrategies-2020-2022.pdf,N/A
6410243,Harrison Community Hospital,951 East Market Street,Cadiz,43907-9799,OH, West Virginia University’s Health Affairs Institute (WVU HAI) ,Non-Profit,List of Counties,2023,List of Counties,"Belmont, Monroe, Harrison, Jefferson",N/A,N/A,"Substance Use and Abuse, Obesity & Co-Morbid Disease, Physical Activity & Nutrition, Mental Health","Chronic Disease Management, Unhealthy Lifestyles, Drug and Alcohol Abus",https://wvumedicine.org/wp-content/uploads/2023/11/Barnesville-Hospital-and-Harrison-Community-Hospital-CHNA-2023.pdf,https://dam.assets.ohio.gov/image/upload/odh.ohio.gov/population-health/harrisoncommunityhospitalis2019.pdf,megan.govindan@hsc.wvu.edu
6411680,Heartland Behavioral Healthcare,3000 Erie Stree South,Massillon,44646-7993,OH,Ohio Department of Mental Health,Unable to find,,N/A unable to find,,,,,,,,,
6410501,HEALTHSOUTH Rehabilitation Hospital at Drake,151 West Galbraith Road,Cincinnati,45216-1015,OH,Encompass Health Corporation,Unable to find,,N/A unable to find,,,,,,,,,
6410293,HEALTHSOUTH Rehabilitation Hospital of Dayton,One Elizabeth Place,Dayton,45417-3445,OH,Encompass Health Corporation,Unable to find,,N/A unable to find,,,,,,,,,
6410336,Heatherhill Care Communities,12340 Bass Lake Road,Chardon,44024-8327,OH,,Unable to find,,N/A unable to find,,,,,,,,,
6411780,Henry County Hospital,1600 East Riverview Avenue,Napoleon,43545-9399,OH,,Non-Profit,Combination of counties and places,2022,Combination,Henry ,n/a,"Bartlow, Damascus, Flatrock, Freedom, Harrison, Liberty, Marion, Monroe, Napoleon, Pleasant, Richfield, Ridgeville, Washington","Access to Healthcare, Economic Stability, Mental Health, Substance Misuse","Access to Healthcare, Economic Stability, Mental Health, Substance Misuse",https://www.henrycountyhospital.org/documents/Community-Health-Assessment-2023.pdf,https://henrycohd.org/wp-content/uploads/2021/09/CHIP-Combined.pdf,kristib@henrycountyhospital.org
6411440,Highland District Hospital,1275 North High Street,Hillsboro,45133-8273,OH,,Unable to find,,N/A unable to find,,,,,,,,,
6410945,Hillcrest Hospital,6780 Mayfield Road,Cleveland,44124-2203,OH,Cleveland Clinic Health System,Non-Profit,Combination of counties and zip codes,2022,Combination,"Summit, Portage, Geauga, Lake, Cuyahoga","44045, 44081, 44057, 44060, 44077, 44095, 44094, 44024, 44132, 44123, 44092, 44143, 44121, 44118, 44120, 44125, 44040, 44124, 44122, 44128, 44137, 44022, 44139, 44067, 44056, 44087, 44023, 44202, 44026",N/A,"Access to Healthcare, Behavioral Health, Chronic Disease Prevention and Management, Maternal and Child Health, Socioeconomic Issues","Access to Healthcare, Behavioral Health, Chronic Disease Prevention and Management, Maternal and Child Health, Socioeconomic Issues",https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-hillcrest-hospital-chna.pdf?la=en,https://my.clevelandclinic.org/-/scassets/files/org/about/community-reports/chna/2022/2022-hillcrest-hospital-chna.pdf?la=en,chna@ccf.org
6412280,Hillside Rehabilitation Hospital,8747 Squires Lane NE,Warren,44484-1649,OH,"Steward Health Care System, LLC",Unable to find,,N/A unable to find,,,,,,,,,
6411579,Hocking Valley Community Hospital,601 State Route 664 North,Logan,43138-8541,OH,,Unable to find,,N/A unable to find,,,,,,,,,
6410042,Holzer Medical Center - Jackson,500 Burlington Road,Jackson,45640-9360,OH,Holzer Health System,Non-Profit,"Combination of counties, zip codes, and places",2022,Combination,"Athens, Mason, Gallia, Hocking, Jackson, Vinton, Lawrence, Cabell, Morgan","45710, 45711, 25502, 25503, 45701, 45614, 43111, 45719, 45620, 45621, 45723, 45622, 45623, 45631, 25515, 25520, 45732. 45735, 45634","Albany, Amesville, Apple Grove, Ashton, Athens, Bidwell, Buchtel. Carbon Hill, Chauncey, Cheshire, Coalton, Coolville, Creola, Crown City, Gallipolis, Gallipolis Ferry, Glenwood, Glouster, Guysville, Hamden, Hartford, Henderson, Jacksonville, Langsville, Leon, Letart, Long Bottom, Mason, McArthur, Middleport, Millfield, Nelsonville, New Haven, New Marshfield, New Plymouth, Oak Hill, Patriot, Point Pleasant, Pomeory, Portland, Proctoville, Racine, Ray, Reedsville, Rio Grande, Rutland, Scottown, Shade, Southside, Steward, Syracuse, The Plains, Thurman, Trimble, Vinton, Waterloo, Wellston, West Columbia, Wilkesville, Willow Wood, Zaleski","Physical Activity, Tobacco/Nicotine Use, Unmet Needs for Mental Healthcare, Depression & Suicide, Heart Disease and Diabetes","Physical Activity, Tobacco/Nicotine Use, Unmet Needs for Mental Healthcare, Depression & Suicide, Heart Disease and Diabetes",https://www.holzer.org/app/files/public/c65465b6-5c69-42ec-ab65-b7200d500b1a/HolzerHealthSystem2022CHNA_FINAL.pdf,https://www.holzer.org/app/files/public/50a6bde9-a270-46fc-b698-26928b221e9e/2023-2025_Holzer-Health-System-Implementation-Strategy%20CHNA(1).pdf,N/A
6411370,Holzer Medical Center,100 Jackson Pike,Gallipolis,45631-1563,OH,Holzer Health System,Non-Profit,"Combination of counties, zip codes, and places",2022,Combination,"Athens, Mason, Gallia, Hocking, Jackson, Vinton, Lawrence, Cabell, Morgan","45710, 45711, 25502, 25503, 45701, 45614, 45716, 43111, 45719, 45620, 45621, 45723, 4562245631, 25515, 25520, 45732, 45735, 45634. 25247, 25106, 45640, 45740, 45741, 25123, 25253, 45743, 25260, 45651, 45760, 45761, 45764, 25265, 45766, 45654, 45656, 45658, 25550, 45769, 45770, 45669, 45771, 45672, 45772, 45674, 45775, 45678, 45776, 25187, 45778, 45779, 45780, 45685, 45782, 45686, 45688, 45692, 25287, 45695, 45696, 45698","Albany, Amesville, Apple Grove, Ashton, Athens, Bidwell, Buchtel. Carbon Hill, Chauncey, Cheshire, Coalton, Coolville, Creola, Crown City, Gallipolis, Gallipolis Ferry, Glenwood, Glouster, Guysville, Hamden, Hartford, Henderson, Jacksonville, Langsville, Leon, Letart, Long Bottom, Mason, McArthur, Middleport, Millfield, Nelsonville, New Haven, New Marshfield, New Plymouth, Oak Hill, Patriot, Point Pleasant, Pomeory, Portland, Proctoville, Racine, Ray, Reedsville, Rio Grande, Rutland, Scottown, Shade, Southside, Steward, Syracuse, The Plains, Thurman, Trimble, Vinton, Waterloo, Wellston, West Columbia, Wilkesville, Willow Wood, Zaleski","Physical Activity, Tobacco/Nicotine Use, Unmet Needs for Mental Healthcare, Depression & Suicide, Heart Disease and Diabetes","Physical Activity, Tobacco/Nicotine Use, Unmet Needs for Mental Healthcare, Depression & Suicide, Heart Disease and Diabetes",https://www.holzer.org/app/files/public/c65465b6-5c69-42ec-ab65-b7200d500b1a/HolzerHealthSystem2022CHNA_FINAL.pdf,https://www.holzer.org/app/files/public/50a6bde9-a270-46fc-b698-26928b221e9e/2023-2025_Holzer-Health-System-Implementation-Strategy%20CHNA(1).pdf,N/A
6410036,Institute for Orthopaedic Surgery,"801 Medical Drive, Suite B",Lima,45804-4030,OH,Mercy Health,Non-Profit,Combination of counties and zip codes,2022,Combination,"Allen, Auglaize, Putnam","45801, 45802, 45804, 45805, 45806, 45807, 45808, 45809, 45817, 45820, 45833, 45850, 45854, 45887, 45819, 45865, 45869, 45870, 45871, 45884, 45885, 45888, 45895, 45896, 45830, 45831, 45837, 45844, 45848, 45853, 45856, 45864, 45875, 45876, 45877, 45893",N/A,"Chronic Disease Management, Substance Abuse, Mental Health, Maternal/Infant Health, Diabetes, Housing, Provider Access, Preventive Screenings, Transportation, Smoking/Tobacco Cessation, Medication Access, K-12 Readiness/Success, Obesity, Cancer, Food Access/Insecurity","Chronic Disease, Substance Abuse, Mental Health, Maternal/Infant Health, Access, Healthy Behaviors, Housing/Community Conditions",https://www.ioshospital.com/ORTHOPAEDICS/pdfs/2022communityhealthneedsassessment.pdf,https://www.ioshospital.com/ORTHOPAEDICS/pdfs/2023implementationPlan.pdf,tssmith1@mercy.com
6410008,James Cancer Hospital and Solove Research Institute,460 West Tenth Avenue,Columbus,43210-1240,OH,Ohio State University Health System,Public,Combination of counties and zip codes,2022,Combination,Franklin,"43017, 43016, 43235, 43085, 43081, 43054, 43229, 43231, 43230, 43220, 43214, 43224, 43026, 43221, 43202, 43211, 43219, 43004, 43210, 43212, 43201, 43119, 43228, 43204, 43222, 43215, 43203, 43205, 43206, 43209, 43213, 43227, 43068, 43223, 43232, 43123, 43207, 43110, 43146, 43137, 43217, 43125",N/A,"Basic Needs, Racial Equity, Behavioral Health, Maternal-Infant Health","Basic Needs, Racial Equity, Behavioral Health, Maternal-Infant Health",https://wexnermedical.osu.edu/-/media/files/wexnermedical/healthy-community/community-health-needs-assessment-2022/communityreport_james_corp_22719804.pdf,N/A,"Annie.Marsico@osumc.edu, jeffk@centralohiohospitals.org, orie@illuminology.net"
6411955,Joint Township District Memorial Hospital,200 St Clair Street,Saint Marys,45885-2400,OH,,Non-Profit,"Combination of counties, zip codes, and places",2019,Combination,"Auglaize, Mercer","45819,45865, 45869, 45870, 45871, 45884, 45885, 45888, 45895,45896, 45310,45822,45826,45828,45846, 45860,45862,45866,45882,45883","Buckland,Minster,  New Bremen,  New Hampshire,  New Knoxville,  Saint Johns, Saint Marys, Uniopolis, Wapakoneta ,Waynesfield, Burkettsville, Celina, Chickasa,Coldwater, Fort Recovery, Maria Stein, Mendon, Montezuma, Rockford, Saint Henry","Drug/alcohol abuse,  Mental health, Obesity, Education, prevention, health promotion,  Socioeconomic factors, including transportation, housing, nutritional needs"," Drug/alcohol abuse, Mental health,  Obesity, Education, prevention, health promotion , Socioeconomic factors, including transportation, housing, nutritional needs",https://www.grandlakehealth.org/content/documents/FINALJTDMH2019CHNAReport.pdf,https://www.grandlakehealth.org/content/documents/FINALJTDMH2019CHNAReport.pdf,N/A
6411466,Kettering Medical Center,3535 Southern Boulevard,Kettering,45429-1221,OH,Kettering Health Network,Non-Profit,List of Counties,2021,List of Counties,"Adams, Auglaize, Brown, Butler, Champaign, Clark, Clemont, Clinton, Drake, Fayette, Greene, Hamilton, Highland, Miami, Montgomery, Preble, Shelby, Warren",N/A,N/A,"Behavioral Health, Cardiovascular Disease, Dental, Vision","Access to Care, Food and Housing Security, Workforce Pipeline Diversity and Cultural Competence ","Maternal and infant health, behavioral risk factors, clinical care, disease",https://ketteringhealth.org/wp-content/uploads/2021/04/kettering.pdf,N/A
6410057,Kindred Hospital Lima,"730 West Market Street, 6th Floor",Lima,45801-4602,OH,Kindred Healthcare,Unable to find,,N/A unable to find,,,,,,,,,
6410054,Kindred Hospital-Dayton,707 South Edwin C Moses Boulevard,Dayton,45417-3462,OH,Kindred Healthcare,Unable to find,,N/A unable to find,,,,,,,,,
6410558,King's Daughters Medical Center Ohio,2001 Scioto Trail,Portsmouth,45662-2845,OH,,Non-Profit,List of Counties,2022,List of Counties,"Boyd, Carter Greenup, Lawrence",N/A,N/A,"Access to care, Holistic Health, social determinants of health",N/A,https://www.kingsdaughtershealth.com/documents/community/KDMC-2022-Community-Health-Needs-Assessment.pdf,https://www.kingsdaughtershealth.com/documents/community/KDMC-CHNA-Implementation-Plan-Oct-2022.pdf,elaine.corbitt@kdmc.kdhs.us
6411730,Knox Community Hospital,1330 Coshocton Road,Mount Vernon,43050-1495,OH,QHR,Non-Profit,List of Counties,2021,List of Counties,Knox,N/A,N/A,"Mental Health, Substance use/abuse, Healthcare Utilization, Social Issues, Education, Specific Health Problems ","Mental Health, Substance use/abuse, Healthcare Utilization, Social Issues, Education, Specific Health Problems ",https://www.kch.org/sites/default/files/2021-06/2021%20Knox%20County%20Community%20Health%20Assessment.pdf,https://www.kch.org/sites/default/files/2021-06/2021%20Knox%20County%20Community%20Health%20Assessment.pdf,N/A
